year,mon_DET art_NOUN,mon_DET dard_NOUN
1800,4.62192190298083e-07,7.860410988769218e-08
1801,4.857612598829775e-07,4.7623651688866175e-09
1802,5.616978739908518e-07,8.951360541686881e-09
1803,8.132914706138195e-07,3.900678446910888e-09
1804,9.318878211317383e-07,1.730295728918918e-08
1805,5.628897792320231e-07,6.254330742194725e-08
1806,6.570205428602094e-07,1.152667650217154e-08
1807,4.5551283189837477e-07,1.1387820464392462e-08
1808,4.6454516855476413e-07,3.172503681980743e-08
1809,5.512034491061968e-07,9.036122072814123e-09
1810,7.511806749960215e-07,3.2761775514700275e-08
1811,6.317833203262069e-07,1.0028307073639553e-08
1812,6.267939367532449e-07,2.9339290108509886e-08
1813,8.109591576044295e-07,5.751483289628823e-09
1814,8.05549368543268e-07,2.8320094713762956e-08
1815,3.452446240004292e-07,1.0788894222457657e-08
1816,2.294427776661223e-07,0.0
1817,6.414318249881035e-07,4.670620334934483e-09
1818,3.385614242290558e-07,4.768470951432846e-09
1819,4.771834039019041e-07,9.315945348475907e-09
1820,6.312968103827643e-07,7.119888678630559e-09
1821,6.95234909642295e-07,7.889190523080458e-09
1822,5.81485721795616e-07,1.4035862250239006e-08
1823,5.761606370890959e-07,1.1859224713361982e-08
1824,5.709514461216258e-07,5.136878655775945e-08
1825,5.529818380978213e-07,9.68598712347557e-09
1826,4.6065758851909777e-07,3.5231937367541377e-09
1827,4.027948388163338e-07,3.6869092223668076e-09
1828,4.29263693035864e-07,1.834460228167245e-08
1829,4.115124605519327e-07,5.143905745796928e-09
1830,5.458465146546132e-07,4.174734336004349e-09
1831,4.646179385670024e-07,3.1182412207897414e-09
1832,4.0995807548682706e-07,8.117981842303834e-09
1833,6.150906965984859e-07,2.3167257001688313e-09
1834,3.957841023805031e-07,1.773560875939495e-08
1835,5.279035306671176e-07,1.739510224751939e-08
1836,5.094328638932666e-07,4.704525213838906e-09
1837,3.3954507294708947e-07,6.262101948095733e-09
1838,4.267021349591005e-07,9.468243078458727e-09
1839,2.684726539969873e-07,5.5931801412612e-09
1840,3.78996487526706e-07,5.095750932326837e-09
1841,3.781703159511096e-07,2.6966304744746594e-08
1842,4.5414954419342735e-07,2.683306021822318e-09
1843,3.6091227784140756e-07,4.134837805480629e-09
1844,2.755257848541248e-07,6.037417232818143e-09
1845,3.4430005602104075e-07,1.0044410636567136e-08
1846,2.968232255540215e-07,6.439951460990301e-09
1847,2.3891980394097345e-07,2.1572894581822766e-09
1848,2.308978608311918e-07,2.413566457803995e-09
1849,1.6172270367320607e-07,8.379414939696517e-10
1850,2.600185489143314e-07,7.467895635215882e-09
1851,2.405640655567254e-07,2.579775504329973e-09
1852,3.05995646820989e-07,5.208436348880241e-09
1853,2.4425201505806626e-07,8.360704129017904e-09
1854,3.0394637207109554e-07,5.195664343204953e-09
1855,4.0279652679942046e-07,7.429711956774554e-09
1856,2.842276991543713e-07,4.659470143053568e-09
1857,3.3194262449853795e-07,1.806158356210119e-08
1858,3.513659239118283e-07,1.468102750479261e-09
1859,3.8293143322931655e-07,2.036869339860914e-09
1860,3.240646293534155e-07,2.288591982591015e-09
1861,3.070092322587925e-07,8.488734604128467e-09
1862,3.406561730479041e-07,1.8071945051545413e-09
1863,3.4313044583456076e-07,5.494082966350788e-09
1864,2.881631520068595e-07,9.589456340108882e-09
1865,2.913536594206789e-07,6.1188974997961054e-09
1866,2.6031029065620714e-07,3.8924903300596725e-09
1867,2.5234619549507897e-07,6.79393608038481e-09
1868,2.2772820074123956e-07,1.4819622085049389e-08
1869,3.7944943098722206e-07,1.953407657850903e-09
1870,2.4713749802174334e-07,2.8670243956696595e-09
1871,2.1985836617943733e-07,2.1242354542039266e-09
1872,2.2435628199701796e-07,1.2094678591978436e-09
1873,2.5859539132255804e-07,8.380406590902112e-09
1874,2.437640485020154e-07,1.7923826867161097e-09
1875,3.2212196821035377e-07,6.293679799540541e-09
1876,3.343446195458455e-07,2.418405919968336e-09
1877,2.4677415888518794e-07,0.0
1878,2.451869975939047e-07,2.5968081018845623e-08
1879,2.5170419426512325e-07,5.498392852132383e-09
1880,3.2281767747832646e-07,2.5671385017744797e-09
1881,2.3776251412144234e-07,2.7890030285249168e-09
1882,3.281104981045502e-07,6.655385131892899e-09
1883,3.2797369975412494e-07,6.951272890631799e-09
