year,un_DET entier_ADJ,un_DET dentier_NOUN
1800,7.891852646935149e-07,3.144164484325529e-09
1801,1.4358530506797251e-06,0.0
1802,6.914925734236022e-07,2.4616241489638924e-08
1803,8.425465694017475e-07,3.900678446910888e-09
1804,7.143649440877198e-07,0.0
1805,1.0205931175732985e-06,4.8328921309348516e-08
1806,7.434706503772759e-07,0.0
1807,1.5430496205226518e-06,1.3380689267705748e-07
1808,1.1103762744824053e-06,9.064295980465431e-09
1809,8.31323234251613e-07,0.0
1810,1.0717780014601885e-06,0.0
1811,9.000405611914175e-07,0.0
1812,7.974952609401953e-07,2.6672082320544632e-09
1813,9.461189733883657e-07,0.0
1814,9.093897119782923e-07,5.349351184236184e-08
1815,1.0761922339952434e-06,0.0
1816,1.0220633157587145e-06,0.0
1817,1.0259795999445487e-06,3.113746815941454e-09
1818,1.0657532811819692e-06,0.0
1819,8.249787128988828e-07,0.0
1820,7.369084755737276e-07,4.390598018488845e-08
1821,7.800437060723198e-07,6.903041693817613e-09
1822,8.601978152000811e-07,1.1028177482330648e-08
1823,1.2363241239654599e-06,0.0
1824,9.532699323244742e-07,0.0
1825,8.682166594553564e-07,0.0
1826,8.675864364704466e-07,0.0
1827,9.373966918246879e-07,7.373818444733615e-09
1828,9.053061376107507e-07,0.0
1829,8.110224598567584e-07,8.57317605795771e-10
1830,1.0363778528699186e-06,2.0873671680021744e-09
1831,7.624099680469953e-07,7.795603274018958e-09
1832,8.510350539836509e-07,8.117981842303834e-09
1833,7.645194841643388e-07,5.444305273272221e-08
1834,7.038236162770772e-07,2.8003592777992026e-09
1835,7.918553137642448e-07,7.563087933704082e-09
1836,8.938597488850064e-07,6.720750067579218e-10
1837,7.340574939007638e-07,8.349468672008697e-09
1838,7.460975552930904e-07,3.1560809521380406e-09
1839,7.991255870365421e-07,2.7965900706306e-09
1840,8.420728363489616e-07,1.4013315396965709e-08
1841,7.935797725622251e-07,4.49438415373038e-08
1842,9.364737820760638e-07,4.695785538189057e-09
1843,7.66126390772115e-07,1.1813821920725331e-08
1844,9.105523304242524e-07,1.097712254427563e-09
1845,7.968565682858753e-07,1.0044410636567136e-08
1846,6.381406478794815e-07,1.3465353276842507e-08
1847,7.070516403473448e-07,1.0786447290911383e-09
1848,6.194820798555156e-07,0.0
1849,5.044407771492843e-07,4.1897072478036534e-09
1850,6.687160976071027e-07,6.1100964288129944e-09
1851,6.75256217164133e-07,2.579775504329973e-09
1852,8.229329182540823e-07,7.161600201754936e-09
1853,6.019707257109985e-07,5.3747388761848924e-09
1854,7.814279570084182e-07,9.871762074453727e-09
1855,7.127216576918727e-07,3.714855978387277e-09
1856,9.029017746797763e-07,8.801221695886596e-09
1857,7.195344551291782e-07,7.322263795295214e-09
1858,6.513482730952092e-07,2.4468380654951716e-09
1859,7.027199444564758e-07,7.129042689513199e-09
1860,5.657399242409156e-07,1.1442959552132592e-08
1861,7.102241283973854e-07,2.82957823838359e-09
1862,8.258878665401426e-07,6.325180823552046e-09
1863,7.586829156025487e-07,1.3485476402230745e-08
1864,7.168118258960021e-07,6.712618905169165e-09
1865,7.775706762913615e-07,8.001635409815577e-09
1866,7.064870146678004e-07,1.702964524952222e-08
1867,6.546442818944342e-07,5.338092634588065e-09
1868,5.359763122214645e-07,1.5807597342210045e-08
1869,5.357220516089001e-07,8.30198221279943e-09
1870,8.107945177471265e-07,5.160643912205387e-09
1871,4.928226076117426e-07,6.37270636261178e-09
1872,4.305705658680381e-07,1.9351485747165498e-08
1873,4.980355470252107e-07,1.0176207765333345e-08
1874,4.803585511581332e-07,4.480956716790274e-08
1875,5.492665877682157e-07,1.8881038954532414e-08
1876,4.867042093792406e-07,9.069021977836655e-09
1877,4.935483275403385e-07,3.649041280251453e-08
1878,5.139264658282627e-07,2.2344627481629686e-08
1879,6.19485604147485e-07,1.0996785704264767e-08
1880,4.6465206082757504e-07,1.6686399817444908e-08
1881,4.70644266670206e-07,1.3945014920579979e-08
1882,6.721938916598447e-07,2.3959386918903647e-08
1883,5.96545589814923e-07,1.0110942305630033e-08
1884,8.423765507359349e-07,2.77271263726675e-08
1885,7.122427518879704e-07,1.353583467533781e-08
1886,6.659974474132468e-07,2.19417763958063e-08
1887,6.202478175509896e-07,5.94132131270797e-08
1888,6.416702262868057e-07,1.6485598663962264e-08
1889,5.532115778805746e-07,1.8795409673089125e-08
1890,6.200449433890753e-07,1.7696843102044113e-08
