year,en_ADP oies_NOUN,en_ADP doigt_NOUN
1800,9.432493897065797e-09,0.0
1801,0.0,4.7623651688866175e-09
1802,6.713520406265161e-09,4.475680270843441e-09
1803,1.950339267864365e-08,0.0
1804,1.9774807569206132e-08,0.0
1805,2.842877711017877e-09,5.685755422035754e-09
1806,0.0,0.0
1807,1.9928686256776018e-08,5.693910232196231e-09
1808,2.039466551195801e-08,2.2660739951163578e-09
1809,2.4849335034105025e-08,0.0
1810,2.106114038724627e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,5.3344164641089264e-09,2.6672082320544632e-09
1813,1.1502966579257645e-08,0.0
1814,0.0,0.0
1815,2.697223555614414e-09,0.0
1816,4.6352077731626196e-09,0.0
1817,0.0,0.0
1818,2.384235475716423e-09,1.1921177378582115e-09
1819,1.035105001712111e-09,3.2088255608186955e-08
1820,1.3053129244156025e-08,0.0
1821,1.1833785507064931e-08,1.3806083387635226e-08
1822,3.0076847679083585e-09,1.0025615893027862e-08
1823,2.668325471688604e-08,9.882686891060644e-10
1824,0.0,8.421112696055388e-10
1825,3.522177216552791e-09,0.0
1826,0.0,1.7615968683770689e-09
1827,1.8434546111834038e-09,0.0
1828,4.586150570418113e-09,3.668920500743411e-09
1829,5.143905745796928e-09,0.0
1830,8.349468672008697e-09,0.0
1831,3.1182412207897414e-09,0.0
1832,0.0,1.3529969367098715e-09
1833,2.548398292390175e-08,1.3900354645102198e-08
1834,2.42697808516823e-08,2.14694217959277e-08
1835,5.294161553592858e-09,3.6302822081779595e-08
1836,6.720750067579218e-10,8.064899859050456e-09
1837,0.0,2.0873671680021744e-09
1838,1.8936485712828244e-09,5.049729523420865e-09
1839,1.2584655095793096e-08,4.194885327990505e-09
1840,1.4650283985950807e-08,5.095750932326837e-09
1841,5.778493683550323e-09,7.0626033910059505e-09
1842,1.341653010911159e-08,1.2745703159566801e-08
1843,4.7255288571079745e-09,7.678984559333912e-09
1844,9.330554162634286e-09,4.390849017710252e-09
1845,3.9061593959388574e-09,1.7298706467272496e-08
1846,9.367202347121406e-09,7.025401593807601e-09
1847,9.168480197274675e-09,4.314578916364553e-09
1848,1.287235473768078e-08,3.459445352405055e-08
1849,1.1731180693530519e-08,2.3462362719328667e-08
1850,6.1100964288129944e-09,6.1100964288129944e-09
1851,6.449438760824933e-10,9.674158363282004e-09
1852,5.208436348880241e-09,1.6927417689771573e-08
1853,2.9859659189668264e-09,1.851298847554972e-08
1854,5.195664343204953e-09,2.5978321716024766e-09
1855,4.776243400783642e-09,5.5722839675809155e-08
1856,3.106313539724681e-09,4.34883880018333e-08
1857,9.763018171682347e-10,1.6597130780837688e-08
1858,1.468102750479261e-09,1.3212924976357954e-08
1859,3.5645213447565993e-09,1.2221216039165483e-08
1860,5.95033897154984e-09,1.327383358784573e-08
1861,8.017138342086838e-09,9.903524222920623e-09
1862,9.035972525772706e-10,4.066187830886747e-09
1863,4.9946209945694875e-09,1.897955925755923e-08
1864,9.589455896019672e-10,2.828889478223573e-08
1865,3.2947911621228343e-09,3.388927893865912e-08
1866,6.811858188626729e-09,2.5301186923343266e-08
1867,4.85281148598915e-10,4.658699026549584e-08
1868,5.433861360870651e-09,3.112120694481746e-08
1869,1.953407657850903e-09,2.8324411260882698e-08
1870,1.1468097582678638e-09,5.791389412479475e-08
1871,1.0621177271019633e-09,4.354682658913589e-08
1872,1.2094678591978436e-09,5.019291648977742e-08
1873,2.9930022349411445e-09,1.3348790162126534e-07
1874,4.182226565063729e-09,6.572069821686455e-08
1875,5.149374260327022e-09,6.350894921069994e-08
1876,8.464420275799966e-09,5.74371412653818e-08
1877,2.4739263970730008e-09,5.504486111362894e-08
1878,1.3285995414946683e-08,7.790424660925055e-08
1879,1.0996785704264767e-08,1.1607718164441394e-07
1880,1.1552123035940554e-08,4.4924924225142604e-08
1881,6.972507571312292e-10,8.157833519817359e-08
1882,6.655385131892899e-10,6.455723422504889e-08
1883,1.2006744043446815e-08,7.709593319304986e-08
1884,3.300848483434038e-09,9.638477393991707e-08
1885,7.090199094506033e-09,8.508239091042924e-08
1886,1.5488312854472497e-08,1.0196472999268735e-07
