year,en_ADP île_NOUN,en_ADP ile_NOUN,en_ADP deal_NOUN
1800,3.144164395507687e-08,1.2576657937302116e-08,0.0
1801,1.0715321963061797e-07,3.095537381980762e-08,0.0
1802,6.937304419807333e-08,2.2378401354217203e-08,0.0
1803,3.705644502360883e-08,1.1702035340732664e-08,0.0
1804,1.557266102736321e-07,4.943701892301533e-09,0.0
1805,6.254330742194725e-08,1.9900143755080535e-08,0.0
1806,5.187004603612877e-08,5.76333825108577e-09,0.0
1807,6.832692633906845e-08,5.693910232196231e-09,0.0
1808,7.47804418388398e-08,2.2660739951163578e-08,0.0
1809,7.454800710071652e-08,6.7770917766551975e-09,0.0
1810,8.424456154898508e-08,4.680253518074551e-08,0.0
1811,6.267691787797958e-08,1.0028307073639553e-08,0.0
1812,9.868670503010435e-08,8.00162469616339e-09,0.0
1813,9.777521370324394e-08,2.5881675469463516e-08,0.0
1814,9.125363931161701e-08,2.5173416684509675e-08,0.0
1815,6.74305908887618e-08,5.394447111228828e-09,0.0
1816,6.025770460382773e-08,6.952811659743929e-09,0.0
1817,9.49692804397273e-08,1.0898113522728181e-08,0.0
1818,1.1801965627000754e-07,7.152706427149269e-09,0.0
1819,4.5544620519422097e-08,7.24573512300708e-09,0.0
1820,1.2222476186707354e-07,3.5599443393152796e-09,0.0
1821,3.550135829755163e-08,1.0847637010868993e-08,0.0
1822,5.714601059025881e-08,7.017931125119503e-09,0.0
1823,7.313188632451784e-08,6.917880934764753e-09,0.0
1824,4.6316120716483056e-08,1.0947446504872005e-08,0.0
1825,9.862096272961196e-08,1.4969253392393966e-08,0.0
1826,1.3476216054186807e-07,8.807984452907647e-09,0.0
1827,4.2399456390285195e-08,8.295545805836468e-09,0.0
1828,9.630916508740484e-08,8.255071293206129e-09,0.0
1829,1.0287811136322489e-07,1.971830476676928e-08,0.0
1830,6.575206867864836e-08,8.349468672008697e-09,0.0
1831,5.456922025359745e-08,1.2472964883158966e-08,0.0
1832,6.22378593106987e-08,3.382492252956837e-08,0.0
1833,1.3321172898095313e-07,3.590924801954998e-08,0.0
1834,8.027696907220161e-08,2.5203233278148218e-08,0.0
1835,7.638718813041123e-08,1.5882484660778573e-08,0.0
1836,1.0148332307835517e-07,4.099657502365517e-08,0.0
1837,7.305785487687899e-08,9.74104708006962e-09,0.0
1838,5.996553653631054e-08,2.0830134062066463e-08,0.0
1839,9.088918062616358e-08,1.1186360615589308e-08,0.0
1840,8.853866972913238e-08,3.949207094677831e-08,0.0
1841,7.76886395215115e-08,3.4028906803484915e-08,0.0
1842,5.903273203600179e-08,2.2808100297311285e-08,0.0
1843,5.9069112268161916e-08,1.594865972620596e-08,0.0
1844,6.53138769735051e-08,1.2074834687680891e-08,0.0
1845,9.095771247302764e-08,2.4553003186156275e-08,0.0
1846,6.732676638421253e-08,1.8148954339380907e-08,0.0
1847,4.7460368080010085e-08,1.0247124926365814e-08,0.0
1848,7.803865287314693e-08,1.769948720919956e-08,0.0
1849,7.29009101974043e-08,1.7596771817451895e-08,0.0
1850,7.128446100068686e-08,2.104588769924476e-08,0.0
1851,4.9660677348128957e-08,2.063820336850597e-08,0.0
1852,6.901178140061859e-08,1.8229527221080843e-08,0.0
1853,9.614809926006274e-08,2.269334142823709e-08,0.0
1854,7.58567040293201e-08,8.884585955826196e-08,0.0
1855,5.306937111981824e-08,1.1675261646360013e-08,0.0
1856,4.814786080942213e-08,9.836659264905734e-09,0.0
1857,5.9554409403972386e-08,9.763018393726952e-09,0.0
1858,6.753272691062406e-08,1.3702293077955119e-08,0.0
1859,6.568903621051447e-08,1.018434669930457e-08,0.0
1860,5.6757080812985805e-08,2.1055046151019496e-08,0.0
1861,5.800635555219813e-08,1.650587311274876e-08,0.0
1862,6.957699127951855e-08,1.3102160689726361e-08,0.0
1863,9.589672345100553e-08,2.497310469529168e-08,0.0
1864,7.959248193856183e-08,2.2535221688713136e-08,0.0
1865,5.836486849375433e-08,4.142023080078161e-08,0.0
1866,6.957826315101556e-08,2.9680238100571188e-08,0.0
1867,5.386620927083641e-08,2.2808213984149006e-08,0.0
1868,4.050696877921922e-08,2.4699369660652337e-08,0.0
1869,8.106642057637004e-08,1.1720446391194628e-08,0.0
1870,7.511604138699113e-08,7.454263428741115e-09,0.0
1871,7.009977154304181e-08,2.6552942955504477e-08,0.0
1872,5.6844989160254045e-08,1.6327815544059376e-08,0.0
1873,8.08110627303904e-08,3.292302430679683e-08,0.0
1874,5.257655999457711e-08,2.2106054209380943e-08,0.0
1875,7.437985516389745e-08,3.490131444960909e-08,0.0
1876,5.985554452081487e-08,1.3301233003915058e-08,0.0
1877,8.225805459005642e-08,1.669900340228736e-08,0.0
1878,8.152769481739597e-08,1.8117265909722846e-08,0.0
1879,5.5594860270957724e-08,1.0385853066452455e-08,0.0
1880,8.279021557200394e-08,4.235778594541273e-08,0.0
1881,5.717456247333885e-08,2.9284531744000475e-08,0.0
1882,4.45910792734594e-08,6.655385131892899e-09,0.0
1883,7.140852886777793e-08,3.728410069570032e-08,0.0
1884,6.271612296160356e-08,2.1125431182156262e-08,0.0
1885,4.18966337178972e-08,1.0313017106966527e-08,0.0
1886,4.194751518360462e-08,2.0651084398082276e-08,0.0
1887,6.8553710264041e-08,2.8727268563955022e-08,0.0
1888,3.550744054336974e-08,1.2681229621946954e-08,0.0
1889,7.831420845150205e-08,1.1277246247942685e-08,0.0
1890,6.94764992204e-08,2.6872984115744458e-08,0.0
1891,3.6970476458009216e-08,2.932141285327816e-08,0.0
1892,7.522215006439126e-08,2.9462008832581432e-08,0.0
1893,6.096832549928877e-08,3.017624117251927e-08,0.0
1894,7.18375510189162e-08,6.364554661075772e-08,0.0
1895,5.2963805785566365e-08,3.550982596856045e-08,0.0
1896,5.366296207398591e-08,2.535722409824359e-08,0.0
1897,5.010973680441566e-08,2.0393497224269197e-08,0.0
1898,2.4330926606808134e-08,4.639851125531891e-08,0.0
1899,5.859233098703953e-08,3.537650172802387e-08,0.0
1900,7.00792170960085e-08,3.374184520676948e-08,0.0
1901,7.488910142017247e-08,8.438995735549071e-08,0.0
1902,4.7629754362787935e-08,5.548620674034055e-08,0.0
1903,5.6702312178913417e-08,3.5101431761219715e-08,0.0
1904,4.78341632970114e-08,5.320878937453699e-08,0.0
1905,4.180214735471921e-08,1.0218303092557335e-07,0.0
1906,5.349951948119269e-08,7.047532901705011e-08,0.0
1907,4.4742737514980035e-08,6.68569620776438e-08,0.0
1908,3.536200066101003e-08,6.92505877086802e-08,0.0
1909,3.245580160182726e-08,5.115914747388928e-08,0.0
1910,2.9927242906069296e-08,4.702852551830006e-08,0.0
1911,4.14989171915181e-08,9.097839959171239e-08,0.0
1912,5.0531385964447395e-08,3.802877518443992e-08,0.0
1913,5.196929819817342e-08,7.954484776417914e-08,0.0
1914,6.964613419313537e-08,4.821655363862476e-08,0.0
1915,4.7123048574349014e-08,2.3561523843085297e-08,0.0
1916,4.1752354462687435e-08,3.625862410316927e-08,0.0
1917,4.1672412742777e-08,7.237839794171919e-08,0.0
1918,7.006689184407833e-08,7.810735525026757e-08,0.0
1919,3.867296488602179e-08,9.576162607327632e-08,0.0
1920,3.256059599721084e-08,5.073395392685143e-08,0.0
1921,5.2251955651172466e-08,1.1813486100464843e-07,0.0
1922,6.713921302248238e-08,7.673052992984708e-08,0.0
1923,5.6264525483129546e-08,1.2102180546591512e-07,0.0
1924,4.383152329978657e-08,8.766304548935011e-08,0.0
1925,5.169143690864075e-08,1.407766827554724e-07,0.0
1926,5.015762383209221e-08,9.808601619809565e-08,0.0
1927,7.804457169413581e-08,2.1295019048128694e-07,0.0
1928,4.6846768242403414e-08,8.569531007029951e-08,0.0
1929,4.9017788938954254e-08,1.3814104371512315e-07,0.0
1930,3.2561171536826805e-08,1.0923747439939291e-07,0.0
1931,7.299428261831054e-08,1.6423713677937712e-07,0.0
1932,8.110057336807586e-08,1.0630750812978818e-07,0.0
1933,6.308864186621577e-08,2.2941324773206873e-07,0.0
