year,un_DET essai_NOUN,un_DET décès_NOUN
1800,4.370388602126241e-06,1.5720821977538435e-08
1801,3.890852433130476e-06,2.3811825400343878e-08
1802,3.5872577370810177e-06,3.1329761895904085e-08
1803,2.98011828192557e-06,1.0336798084153997e-07
1804,2.6473522893866175e-06,4.943701981119375e-08
1805,2.9025781795866124e-06,5.1171799242411e-08
1806,3.54157131354782e-06,9.221341201737232e-08
1807,2.4825449216336892e-06,1.224190668835945e-07
1808,3.380982356304685e-06,1.2010191596800723e-07
1809,3.121980164166871e-06,1.0391540428145163e-07
1810,3.98523597766598e-06,2.340126741273707e-07
1811,3.986252011145552e-06,1.7048121492280188e-07
1812,5.1583808087229954e-06,1.4136203940751102e-07
1813,4.431517812264474e-06,1.0927818516748289e-07
1814,2.8005426315758086e-06,5.97868634599763e-08
1815,2.7026180422495827e-06,5.933891955578474e-08
1816,3.501899351832094e-06,3.476405652236281e-08
1817,3.048358109936089e-06,5.293369653713853e-08
1818,2.6643831532169315e-06,3.2187177367859476e-08
1819,2.8879429763151165e-06,4.34744116262209e-08
1820,2.7755699179010662e-06,7.001224133773576e-08
1821,3.184274483203353e-06,5.325203744632745e-08
1822,3.2452918929948282e-06,5.81485721795616e-08
1823,2.8284248969612236e-06,7.906149335212831e-08
1824,3.576446516717624e-06,9.094802067011187e-08
1825,3.8876031283052725e-06,8.893497205342271e-08
1826,3.351438053300626e-06,7.662946499564782e-08
1827,3.5587890963029167e-06,1.9171927456707039e-07
1828,3.0286938397239282e-06,1.2107437419306422e-07
1829,3.5090009475879924e-06,1.7660743267811085e-07
1830,3.5266068181272203e-06,1.241983471622632e-07
1831,3.6639333416133013e-06,2.1359952029342821e-07
1832,3.6598566595102966e-06,2.7736438523717766e-07
1833,3.4496044776233248e-06,1.9344659785147655e-07
1834,3.8411594545095795e-06,2.314963722938046e-07
1835,2.8013678132765563e-06,2.0647230059012145e-07
1836,2.783734693423412e-06,1.465123542487845e-07
1837,2.892395229991962e-06,1.913420000221322e-07
1838,2.722435453961225e-06,2.3291877671027805e-07
1839,3.052478113829693e-06,3.544677840139343e-07
1840,2.8912016034610133e-06,1.9109066329292546e-07
1841,3.502409143152363e-06,1.3739973203641398e-07
1842,3.1206848518650077e-06,1.683774550897965e-07
1843,3.20627131600304e-06,1.4176586526915003e-07
1844,3.1213447471145628e-06,2.1350503320860525e-07
1845,3.151712860471889e-06,2.9575206816900845e-07
1846,3.2744225819669737e-06,2.9038326676555926e-07
1847,3.478629153619295e-06,2.000885999109414e-07
1848,3.3532484877696334e-06,1.391823403196213e-07
1849,3.4606982808327302e-06,1.583709394736843e-07
1850,2.8751397707083015e-06,1.5682580389864142e-07
1851,3.1570002221315008e-06,1.4704720929792359e-07
1852,2.748101195493291e-06,1.9075898194387264e-07
1853,2.908330898776512e-06,1.325768825832796e-07
1854,3.4088755214156663e-06,1.51713399176856e-07
1855,3.3327565063245856e-06,1.8468141149696748e-07
1856,2.926147466553175e-06,1.480676121712321e-07
1857,3.1031753877641677e-06,2.2064420690526276e-07
1858,3.437317971588527e-06,2.167898496274745e-07
1859,3.0441013123549965e-06,1.247582439578565e-07
1860,3.0355884348409745e-06,1.5379337447996022e-07
1861,3.3615390293562086e-06,1.5091083716001208e-07
