year,en_ADP art_NOUN,en_ADP dard_NOUN
1800,3.5529058095562505e-07,1.8864987794131594e-08
1801,2.3335590038087162e-07,2.3811825400343878e-08
1802,2.528759353026544e-07,3.8043282302169246e-08
1803,2.96451567294298e-07,0.0
1804,3.5347467886026607e-07,0.0
1805,4.3780317948716174e-07,5.685755510853596e-08
1806,1.2679343619481642e-07,1.4408345627714425e-08
1807,4.0711458382247656e-07,2.8469551160981155e-09
1808,1.994145080175258e-07,9.064295980465431e-09
1809,3.478907117937524e-07,2.259030518203531e-09
1810,3.1591712490453006e-07,4.680253518074551e-09
1811,3.133846036007526e-07,0.0
1812,2.347143261971496e-07,3.467370746079723e-08
1813,3.163315744902917e-07,0.0
1814,2.1082736223476672e-07,3.1466771410748606e-09
1815,3.425474046636623e-07,0.0
1816,1.9931394135142e-07,3.9399267848239106e-08
1817,1.7125607354451233e-07,1.556873407970727e-09
1818,2.0027577329884139e-07,0.0
1819,2.856889746993829e-07,0.0
1820,2.9191542783024715e-07,4.746592452420373e-09
1821,3.4416593208685953e-07,9.86148829262845e-10
1822,3.448811725093037e-07,0.0
1823,2.5793813007712885e-07,0.0
1824,2.080014889216386e-07,5.894778887238772e-09
1825,2.3246369362794894e-07,0.0
1826,1.98179641364149e-07,4.403992281964975e-09
1827,2.1199727545662128e-07,7.373818444733615e-09
1828,1.6601865127086057e-07,2.7516904310687096e-09
1829,1.3974277424111392e-07,1.1145129263923081e-08
1830,1.6281463843803579e-07,7.305785310052215e-09
1831,2.2451337100548585e-07,1.4032085715598441e-08
1832,2.0565553371376666e-07,4.058990921151917e-09
1833,2.3283092964732077e-07,4.6334514003376626e-09
1834,2.1936147609480372e-07,0.0
1835,2.102538445569735e-07,1.663879345414898e-08
1836,2.5337227693711384e-07,3.36037508930076e-09
1837,2.5048406193661776e-07,2.7831563720326358e-09
1838,1.956770185884693e-07,1.0730675015224733e-08
1839,1.8527408773838516e-07,5.5931801412612e-09
1840,2.465069468549075e-07,1.9109065441114126e-09
1841,2.3499206980304166e-07,2.5682194149112547e-09
1842,1.6837745286935046e-07,0.0
1843,2.72308605886451e-07,1.2995204023980023e-08
1844,1.816713766089606e-07,4.9397050894128824e-09
1845,2.310214348710815e-07,5.580227946389016e-10
1846,2.3418005912212436e-07,2.9272506640865004e-09
1847,2.448523579445805e-07,8.629157832729106e-09
1848,2.0273959022709676e-07,8.84974404868899e-09
1849,1.458018203948086e-07,0.0
1850,2.0570657888185906e-07,1.6293590476834652e-08
1851,2.2121575149469663e-07,6.449438760824933e-10
1852,2.500049509635005e-07,5.859490670445666e-09
1853,1.9587936606058065e-07,2.9859659189668264e-09
1854,2.51989728639046e-07,1.558699391779328e-09
1855,3.5874894521725764e-07,6.368324534378189e-09
1856,2.4746964832900176e-07,6.212626857404757e-09
1857,1.9965372066721443e-07,3.905207268672939e-09
1858,2.1630048152587733e-07,6.8511463169329545e-09
1859,2.3373075563881685e-07,1.0693564256314403e-08
1860,2.0093836816670319e-07,4.119465657481669e-09
1861,1.876953561463779e-07,1.3204698667834691e-08
1862,2.218331287551223e-07,2.2589932147099034e-09
1863,2.497310411797571e-07,2.4973103585068657e-09
1864,3.1213678575170434e-07,1.0548401263577034e-08
1865,2.4051974989447444e-07,2.3534221238463715e-09
1866,2.4182096414193666e-07,1.0217787504984699e-08
1867,3.2174139263929646e-07,1.455843445796745e-09
1868,3.606107963349814e-07,2.4699371437009177e-09
1869,2.6224497418070314e-07,3.906815315701806e-09
1870,3.314280263566616e-07,5.734048791339319e-10
1871,2.570324895145859e-07,0.0
1872,2.9087701491903317e-07,2.4189357183956872e-09
1873,2.9690581726526943e-07,1.1972008939764578e-09
1874,2.8976854693496534e-07,7.169530746864439e-09
1875,3.684663383296538e-07,1.2587359599081083e-08
1876,4.867041951683859e-07,6.650616057868319e-09
1877,2.9996358463790784e-07,7.421779191219002e-09
1878,3.9314468480711184e-07,1.0870359723469392e-08
1879,4.1726692145971356e-07,9.163987790827832e-09
1880,3.651754560962672e-07,7.059631101924424e-09
1881,4.288092299020718e-07,4.183504653809678e-09
1882,5.623800376497456e-07,1.6638463051776853e-08
1883,5.579976374292528e-07,6.319338829996468e-09
1884,7.189247916983277e-07,2.6406787867472303e-09
1885,5.343431936921661e-07,7.090199094506033e-09
1886,5.97590766204803e-07,5.162771099520569e-09
1887,5.490825607523675e-07,1.9586774424595887e-09
1888,6.73373254045373e-07,3.1703073499755874e-09
1889,6.641044763000536e-07,1.2530273485467092e-09
1890,6.757572421633995e-07,8.520702365899524e-09
1891,7.272985200756921e-07,4.461953917456185e-09
1892,8.07384399337252e-07,7.522214851007902e-09
1893,8.917387077644889e-07,6.15841644346915e-09
1894,8.86626551732661e-07,0.0
1895,8.925605605725195e-07,6.6204757231957956e-09
1896,1.0325697559210312e-06,2.358811590497112e-09
1897,1.0447297391635857e-06,3.4960281336537946e-09
1898,1.0603756770422024e-06,5.6583548957434e-10
1899,9.557183062725016e-07,3.8693048765026106e-09
1900,1.077143508609879e-06,6.748368974740515e-09
1901,9.802648186507668e-07,1.117747761014698e-08
1902,1.0051350756157262e-06,3.928227076954727e-09
1903,1.1864283351314953e-06,5.400220270956879e-09
1904,1.1963915405033276e-06,5.912087708281888e-09
1905,1.253032266390619e-06,5.160759042333041e-10
1906,1.1188601689582356e-06,6.173021205313489e-09
1907,1.1509683268684512e-06,4.114274698707732e-09
