year,en_ADP hommage_NOUN,en_ADP dommage_NOUN
1800,1.760732146749433e-07,3.772997558826319e-08
1801,4.524246932646747e-08,3.095537337571841e-08
1802,1.1860552717735118e-07,5.594600338554301e-08
1803,1.014176405078615e-07,5.460949736857401e-08
1804,2.0763547681212913e-07,7.909923027682453e-08
1805,7.675770063997334e-08,3.980028751016107e-08
1806,2.0459850702536642e-07,4.034336598124355e-08
1807,1.195721210933698e-07,3.131650672116848e-08
1808,6.571614763473121e-08,9.744118045773575e-08
1809,1.4231892664362533e-07,9.262025457701384e-08
1810,8.658469141664682e-08,2.0827128821565566e-07
1811,1.0028307428910921e-07,2.5321475050077424e-07
1812,7.20146218213813e-08,3.467370746079723e-08
1813,1.2940837734731758e-07,2.0130190847567064e-08
1814,1.1642705288750221e-07,1.4789382873914292e-07
1815,1.1867783911156948e-07,5.933891955578474e-08
1816,6.257530316133852e-08,4.6352077731626196e-09
1817,1.3856173419757312e-07,4.514932783195036e-08
1818,1.4782260393531033e-07,2.6226590676969863e-08
1819,1.5112533557903873e-07,2.173720581311045e-08
1820,1.874904000942479e-07,1.1866481131050932e-08
1821,1.85395975904612e-07,8.08642042215979e-08
1822,1.0426640528748976e-07,3.709477880420309e-08
1823,1.017916734236124e-07,5.731958552246397e-08
1824,2.307384905364529e-07,1.2631669221718766e-07
1825,2.3774695701028747e-07,5.811592274085342e-08
1826,2.3429238638073002e-07,5.0205510859768765e-08
1827,1.0599863742299931e-07,7.650336897313537e-08
1828,8.621963099031404e-08,9.172300963200541e-08
1829,5.572564276690173e-08,6.001223340490469e-08
1830,1.4402833437010543e-07,2.1917355041978226e-08
1831,1.559120619276655e-07,4.8332740476553226e-08
1832,1.0688675899928057e-07,3.3824925083081325e-08
1833,1.5753734428081145e-07,9.498575082034222e-08
1834,1.1108092112799284e-07,4.947301235347368e-08
1835,1.973966021751039e-07,4.310960122211327e-08
1836,1.6465837404666672e-07,3.965242711956307e-08
1837,1.5863991797981924e-07,3.061472142462662e-08
1838,1.1993107151830884e-07,3.9135404250600914e-08
1839,1.6989284290502837e-07,4.264799713382672e-08
1840,1.8917975808108167e-07,3.758116307039927e-08
1841,1.65650146044527e-07,3.0818632978935057e-08
1842,2.092978692580516e-07,3.6895457355967665e-08
1843,1.813421754981448e-07,4.3120451209688326e-08
1844,2.387524152824838e-07,5.1043620885593555e-08
1845,1.0267619643400394e-07,5.133809821700197e-08
1846,1.5690064003592852e-07,6.557041842825129e-08
1847,1.3860584591185443e-07,3.7752563741833e-08
1848,2.453792719570025e-07,4.34441957963827e-08
1849,1.8518507260978367e-07,6.368355087715827e-08
1850,1.5954140053509036e-07,2.4440385715251978e-08
1851,1.8380900890235807e-07,4.837079004005318e-08
1852,2.6432814581589525e-07,5.6641745516117226e-08
1853,1.5825619170684035e-07,5.4344578614973216e-08
1854,1.5638949318885764e-07,3.4810952342922974e-08
1855,2.096240088178547e-07,6.04990830765928e-08
1856,2.3193808063037835e-07,5.332504926514048e-08
1857,2.582318235910819e-07,2.636014961865385e-08
1858,2.6376912648506945e-07,3.963877404089544e-08
1859,2.7599578777959266e-07,3.411756210880412e-08
1860,2.659343732724917e-07,3.112485202905191e-08
1861,3.621860287239542e-07,1.3204698667834691e-08
1862,2.5345903509332857e-07,4.201727321628823e-08
1863,2.427385652481462e-07,3.096664968893492e-08
1864,2.641895079369405e-07,9.781245324802512e-08
1865,3.059448868136805e-07,1.8827376990770972e-08
1866,2.5739093284515846e-07,4.330395597662573e-08
1867,4.605318082440135e-07,2.3778776281346836e-08
1868,2.9244054133847897e-07,4.1494942593089945e-08
1869,3.1401028510735784e-07,4.737013625799591e-08
1870,2.735141260146179e-07,3.1537268796455464e-08
1871,9.32539364839613e-07,4.354682658913589e-08
1872,4.2331374128234955e-07,4.535504416480762e-08
1873,3.962734854701111e-07,3.95076291681562e-08
1874,7.271099167205364e-07,4.361464789326419e-08
1875,3.804815569274922e-07,3.318485752856759e-08
1876,2.9806851720159955e-07,2.8416270225761764e-08
1877,3.148071463510149e-07,5.257093604882357e-08
1878,3.0557789792995393e-07,4.166971123709118e-08
1879,3.0180066401541694e-07,6.414791187125957e-08
1880,2.7340025376965116e-07,4.8775632421893533e-08
1881,2.0638622744151291e-07,4.6018548971460405e-08
1882,2.163000198951437e-07,8.186123778841647e-08
1883,2.8879378943802436e-07,5.1186646032874705e-08
1884,2.2313736103285464e-07,4.8192386969958534e-08
1885,2.76517777786367e-07,5.414333870135124e-08
1886,2.0134807643401587e-07,4.130216879616455e-08
1887,2.461404702280845e-07,5.7454535351553204e-08
1888,1.8831625903104054e-07,9.003672829521747e-08
1889,2.0111089138463711e-07,8.395283401796405e-08
1890,2.2612633943097649e-07,7.472000618236052e-08
1891,2.371209815166253e-07,1.1154885015685068e-07
1892,2.494867896718489e-07,6.83267842305213e-08
1893,2.1184952508912502e-07,4.3724757148311255e-08
1894,2.9869295259388196e-07,8.002955098618258e-08
