year,un_DET ecrit_NOUN
1800,7.860411033178138e-08
1801,1.166779455274991e-07
1802,7.384872446891677e-08
1803,5.070882025393075e-08
1804,8.651478289323222e-08
1805,5.685755377626833e-08
1806,3.1698360380971735e-08
1807,2.2775640928784924e-08
1808,4.305540457494317e-08
1809,4.518061036407062e-08
1810,4.446240886579744e-08
1811,4.763445815569867e-08
1812,4.000812303672774e-08
1813,2.0130191291656274e-08
1814,1.0698702013201e-07
1815,4.045835311217161e-08
1816,4.8669681618207505e-08
1817,4.9819948721996354e-08
1818,4.291623967311864e-08
1819,5.6930774428032294e-08
1820,4.2719332071783356e-08
1821,2.0709124970430537e-08
1822,4.712039469723095e-08
1823,2.174191093828881e-08
1824,2.189489389792243e-08
1825,3.3460684445429933e-08
1826,4.139752618481651e-08
1827,4.885154680778214e-08
1828,3.668920545152332e-08
1829,2.91487980419447e-08
1830,3.026682460216534e-08
1831,3.585977381703742e-08
1832,1.623596324051846e-08
1833,1.8533805712372953e-08
1834,1.4001796388996013e-08
1835,1.4369867074037757e-08
1836,2.1506399661141984e-08
1837,6.957891041103892e-09
1838,5.680945713848473e-09
1839,1.5381245610512906e-08
1840,1.9109065552136428e-08
1841,7.0626033910059505e-09
1842,3.152884531232303e-08
1843,8.860366884633208e-09
1844,2.030767731753258e-08
1845,1.3392547071333638e-08
1846,1.1709002434301397e-08
1847,1.833696039454935e-08
1848,1.528592141752938e-08
1849,1.9272654583346593e-08
1850,2.2403686905647646e-08
1851,2.3217979983058967e-08
1852,9.114763610540422e-09
1853,1.1346670714118545e-08
1854,1.7665258866816913e-08
1855,2.388121700391821e-08
1856,3.4169448603904584e-08
1857,2.880090343992947e-08
1858,3.572383544536706e-08
1859,1.3748868044061169e-08
1860,3.0209414525472766e-08
1861,1.131831295353436e-08
1862,1.5361153349324752e-08
1863,1.548332473344516e-08
1864,2.4932584885561937e-08
1865,8.001635354304426e-09
1866,6.325296786346968e-09
1867,3.105799351033056e-08
1868,1.6795572044259188e-08
1869,8.30198265688864e-09
1870,1.1468097582678638e-08
1871,2.1242354542039266e-09
1872,7.861540973763681e-09
1873,8.380405869257146e-09
1874,1.1949218670093131e-08
1875,6.751401837590265e-08
1876,3.204387777344664e-08
1877,1.4843558271415702e-08
1878,1.2682085936965848e-08
1879,7.942122737247814e-09
1880,1.8611753915820373e-08
1881,2.022027167924989e-08
1882,5.989846396659004e-09
1883,1.3270611498583662e-08
1884,5.281357573494461e-09
1885,8.379326565943757e-09
1886,9.034849535183298e-09
1887,1.3710741764150214e-08
1888,1.648559799782845e-08
1889,1.127724646998729e-08
1890,1.5730527547219708e-08
1891,8.92390827900158e-09
1892,1.3790727004803216e-08
1893,6.774258265451749e-09
1894,5.671385583383426e-09
1895,1.2639090662958097e-08
1896,1.2973463858756418e-08
1897,1.5149455356855412e-08
1898,5.658355006765703e-09
1899,1.3818945987509323e-08
1900,4.049021473662151e-08
1901,1.3412973398629902e-08
1902,8.347482705062248e-09
1903,1.6200660368781428e-08
1904,9.13686282189019e-09
1905,6.192911072844254e-09
1906,1.1317206005667657e-08
1907,1.1828539703273577e-08
1908,7.367083831866239e-09
1909,1.265226190483304e-08
1910,1.5498037075900584e-08
1911,4.25629931299909e-09
1912,2.0837684910901544e-09
1913,4.772690909149446e-09
1914,5.223460269876412e-08
1915,7.068457152925589e-09
1916,9.888715624128963e-09
1917,1.6449636319748606e-08
1918,6.89182577673364e-09
1919,1.1049418269237776e-08
1920,6.057785384427916e-09
1921,5.300923311413186e-09
1922,8.853522359686394e-09
1923,1.2739137744688378e-08
1924,7.734974771800296e-09
