year,son_DET hommage_NOUN,son_DET dommage_NOUN
1800,5.502288065173389e-07,9.432493897065797e-09
1801,6.357757662556196e-07,4.0480102825313224e-08
1802,5.079896823190211e-07,4.0281122437590966e-08
1803,6.709166946450296e-07,5.265916058760922e-08
1804,6.402094072655018e-07,9.887403784603066e-09
1805,8.073772543859548e-07,5.401467717547348e-08
1806,8.35684042854723e-07,6.916005901302924e-08
1807,4.896762764161622e-07,5.124519120158766e-08
1808,4.690773285354055e-07,4.078933102391602e-08
1809,5.263541265065896e-07,5.6475762733043666e-08
1810,4.001616771276417e-07,2.106114038724627e-08
1811,7.771937760026049e-07,1.7549536934780008e-08
1812,5.334416268709674e-07,2.1337665856435706e-08
1813,7.620715554157442e-07,4.888760685162197e-08
1814,5.978686692387214e-07,4.090680150170556e-08
1815,5.286557893668942e-07,1.3486118000116676e-08
1816,4.1021588792489183e-07,2.3176038865813098e-08
1817,5.013132344799942e-07,2.6466848268569265e-08
1818,6.950046316234193e-07,2.2650237241350624e-08
1819,8.342946484773961e-07,5.175525075173937e-08
1820,6.063771600395285e-07,2.1596996191419748e-07
1821,6.28176813677328e-07,1.065040748926549e-07
1822,4.902526171690624e-07,8.221005032282847e-08
1823,5.761606651777385e-07,9.882686669016039e-08
1824,9.339014122033973e-07,2.08843601967601e-07
1825,7.81042789554931e-07,1.1535130539641614e-07
1826,7.803873991463206e-07,1.35642963527971e-07
1827,3.769864559965974e-07,6.544264152807955e-08
1828,4.576978464010395e-07,5.4116576109208836e-08
1829,6.489894042727151e-07,7.715858174606183e-08
1830,4.1329868594175423e-07,4.800944353178238e-08
1831,4.89563889871647e-07,5.456922025359745e-08
1832,3.9507510429803716e-07,2.570694235259907e-08
1833,5.270551016733904e-07,4.054269808762001e-08
1834,4.1351972535075276e-07,3.267085801894609e-08
1835,5.082395304611964e-07,8.016873209726327e-08
1836,4.5633893108742996e-07,9.274634749090183e-08
1837,4.2373556041752636e-07,1.5168201628057432e-07
1838,5.592575174073744e-07,1.04781889831429e-07
1839,5.509282310356411e-07,4.9639474752893875e-08
1840,6.242294759983835e-07,6.433385379978063e-08
1841,3.8908524002678746e-07,4.751206006403663e-08
1842,5.453819689194006e-07,5.769107858100142e-08
1843,4.0226065678439227e-07,4.134837894298471e-08
1844,4.3359633816741905e-07,5.653217982626302e-08
1845,3.822456124957796e-07,4.8547981634783355e-08
1846,4.5138204862738007e-07,3.33706573485415e-08
1847,4.670531650319276e-07,6.957258591455684e-08
1848,3.5962140187972835e-07,6.677534258869855e-08
1849,3.1003835943010927e-07,1.5920887719289567e-08
1850,3.0007362283868133e-07,6.11009625117731e-08
1851,2.541078985007772e-07,2.644269869733762e-08
1852,3.5287155086827227e-07,4.427170807730363e-08
1853,3.194983662080375e-07,3.702597695109944e-08
1854,2.919963477676646e-07,8.313062949127925e-08
1855,3.8422223624934304e-07,6.686740761097099e-08
1856,3.422122065721567e-07,6.316170697573398e-08
1857,2.9777204724190653e-07,6.394776619345066e-08
1858,3.0291854080655156e-07,3.8170671956549995e-08
1859,2.831248326895519e-07,6.008764330545091e-08
1860,3.24522351380363e-07,5.996110985506675e-08
1861,3.8623741593912797e-07,4.291527133659656e-08
1862,3.167108478807634e-07,6.00892207103243e-08
1863,3.2564927315847925e-07,3.845858032036631e-08
1864,3.0734205136440096e-07,4.411149845395812e-08
1865,3.7795961360664876e-07,2.4004906507002488e-08
1866,3.289154404395589e-07,3.113992264047738e-08
1867,3.4406434856748547e-07,7.424801395927716e-08
1868,4.4903456153377874e-07,3.902500367303219e-08
1869,3.013131277818104e-07,4.102156125895817e-08
1870,2.2248109798894689e-07,2.5803219116937726e-08
1871,1.6250400536321763e-07,5.523012092112367e-08
1872,2.939006995550386e-07,5.9868661139717e-08
1873,2.6817299170200926e-07,5.3874039451784483e-08
1874,3.417476325817681e-07,6.811054475974743e-08
1875,3.2498275004400057e-07,3.833423178889461e-08
1876,2.6300164290837813e-07,4.353130833578689e-08
1877,2.374969400031901e-07,9.339072448710795e-08
1878,2.80213713121924e-07,3.985798358030479e-08
1879,2.9935692680282955e-07,5.009646741882534e-08
1880,2.9137020729486096e-07,5.0059199452334724e-08
1881,2.0150546198305364e-07,4.2532295907449225e-08
1882,2.8085725656268323e-07,5.124646662579835e-08
1883,3.418762487550353e-07,4.3603439081607576e-08
1884,2.8057212198007164e-07,4.7532218161450146e-08
1885,2.1206141109786358e-07,5.607703101873085e-08
1886,2.613652763105989e-07,6.25986018576441e-08
1887,1.7562806597926084e-07,3.1991731930247624e-08
1888,3.4556350669845415e-07,4.882273429984707e-08
1889,2.418342837096077e-07,8.959145247899869e-08
1890,2.228491352562756e-07,5.1124214195397144e-08
1891,2.2500996266217044e-07,4.461954006274027e-08
1892,2.2378588560023616e-07,4.576013878931917e-08
1893,2.500317186626688e-07,4.3724757148311255e-08
1894,2.772677420992409e-07,3.969969597505951e-08
1895,2.4736506110123457e-07,3.671354775747204e-08
1896,2.724427358713477e-07,3.4202766840962795e-08
1897,1.4741585663280432e-07,5.710179351581246e-08
1898,2.0709578985034227e-07,4.5266837389590364e-08
1899,2.6034894240467565e-07,4.9748205555033564e-08
1900,1.967409185565927e-07,4.2047531678690575e-08
1901,1.8778162447219415e-07,3.129693837422565e-08
1902,2.057408995392862e-07,4.075535642300565e-08
1903,2.300493904261458e-07,2.7001101798873606e-08
1904,2.337961984011372e-07,3.923476299405593e-08
1905,2.36362766248277e-07,4.8511136441220515e-08
1906,2.5412271531521924e-07,2.9321851613417493e-08
1907,2.206279874350514e-07,4.2685599055403145e-08
1908,1.9399987039037114e-07,3.732655784460803e-08
1909,2.1948924366910205e-07,3.300590023513905e-08
1910,2.105595300339047e-07,4.275320719671072e-08
1911,2.8464002665984367e-07,3.1922244403403965e-08
1912,2.1098155666976481e-07,3.438217888174222e-08
