year,son_DET hiver_NOUN,son_DET divers_ADJ
1800,1.7292904752608251e-07,0.0
1801,1.6906395661209217e-07,0.0
1802,5.594600338554301e-08,2.2378401354217203e-09
1803,2.067359501367605e-07,0.0
1804,1.3842364854355083e-07,0.0
1805,9.665784528323229e-08,1.1371510844071508e-08
1806,2.5358688127141704e-07,0.0
1807,1.1672516331273641e-07,0.0
1808,7.024829073998262e-08,0.0
1809,9.262025368883542e-08,9.036122072814123e-09
1810,8.190443434585859e-08,0.0
1811,1.4290337579936363e-07,0.0
1812,1.3869483383999182e-07,0.0
1813,1.1502966401621961e-07,0.0
1814,1.1642705288750221e-07,0.0
1815,1.9420009778059466e-07,0.0
1816,2.7811246638975717e-08,0.0
1817,1.120948880384276e-07,0.0
1818,3.2664026838880034e-07,0.0
1819,3.5193570058211776e-08,0.0
1820,2.017301818924011e-07,1.1866481131050932e-09
1821,6.903041649408692e-08,0.0
1822,8.822541985864518e-08,0.0
1823,1.0179167730939298e-07,0.0
1824,1.018954636222702e-07,0.0
1825,1.1006803912749774e-07,0.0
1826,1.73517292534342e-07,8.807984341885344e-10
1827,6.175573180611238e-08,0.0
1828,3.852366364798243e-08,0.0
1829,5.744028097609544e-08,0.0
1830,5.5315230618191435e-08,0.0
1831,5.6128342862393765e-08,0.0
1832,3.923691016538555e-08,1.488296597074168e-08
1833,1.2973664365034665e-07,0.0
1834,9.334530703952737e-08,9.334530925997342e-10
1835,8.773182003096736e-08,1.5126175867408165e-09
1836,1.2097349821882375e-07,2.688300027031687e-09
1837,5.635891708877239e-08,9.045257876039159e-09
1838,8.963270192730022e-08,0.0
1839,4.824117827428864e-08,0.0
1840,1.0382592829927262e-07,1.0191501864653674e-08
1841,4.558589417058556e-08,0.0
1842,5.769108035735826e-08,0.0
1843,5.6706345896717636e-08,5.906911071384968e-10
1844,7.574214733185869e-08,0.0
1845,5.46862337080789e-08,0.0
1846,4.273786036179672e-08,4.6836010625384006e-09
1847,4.476375536910382e-08,0.0
1848,3.942158599556933e-08,0.0
1849,5.446619844029499e-08,0.0
1850,5.906426636670403e-08,0.0
1851,5.159551097477788e-08,0.0
1852,2.474007287922575e-08,0.0
1853,5.135861491645244e-08,1.1943863675867306e-09
1854,4.104574746754963e-08,0.0
1855,5.7845614520601885e-08,2.653468555990912e-09
1856,4.348839022227935e-08,0.0
1857,8.298565279396541e-08,1.4644527812635033e-09
1858,4.942612763514376e-08,0.0
1859,3.870051590304513e-08,0.0
1860,4.4398682397250866e-08,0.0
1861,8.064297996046577e-08,4.715963730639317e-10
1862,9.804030307036804e-08,0.0
1863,9.14015627628828e-08,0.0
1864,8.055143152496669e-08,0.0
1865,6.4013084888348e-08,2.8241067262513297e-09
1866,1.0801661015635844e-07,0.0
1867,8.007138774246414e-08,0.0
1868,6.76762765827732e-08,0.0
1869,6.788091833076493e-08,0.0
1870,6.594156065631296e-08,0.0
1871,4.5671061599250606e-08,0.0
1872,5.6240256229855845e-08,0.0
1873,6.824045362119335e-08,0.0
1874,9.141152101932448e-08,0.0
1875,6.75140204853264e-08,0.0
1876,5.38095328295185e-08,0.0
1877,8.782438831733685e-08,6.80329748092845e-09
1878,6.763779170082529e-08,0.0
1879,7.942123081416952e-08,0.0
1880,6.61038186411389e-08,6.417846254436199e-10
1881,7.530308443470801e-08,2.091752326904839e-09
1882,7.187815720399726e-08,1.3310770263785798e-09
1883,7.204046126307873e-08,3.791603475633565e-09
1884,6.997798696062318e-08,0.0
