year,bien_ADV en_ADP,bien_ADV dans_ADP
1800,4.574759259412531e-06,5.716090981877642e-06
1801,5.3195617510937154e-06,6.086302619223716e-06
1802,5.303681064106058e-06,5.704254363081418e-06
1803,5.384886662795907e-06,6.18647618466639e-06
1804,5.193358902033651e-06,5.875589522474911e-06
1805,4.966507276549237e-06,6.387946086761076e-06
1806,5.114962732477579e-06,6.253222181840101e-06
1807,3.9686556192464195e-06,5.463306933961576e-06
1808,4.529882062342949e-06,5.155318376637297e-06
1809,5.037637947680196e-06,6.591851160919759e-06
1810,5.148278887645574e-06,5.410372978076339e-06
1811,5.50052664038958e-06,7.405904852930689e-06
1812,5.1370429900998715e-06,5.574465376412263e-06
1813,4.788109890796477e-06,5.82337679588818e-06
1814,4.981189704267308e-06,5.761565716966288e-06
1815,4.469299256015802e-06,4.428841293702135e-06
1816,4.985166015103459e-06,5.376840817916673e-06
1817,4.966426331520779e-06,5.122113634570269e-06
1818,5.1177612476749346e-06,4.985436589777237e-06
1819,4.904327397525776e-06,4.531689683062723e-06
1820,5.883401172468439e-06,4.771512067236472e-06
1821,5.786721430922626e-06,5.257159500615671e-06
1822,6.162746103655081e-06,4.769185579789337e-06
1823,6.154937182145659e-06,5.390017577155959e-06
1824,6.794153705413919e-06,5.178142146178288e-06
1825,6.083680545998504e-06,5.277101990941446e-06
1826,6.215794655872742e-06,4.840868314204272e-06
1827,5.743283054471249e-06,5.121116828377126e-06
1828,5.5749246712366585e-06,5.385058102547191e-06
1829,5.364236130844802e-06,5.815185431856662e-06
1830,5.125530151417479e-06,5.6786825552990194e-06
1831,5.213699296291452e-06,5.1092383728246205e-06
1832,5.407928711065324e-06,6.198079063324258e-06
1833,5.635435172735015e-06,5.9134422372153495e-06
1834,5.660459464706946e-06,5.7594056670495775e-06
1835,6.614676749450155e-06,6.157109964988194e-06
1836,6.728143034706591e-06,5.59368027097662e-06
1837,6.7067112468066625e-06,5.7353895499545615e-06
1838,6.650493560300674e-06,5.507361038326053e-06
1839,6.502771157101961e-06,5.571506790147396e-06
1840,5.728260930482065e-06,5.364551725506317e-06
1841,5.951206276222365e-06,5.671912731486373e-06
1842,5.940168648521649e-06,5.443756890599616e-06
1843,5.691899332305184e-06,5.263057573756669e-06
1844,5.632361535390373e-06,5.484719167725416e-06
1845,5.469739335239865e-06,5.798972779302858e-06
1846,5.3937519624014385e-06,5.8322543736721855e-06
1847,5.014619546273025e-06,5.0264843594050035e-06
1848,5.460291959025199e-06,5.526262611965649e-06
1849,5.135743322171038e-06,6.152166406536708e-06
1850,5.2003711061843205e-06,5.262150807539001e-06
1851,5.4091442507342435e-06,5.446550858323462e-06
1852,5.403101567935664e-06,5.6192516240116674e-06
1853,6.112869414209854e-06,5.84413237447734e-06
1854,6.231679890333908e-06,5.405049705586862e-06
1855,6.152332389319781e-06,5.496394805959426e-06
1856,6.144805865915259e-06,6.133416263764957e-06
