year,en_ADP hélice_NOUN,en_ADP délices_NOUN
1800,5.65949598296811e-08,5.65949598296811e-08
1801,5.000483582762172e-08,5.714838380299625e-08
1802,2.6854081625060644e-08,3.8043282302169246e-08
1803,2.9255089017965474e-08,5.265916058760922e-08
1804,3.9549615138412264e-08,2.2246659181490713e-08
1805,4.264316544322355e-08,3.980028751016107e-08
1806,4.610670600868616e-08,7.780506905419315e-08
1807,1.9359295322374237e-07,1.7081731584767113e-08
1808,9.064295625194063e-08,3.852325747288887e-08
1809,1.784634093837667e-07,3.6144488291256494e-08
1810,5.8503168531842675e-08,2.8081521108447305e-08
1811,8.774768645025688e-08,4.512738271955641e-08
1812,2.827240734859515e-07,4.267533171287141e-08
1813,8.052076339026826e-08,2.0130190847567064e-08
1814,6.922689976818219e-08,5.978686656860077e-08
1815,1.780167480092132e-07,7.012781111370714e-08
1816,2.7811246638975717e-08,7.184571870766376e-08
1817,9.652615062805125e-08,3.113746771532533e-08
1818,7.867976847819591e-08,2.1458118837358597e-08
1819,5.796588098405664e-08,2.5877625375869684e-08
1820,4.7109929823818675e-07,5.6959109429044474e-08
1821,4.5855921371185104e-07,4.832129363308013e-08
1822,5.754703806815087e-07,6.917674966189225e-08
1823,4.684393672960141e-07,3.854247765389118e-08
1824,3.4273929827577376e-07,6.315834610859383e-08
1825,2.4214969585045765e-07,1.1447075820569808e-07
1826,4.79154323329567e-07,3.6112734136395375e-08
1827,4.1569902009541693e-07,2.3043183361437514e-08
1828,2.7792071932708495e-07,7.979902250099258e-08
1829,1.9546841656392644e-07,2.3147574523818548e-08
1830,1.847319879288989e-07,3.5485243188304594e-08
1831,1.5279381671007286e-07,2.6505050598757407e-08
1832,5.587877467405633e-07,3.5177919244233635e-08
1833,4.4596970383281587e-07,5.21263281427764e-08
1834,2.623003183543915e-07,3.9205030333278046e-08
1835,3.7437285982377944e-07,6.504255622985511e-08
1836,2.2783342501497827e-07,1.0148332307835517e-07
1837,4.967934046362643e-07,4.7313659545800135e-08
1838,4.0334714412892936e-07,6.312161904276081e-08
1839,2.796590194975579e-07,6.85164565084051e-08
1840,3.5479166626828373e-07,3.630722389402763e-08
1841,4.6356359462151886e-07,5.008027770259105e-08
1842,4.3603722588159144e-07,6.171603672555648e-08
1843,3.945816615669173e-07,5.611565478957914e-08
1844,2.980288797971298e-07,1.0647809034480815e-07
1845,3.0858660693411366e-07,4.0177642546268544e-08
1846,3.3721926229191013e-07,4.6250561380745125e-08
1847,4.0880635765461193e-07,2.7505440591824026e-08
1848,2.2446168657097587e-07,4.0226107111962506e-08
1849,5.396342999119952e-07,4.4410899846525353e-08
1850,3.5981679502583575e-07,4.0055077477063605e-08
1851,4.0760451724963787e-07,5.0305622778523684e-08
1852,5.078225626675703e-07,3.841221785094717e-08
1853,4.210211841382261e-07,6.449686273946043e-08
1854,7.195995408437739e-07,7.377843758149538e-08
1855,4.6117284568936157e-07,1.0295457641973371e-07
1856,6.647510986113048e-07,5.9537676122545236e-08
1857,5.364778417060734e-07,5.369659916709679e-08
1858,4.908357027488819e-07,4.795802416301953e-08
1859,3.208069188076479e-07,7.078121178061281e-08
1860,4.2384723997201945e-07,6.087654469411063e-08
1861,5.168696475266188e-07,9.384768162590262e-08
1862,3.203252276762214e-07,6.68661997993425e-08
1863,3.011756462001358e-07,4.295374012031061e-08
1864,4.823496055905707e-07,4.8426750942631713e-08
1865,3.3795143394854676e-07,6.118897744045171e-08
1866,2.836652299720299e-07,5.498142741089396e-08
1867,7.667442218917131e-07,5.920430012906763e-08
1868,5.552418542720261e-07,5.77965266757019e-08
1869,3.511250383780862e-07,6.104399119521986e-08
1870,3.979429834544135e-07,6.078091985273204e-08
1871,5.310588448992348e-07,5.735435593123839e-08
1872,6.452510774579423e-07,4.595977787236194e-08
1873,4.393727408569248e-07,4.010622961514443e-08
1874,4.719941273378936e-07,3.4055272379873713e-08
1875,3.638891143964429e-07,5.034943961756966e-08
