year,mon_DET are_NOUN,mon_DET dard_NOUN
1800,0.0,7.860410988769218e-08
1801,4.7623651688866175e-09,4.7623651688866175e-09
1802,0.0,8.951360541686881e-09
1803,1.950339223455444e-09,3.900678446910888e-09
1804,2.4718509461507665e-09,1.730295728918918e-08
1805,0.0,6.254330742194725e-08
1806,2.881669125542885e-09,1.152667650217154e-08
1807,2.8469551160981155e-09,1.1387820464392462e-08
1808,0.0,3.172503681980743e-08
1809,0.0,9.036122072814123e-09
1810,0.0,3.2761775514700275e-08
1811,2.5070767684098882e-09,1.0028307073639553e-08
1812,0.0,2.9339290108509886e-08
1813,0.0,5.751483289628823e-09
1814,3.1466771410748606e-09,2.8320094713762956e-08
1815,0.0,1.0788894222457657e-08
1816,0.0,0.0
1817,0.0,4.670620334934483e-09
1818,1.1921177378582115e-09,4.768470951432846e-09
1819,0.0,9.315945348475907e-09
1820,0.0,7.119888678630559e-09
1821,0.0,7.889190523080458e-09
1822,0.0,1.4035862250239006e-08
1823,1.9765373782121287e-09,1.1859224713361982e-08
1824,0.0,5.136878655775945e-08
1825,8.805443041381977e-10,9.68598712347557e-09
1826,8.807984341885344e-10,3.5231937367541377e-09
1827,9.217273055917019e-10,3.6869092223668076e-09
1828,1.8344602503717056e-09,1.834460228167245e-08
1829,1.714635211591542e-09,5.143905745796928e-09
1830,1.0436835840010872e-09,4.174734336004349e-09
1831,0.0,3.1182412207897414e-09
1832,2.705993873419743e-09,8.117981842303834e-09
1833,5.791814139399776e-09,2.3167257001688313e-09
1834,4.667265685043276e-09,1.773560875939495e-08
1835,2.2689263801112247e-09,1.739510224751939e-08
1836,1.3441500135158435e-09,4.704525213838906e-09
1837,0.0,6.262101948095733e-09
1838,3.1560809521380406e-09,9.468243078458727e-09
1839,2.7965900706306e-09,5.5931801412612e-09
1840,1.2739377330817092e-09,5.095750932326837e-09
1841,0.0,2.6966304744746594e-08
1842,6.708265054555795e-10,2.683306021822318e-09
1843,1.1813822142769936e-09,4.134837805480629e-09
1844,1.097712254427563e-09,6.037417232818143e-09
1845,5.580227946389016e-10,1.0044410636567136e-08
1846,1.7563503984519002e-09,6.439951460990301e-09
1847,5.393223645455691e-10,2.1572894581822766e-09
1848,8.045221711050488e-10,2.413566457803995e-09
1849,8.379414939696517e-10,8.379414939696517e-10
1850,0.0,7.467895635215882e-09
1851,3.2247193804124663e-09,2.579775504329973e-09
1852,6.510545436100301e-10,5.208436348880241e-09
1853,5.971931837933653e-10,8.360704129017904e-09
1854,1.0391328908454511e-09,5.195664343204953e-09
1855,5.306937111981824e-10,7.429711956774554e-09
1856,1.5531567143511893e-09,4.659470143053568e-09
1857,9.763018171682347e-10,1.806158356210119e-08
1858,9.787352039936081e-10,1.468102750479261e-09
1859,1.5276520048956854e-09,2.036869339860914e-09
1860,1.373155145145688e-09,2.288591982591015e-09
1861,4.715963730639317e-10,8.488734604128467e-09
1862,9.035972525772706e-10,1.8071945051545413e-09
1863,0.0,5.494082966350788e-09
1864,9.589455896019672e-10,9.589456340108882e-09
1865,4.706844358715045e-10,6.1188974997961054e-09
1866,9.731225825149181e-10,3.8924903300596725e-09
1867,9.7056229719783e-10,6.79393608038481e-09
1868,1.4819622196071691e-09,1.4819622085049389e-08
1869,9.767038289254515e-10,1.953407657850903e-09
1870,2.2936195165357276e-09,2.8670243956696595e-09
1871,4.248470908407853e-09,2.1242354542039266e-09
1872,0.0,1.2094678591978436e-09
1873,0.0,8.380406590902112e-09
1874,0.0,1.7923826867161097e-09
1875,5.721527140956084e-10,6.293679799540541e-09
1876,6.04601479992084e-10,2.418405919968336e-09
1877,1.2369631985365004e-09,0.0
1878,1.8117265465633636e-09,2.5968081018845623e-08
1879,0.0,5.498392852132383e-09
1880,1.2835692508872398e-09,2.5671385017744797e-09
1881,0.0,2.7890030285249168e-09
1882,0.0,6.655385131892899e-09
1883,1.2638677882037541e-09,6.951272890631799e-09
1884,1.3203393933736152e-09,5.281357573494461e-09
1885,1.2891271383708158e-09,6.445635580831777e-09
1886,6.453463874400711e-10,1.936039106809062e-09
1887,6.528924623161458e-10,3.9173548849191775e-09
1888,6.340614699951175e-10,2.53624587998047e-09
1889,0.0,6.265136853755848e-09
1890,0.0,6.5543866445416654e-09
1891,0.0,2.5496880162734215e-09
1892,1.8805537127519756e-09,6.268512375839919e-10
1893,6.158416554491453e-10,2.463366621796581e-09
1894,0.0,3.780923574225881e-09
1895,6.018614495673091e-10,6.018614495673091e-10
1896,5.89702897624278e-10,3.5382172747233653e-09
1897,0.0,2.330685422435863e-09
1898,5.6583548957434e-10,3.3950129374460403e-09
1899,0.0,1.6582735185011188e-09
1900,1.5573159428683425e-09,2.5955265714472375e-09
1901,5.588738916095792e-10,3.912117296778206e-09
1902,1.4730852093691738e-09,8.347482705062248e-09
1903,0.0,2.7001101354784396e-09
1904,1.0749250378694342e-09,1.0211787859759625e-08
1905,5.160759042333041e-10,5.160759042333041e-10
1906,0.0,4.629765903985117e-09
1907,5.142843373384665e-10,3.0857059130084963e-09
1908,4.911389073214423e-10,4.4202499438483756e-09
1909,0.0,1.1001967115120692e-09
1910,2.137660271017694e-09,2.6720753387721174e-09
1911,2.6601871816467337e-09,7.980561100850991e-09
1912,5.209421227725386e-10,3.125652625612929e-09
