year,on_PRON ira_VERB,on_PRON dira_VERB
1800,2.4524483421828336e-07,3.464869223535061e-06
1801,4.4766233031623415e-07,4.469479563340428e-06
1802,3.2672465977157117e-07,3.6812469943470205e-06
1803,2.632957887271914e-07,3.86167175747687e-06
1804,4.276302263406251e-07,3.905524408764904e-06
1805,3.781027473337417e-07,3.431353320593189e-06
1806,6.858372643137045e-07,3.6366664062370546e-06
1807,2.6191987245738346e-07,3.5102957554045133e-06
1808,2.2207524530415412e-07,3.3379269552824553e-06
1809,2.891558992246246e-07,4.642307658286882e-06
1810,3.697400323687816e-07,4.069480382895563e-06
1811,4.061464267124393e-07,2.637444708852854e-06
1812,1.8137015800334666e-07,2.5738559088495094e-06
1813,2.070533930975671e-07,2.562285772000905e-06
1814,2.8949429520253034e-07,3.7791592149005737e-06
1815,1.8071397889229956e-07,2.8941208256583195e-06
1816,3.151941356804855e-07,3.3952896956179757e-06
1817,3.6119462976103023e-07,2.9487182473530993e-06
1818,2.884924796831001e-07,3.154343630740186e-06
1819,2.5360073152569385e-07,4.160086973570287e-06
1820,2.586892833278398e-07,2.9666202863154467e-06
1821,2.0117435539646067e-07,4.1260466332460055e-06
1822,2.686865059331467e-07,5.0308540266996715e-06
1823,1.4626377087267883e-07,2.6347242965130135e-06
1824,2.5852815710436516e-07,2.5507550844849902e-06
1825,2.0692791125043186e-07,2.745537130977027e-06
1826,2.431003629510542e-07,2.8793300543838996e-06
1827,2.6361400529140155e-07,3.417764901314513e-06
1828,2.5865889341503134e-07,2.9571499453595607e-06
1829,2.323330718922989e-07,2.710838202801824e-06
1830,2.901440403491051e-07,2.8743046414092532e-06
1831,2.7284611547884197e-07,3.4175923246948514e-06
1832,2.7601137375654616e-07,3.2756055361460312e-06
1833,3.1854979098966396e-07,3.0499693366436986e-06
1834,2.7163484617176437e-07,3.119600251011434e-06
1835,3.600029714334596e-07,3.0653195608465467e-06
1836,3.461186182107667e-07,3.107674729108112e-06
1837,2.497882825025499e-07,2.6133839128306136e-06
1838,3.0235255366051206e-07,2.5059282506845193e-06
1839,2.684726503332513e-07,2.3141783458413556e-06
1840,3.0001234918586306e-07,2.8644490157603286e-06
1841,3.0947044749041197e-07,2.947031816802337e-06
1842,2.8644292271451377e-07,2.7128223791805794e-06
1843,2.56950627885999e-07,3.039105763491534e-06
1844,3.1888541229818657e-07,2.6251789222442312e-06
1845,2.840336037479574e-07,2.8682371748800506e-06
1846,3.0033591968958717e-07,2.8552403819048777e-06
1847,3.1820018797645844e-07,3.145867367493338e-06
1848,3.4353097078110295e-07,2.831917981893639e-06
1849,2.7400686164469334e-07,2.460196242282109e-06
1850,3.048259102911288e-07,2.6130845753868925e-06
1851,2.5539777936955943e-07,2.775193479465088e-06
1852,3.365951997125194e-07,2.806045017678116e-06
1853,3.1591519444873484e-07,2.256195784866577e-06
1854,3.1070074513195323e-07,2.3603903400726267e-06
1855,2.5791714719503034e-07,2.443313746880449e-06
1856,3.2046800413354504e-07,2.6719474135461496e-06
1857,2.894734869585136e-07,2.3318968942476204e-06
1858,3.361955265290817e-07,2.936205532932945e-06
