year,bien_ADV eu_VERB,bien_ADV dû_VERB
1800,2.5153315164061496e-07,5.785262828794657e-07
1801,4.0956339830700017e-07,4.952859740114945e-07
1802,4.856112809648039e-07,6.333087867460563e-07
1803,2.5354410126965377e-07,2.808488375194429e-07
1804,3.831368928786105e-07,3.9796799455871223e-07
1805,3.752598445316835e-07,5.600468853117491e-07
1806,3.602086451337527e-07,5.79215509333153e-07
1807,2.932363827312656e-07,5.010641075386957e-07
1808,2.5380029455845943e-07,4.532147954705579e-07
1809,4.3373387370593264e-07,4.563241589039535e-07
1810,2.69114565298878e-07,3.814406568380946e-07
1811,4.78851688967552e-07,4.136676636790071e-07
1812,3.494042744023318e-07,3.494042744023318e-07
1813,4.3423699480626965e-07,5.118820354255149e-07
1814,3.4613449884091096e-07,4.751482549636421e-07
1815,3.263640451223182e-07,4.962891466675501e-07
1816,2.9201808615653135e-07,3.5459339642329724e-07
1817,3.829908621355571e-07,6.289768634815118e-07
1818,3.552510747795168e-07,4.7327074526037904e-07
1819,3.7263779972818156e-07,5.258333430901985e-07
1820,5.078853746454115e-07,4.2363336660855566e-07
1821,3.816396088041074e-07,7.790575864419225e-07
1822,5.383755592447415e-07,4.852398092225485e-07
1823,5.277354944155377e-07,4.091432401764905e-07
1824,5.776883540420386e-07,4.5305586127142305e-07
1825,4.261834476437798e-07,4.5083868371875724e-07
1826,4.289488515496487e-07,3.9724008615849016e-07
1827,3.548650227003236e-07,4.451943027561356e-07
1828,4.06332958391431e-07,4.971387284058437e-07
1829,4.192283142856468e-07,5.529698796635785e-07
1830,4.1538606865287875e-07,4.3625973944472207e-07
1831,4.7241354650395806e-07,5.020368121222418e-07
1832,3.8154513504196075e-07,7.238533612508036e-07
1833,3.9616008962184424e-07,5.513807082024869e-07
1834,4.01384824044726e-07,5.180664857107331e-07
1835,5.00676435422065e-07,4.2277662259948556e-07
1836,5.087607632958679e-07,2.782390424727055e-07
1837,5.29495480350306e-07,4.209524036014045e-07
1838,5.352713401407527e-07,2.941467585060309e-07
1839,3.355908120283857e-07,3.7404393538054137e-07
1840,3.363195730798907e-07,3.242171544570738e-07
1841,4.1091510638580075e-07,4.134833204716415e-07
1842,4.004834295301407e-07,3.9712929833513044e-07
1843,3.904468144355633e-07,3.8572127891711716e-07
1844,4.2097263985851896e-07,3.4577936958157807e-07
1845,3.336976419632265e-07,3.4764821066346485e-07
1846,4.437711993432458e-07,3.9810609564483457e-07
1847,3.5487411764734134e-07,3.370764716237318e-07
1848,4.111108182769385e-07,2.389430733273912e-07
1849,3.728839601535583e-07,3.619907147367485e-07
1850,4.82018720049382e-07,3.3266081800320535e-07
1851,3.5471913406581734e-07,2.7539104507923184e-07
1852,3.684968703510094e-07,3.2748042144703504e-07
1853,5.303075454321515e-07,3.6548223647514533e-07
1854,4.977446792508999e-07,2.940745957857871e-07
1855,4.6701046585440054e-07,3.8369154253814486e-07
1856,4.3125984916514426e-07,4.095156782568665e-07
1857,4.2713205061772896e-07,4.2469127947697416e-07
1858,5.304744945533457e-07,4.272179126019182e-07
1859,4.6898915684323583e-07,4.781550728694128e-07
1860,3.9592640632690745e-07,4.10573392173319e-07
1861,4.357550551503664e-07,4.041581007641071e-07
1862,4.635454047274834e-07,4.1926912786038883e-07
1863,4.400260991133109e-07,3.43130437840955e-07
1864,3.8405769942073675e-07,4.7563702310071676e-07
1865,4.344417448010063e-07,3.468944385076611e-07
1866,4.6709882894901966e-07,4.1455021460024e-07
1867,5.342945428310486e-07,4.032686433674826e-07
1868,4.801557338396378e-07,4.001298066214076e-07
1869,4.653993812553381e-07,4.91282037273777e-07
1870,4.5413665361593303e-07,3.8934192048145633e-07
1871,5.26810367773578e-07,3.9404568497047876e-07
1872,4.408510392295284e-07,4.2270900735275063e-07
1873,5.141977794664854e-07,3.5377286167204147e-07
1874,5.263630669105623e-07,3.698283137509861e-07
1875,4.771753765453468e-07,4.5886648081250314e-07
1876,4.6796154151707015e-07,5.235849016571592e-07
1877,3.8655099388051894e-07,4.842710836783226e-07
1878,4.1911275161510275e-07,4.4206129246049386e-07
1879,5.070739916845923e-07,4.850804202760628e-07
1880,4.999502039026993e-07,4.986666795048222e-07
1881,4.364789845112682e-07,4.580937513765093e-07
1882,5.58386830107338e-07,4.2727572235889966e-07
1883,4.948042260366492e-07,4.132847664095607e-07
1884,4.832442073166021e-07,4.924866061628563e-07
1885,4.5054994757265376e-07,4.4990537162448163e-07
1886,4.581959274219116e-07,4.510971223226079e-07
1887,4.5049580421618884e-07,3.806362940395047e-07
1888,5.376841158977186e-07,4.134080882067792e-07
1889,5.450668822959415e-07,4.504633182023099e-07
1890,4.5487442434932746e-07,4.3979932229376573e-07
1891,5.137621315043361e-07,5.150369588591275e-07
1892,6.061651447453187e-07,4.068264445322711e-07
1893,5.487149223881715e-07,3.8982776118245965e-07
1894,5.784813197351468e-07,3.7683204823224514e-07
1895,4.98341307775263e-07,4.219048719278362e-07
1896,5.218870455792057e-07,3.9687006392341573e-07
1897,5.110027814225759e-07,3.6358693478177884e-07
1898,5.386754082792322e-07,4.0287486058332433e-07
1899,5.632602437799505e-07,3.9964390907698544e-07
1900,4.80172388961364e-07,3.914053934295225e-07
1901,4.962799948771135e-07,4.107723157176224e-07
1902,4.365242318726814e-07,3.707264397689869e-07
1903,4.233772585848783e-07,4.438981022758526e-07
1904,4.971528255737212e-07,4.025594364520657e-07
1905,5.140116172697162e-07,3.7363895444286754e-07
1906,5.005291541237966e-07,4.0999151451615035e-07
1907,4.3919882841692015e-07,3.774846959458955e-07
1908,4.80825008253305e-07,4.213971749322809e-07
1909,5.616504381578125e-07,4.4337926397020055e-07
1910,5.231923410065065e-07,4.986092676517728e-07
1911,4.953268444296555e-07,4.18713455019315e-07
1912,4.7509922751487466e-07,4.2352593254690873e-07
1913,5.186324187889113e-07,4.369663599845808e-07
1914,5.290427793624985e-07,4.4868181703350274e-07
1915,5.489835075422889e-07,3.145463551845751e-07
1916,6.240878178687126e-07,3.5819127219838265e-07
1917,5.549010779759556e-07,4.2220733575959457e-07
1918,4.996573466087284e-07,3.698613113556348e-07
1919,4.926199039800849e-07,3.609476664223621e-07
1920,4.944667466588726e-07,3.5286601018924557e-07
1921,4.816267278329178e-07,4.6269485665106913e-07
1922,4.825169526156969e-07,3.5192752534385363e-07
1923,5.010727477383625e-07,4.798408781425678e-07
1924,5.646531349157158e-07,4.022186885777046e-07
1925,5.97201051277807e-07,5.158145199857245e-07
1926,4.848570256399398e-07,4.558770569929038e-07
1927,6.143222890386824e-07,4.838763629777532e-07
1928,5.16457077992527e-07,4.66182484615274e-07
1929,5.503360966940818e-07,3.776597736759868e-07
1930,5.125758661961299e-07,4.4010099031766003e-07
1931,4.65338558797157e-07,3.900632066233811e-07
1932,5.73183740470995e-07,4.745479316170531e-07
1933,5.276504566609219e-07,3.934437131647428e-07
1934,5.667287155119993e-07,4.6847978296682413e-07
1935,4.94290134156472e-07,5.601157226919895e-07
1936,4.571017484522599e-07,4.474019590361422e-07
1937,4.709078211817541e-07,4.117295588912384e-07
1938,5.004573040423566e-07,4.2396251842546917e-07
1939,5.444682074084994e-07,4.2211578943351924e-07
1940,4.564409152862936e-07,4.894060907645326e-07
1941,5.047069180363906e-07,4.692889206125983e-07
1942,5.279528636492614e-07,6.038081323822553e-07
1943,5.225823542787111e-07,4.238723363414465e-07
1944,5.205361617299786e-07,5.237493496679235e-07
1945,5.598755592473026e-07,5.054129132986418e-07
1946,6.041759093022847e-07,3.9118302197493904e-07
1947,5.066370363238093e-07,4.136542202104465e-07
1948,4.631424133094697e-07,4.41398640305124e-07
1949,4.977223397872876e-07,3.9366202031487774e-07
1950,4.668923736517172e-07,3.6266581560084887e-07
1951,5.415992063717567e-07,3.7954589515720727e-07
1952,4.6818928467473597e-07,3.564143753465032e-07
1953,5.192984531277034e-07,3.673875141885219e-07
1954,5.013311010770849e-07,4.0653750943420164e-07
1955,5.46242404197983e-07,3.876255902923731e-07
1956,5.066983135293412e-07,3.9855618183537445e-07
1957,4.974125999979151e-07,3.8697464788128855e-07
1958,4.996434768145264e-07,3.4660700976019143e-07
1959,5.25500695403025e-07,3.464584210632893e-07
1960,5.121416961628711e-07,3.6541999293149274e-07
1961,5.294497213981231e-07,4.0994140704242454e-07
1962,5.320901550476265e-07,4.230084869050188e-07
1963,4.836607558900141e-07,3.9378264204970037e-07
1964,5.499907160810835e-07,4.1005947082339844e-07
1965,4.875590775554883e-07,4.191585105672857e-07
1966,5.627699692922761e-07,3.8053443063290615e-07
1967,4.979638674740272e-07,4.131621267333685e-07
1968,5.407664502854459e-07,4.226422447572986e-07
1969,5.336565322977549e-07,3.2882326195249334e-07
1970,4.7688780568933e-07,3.6743813325301744e-07
1971,4.912308213533834e-07,3.843521199087263e-07
1972,5.453346147987759e-07,3.1396498911817616e-07
