year,on_PRON eut_VERB,on_PRON dut_VERB
1800,5.929894314249395e-06,9.872676400846103e-07
1801,6.338708203657006e-06,9.667601119645042e-07
1802,6.118254759712727e-06,8.280008501060365e-07
1803,5.84906729272916e-06,7.196751425908587e-07
1804,5.180999664844421e-06,6.327938137928868e-07
1805,5.964357342236326e-06,1.0859792780593125e-06
1806,6.129310122560128e-06,7.088906102126202e-07
1807,5.394980007622507e-06,8.882499713536163e-07
1808,5.309411108100903e-06,7.002168871395043e-07
1809,6.39757422504772e-06,9.26202517348429e-07
1810,5.94626214933669e-06,7.394800860538453e-07
1811,5.294946163303393e-06,8.423777728694404e-07
1812,5.590468617810984e-06,7.041429626042373e-07
1813,6.223104946911917e-06,1.0784031019284157e-06
1814,6.721302270307206e-06,7.142957372252567e-07
1815,6.51109769478353e-06,9.170560275606476e-07
1816,4.994436494598631e-06,8.760542868913035e-07
1817,6.2788705008642864e-06,1.019752062347834e-06
1818,6.5864506950674695e-06,1.254107871773158e-06
1819,6.886553592266864e-06,8.022063440193961e-07
1820,6.812546871515224e-06,1.1332489293636172e-06
1821,6.403064276128134e-06,1.1133620034797787e-06
1822,8.401466288887605e-06,1.0847716112039052e-06
1823,7.708495559199946e-06,1.085119009758273e-06
1824,7.4358423489684355e-06,1.0374810699431691e-06
1825,7.584128184134897e-06,1.1860931721230372e-06
1826,6.572518032044172e-06,9.213151770381955e-07
1827,5.951593379904807e-06,9.235707807420113e-07
1828,6.473810344687081e-06,9.39243662401168e-07
1829,6.829392077634111e-06,1.0973665212077321e-06
1830,6.741152219547075e-06,1.1501393260004988e-06
1831,4.992304184270324e-06,9.105264098252519e-07
1832,5.789473789263866e-06,1.2542281524474674e-06
1833,5.417662919171562e-06,1.1734215661363123e-06
1834,5.154527798367781e-06,1.215355922568051e-06
1835,5.631475232803496e-06,1.1753038791084691e-06
1836,5.711293511012627e-06,1.1606735057512196e-06
1837,6.700448921037605e-06,1.3310445865499787e-06
1838,6.978726105444366e-06,1.2371837243563277e-06
1839,6.307009698502952e-06,1.1305215252832568e-06
1840,5.6779405213092105e-06,1.5178968340023857e-06
1841,5.287963972477883e-06,1.5736764282792137e-06
1842,6.060917598915694e-06,1.4731349438079633e-06
1843,5.129561486683087e-06,1.535796883445073e-06
1844,5.679014179804653e-06,1.619125526985954e-06
1845,5.694064725503267e-06,1.6020834721075516e-06
1846,5.426537086350436e-06,1.4044948670743906e-06
1847,5.063697926743771e-06,1.5144172493819497e-06
1848,4.845636908612505e-06,1.442508306581658e-06
1849,4.795539098267909e-06,1.7797877660541417e-06
1850,5.515380507858936e-06,1.37001936195702e-06
1851,5.200182386033703e-06,1.3879191840260319e-06
1852,4.107503059458395e-06,1.4355753137351712e-06
1853,4.636607968677708e-06,1.3030754786313992e-06
1854,5.385305939853424e-06,1.4173772058256873e-06
1855,5.199206270845025e-06,1.4360572322402732e-06
1856,5.794310254714219e-06,1.5210582375857484e-06
1857,7.3940220772783505e-06,1.4424859671180457e-06
1858,5.994753337290604e-06,1.5351462252510828e-06
1859,5.51329605968931e-06,1.7598551664832485e-06
1860,4.991419018551824e-06,1.6134573002091201e-06
1861,4.3820735982080805e-06,1.5124095682494954e-06
1862,4.632291279449419e-06,1.4755742938632466e-06
1863,4.422237225298886e-06,1.5433378166562761e-06
1864,4.7103408178372774e-06,1.6110286082948733e-06
1865,4.395721816763398e-06,1.5391380827622925e-06
