year,en_ADP ébauche_NOUN,en_ADP débauche_NOUN
1800,3.144164484325529e-09,5.345079756580162e-08
1801,7.143547975374531e-09,5.476719877606229e-08
1802,6.713520406265161e-09,1.3427040812530322e-07
1803,1.5602713787643552e-08,4.8758479920252285e-08
1804,9.887403784603066e-09,5.6852570651244605e-08
1805,1.7057265822018053e-08,8.24434565060983e-08
1806,1.152667650217154e-08,6.627838899930794e-08
1807,2.8469550272802735e-08,9.964342950752325e-08
1808,4.5321479902327155e-09,4.758755522971114e-08
1809,1.8072244145628247e-08,7.90660692473466e-08
1810,2.574139479349924e-08,5.616304221689461e-08
1811,0.0,1.1532553401139012e-07
1812,2.6672082320544632e-09,1.2535878113340004e-07
1813,1.4378708002027452e-08,6.039057609541487e-08
1814,5.034683425719777e-08,7.237357380063258e-08
1815,0.0,4.045835311217161e-08
1816,9.038654980031424e-08,6.952811659743929e-09
1817,2.6466848268569265e-08,8.407116069975018e-08
1818,2.6226590676969863e-08,7.510341504257667e-08
1819,1.449147024601416e-08,5.072014630513877e-08
1820,2.3732962262101864e-08,4.2719332071783356e-08
1821,2.2681422962023134e-08,6.409967312492881e-08
1822,1.5038423839541792e-08,5.413832582235045e-08
1823,2.9648060007048116e-08,1.5219337967664615e-07
1824,2.0210670470532932e-08,5.726356633317664e-08
1825,1.937197424695114e-08,1.364843740248034e-07
1826,1.0569580766173203e-08,5.725189922145546e-08
1827,4.516463647519231e-08,5.899054755786892e-08
1828,1.1006761724274838e-08,3.485474309172787e-08
1829,1.2002446148073886e-08,1.0545006290385572e-07
1830,4.4878394334091354e-08,6.888311787633938e-08
1831,1.7150327380477393e-08,2.6505050598757407e-08
1832,1.6235963684607668e-08,5.411987658021644e-08
1833,4.865124125785769e-08,4.2859426230279496e-08
1834,2.42697808516823e-08,8.401077877806529e-08
1835,2.4958190181223472e-08,6.504255622985511e-08
1836,1.344150035720304e-08,8.064900214321824e-08
1837,2.2265250976261086e-08,6.54041727443655e-08
1838,2.019891809368346e-08,8.647661786653771e-08
1839,8.319855737681792e-08,4.264799713382672e-08
1840,2.6752692505738196e-08,8.025807574085775e-08
1841,2.760835826620678e-08,4.4301785351308354e-08
1842,4.427455024824667e-08,5.1653639587811995e-08
1843,4.016699506337318e-08,6.438533262098645e-08
1844,2.140538946093784e-08,5.927646284931143e-08
1845,4.1293688468613254e-08,5.5802278353667134e-08
1846,1.0538101946622191e-08,5.2690513285824636e-08
1847,1.6179670936367074e-08,7.820174374728595e-08
1848,3.378993085334514e-08,5.792559676365272e-08
1849,7.54147322368226e-09,3.351765798242923e-08
1850,3.530277936647508e-08,4.616517301769818e-08
1851,3.0957306051959677e-08,5.159551008659946e-08
1852,1.4974254725075298e-08,8.919447225252952e-08
1853,1.911018188138769e-08,7.882950114890264e-08
1854,1.454786069388092e-08,5.7152309551611324e-08
1855,4.617035287424187e-08,6.633671034705912e-08
1856,1.346069211649592e-08,5.5913645269356493e-08
1857,3.758761835115365e-08,8.737901424638039e-08
1858,3.7191938417890924e-08,9.59160502134182e-08
1859,2.189634606963864e-08,5.9578429301154756e-08
1860,2.4716793944890014e-08,6.911547956178765e-08
1861,2.8295781717702084e-08,5.75347591791342e-08
1862,1.7168348520613108e-08,3.7951085829490694e-08
1863,1.9978482868054925e-08,5.2942979777981236e-08
1864,3.2604148714199255e-08,5.513937040291239e-08
1865,1.7886009118228685e-08,7.483882313863433e-08
1866,3.6978658357611494e-08,8.271541673821048e-08
1867,2.8631587767335986e-08,4.949867715708933e-08
1868,1.531360993567432e-08,4.841076517436704e-08
1869,2.4417595057002472e-08,5.4695412643468444e-08
1870,3.2110673231500186e-08,5.2179842668920173e-08
1871,1.5931766128574054e-08,9.665271250014484e-08
1872,1.5118347462816928e-08,1.5723081503438152e-08
1873,2.8732820567256567e-08,5.566984029314881e-08
1874,5.974609251779839e-09,2.5093358502203955e-08
1875,4.520006413599731e-08,2.689117728493784e-08
1876,1.6928840551599933e-08,1.9951848173604958e-08
1877,4.2056747417973384e-08,4.4530676035492434e-08
1878,2.4760263173106978e-08,5.7975249490027636e-08
1879,3.604501941367744e-08,6.231511662235789e-08
1880,2.1820676820993867e-08,7.765594034481182e-08
1881,7.669758161910067e-09,5.368830713337047e-08
1882,2.3293848627758962e-08,4.791877472598571e-08
1883,1.64302811356265e-08,5.750598575104959e-08
1884,1.4523733327109767e-08,2.3766109080725073e-08
1885,8.379326565943757e-09,2.1915161241281567e-08
1886,1.7424351739236954e-08,2.1296431285122708e-08
1887,1.3057849024278312e-08,2.4809914123125054e-08
1888,2.3460273723685532e-08,4.311618084784641e-08
1889,1.1277245803853475e-08,5.388017498830777e-08
1890,1.1797895993481688e-08,3.736000309118026e-08
1891,1.6572972327821844e-08,2.6134301833735663e-08
1892,3.13425623232888e-08,4.011847920537548e-08
1893,1.3548516086814288e-08,2.46336657738766e-08
