year,on_PRON écrivait_VERB,on_PRON ecrivait_VERB,on_PRON décrivait_VERB
1800,2.1380318315777913e-07,3.144164484325529e-09,3.144164484325529e-09
1801,2.5240535883597204e-07,0.0,4.7623651688866175e-09
1802,6.042168649855739e-07,0.0,3.3567602031325805e-08
1803,1.5797747821011399e-07,0.0,1.950339223455444e-09
1804,3.1639691755458443e-07,2.4718509461507665e-09,0.0
1805,2.4164460477038574e-07,0.0,2.558589917711629e-08
1806,2.4494188188839416e-07,0.0,3.7461697743879085e-08
1807,3.9857371092466565e-07,0.0,1.4234775580490577e-08
1808,3.2404858885115573e-07,2.2660739951163578e-09,0.0
1809,2.4397529685415975e-07,0.0,4.518061036407062e-09
1810,4.0952219393375344e-07,0.0,2.3401267590372754e-09
1811,5.139507273099753e-07,2.5070767684098882e-09,3.5099073869560016e-08
1812,3.8941239921541637e-07,5.3344164641089264e-09,3.467370568444039e-08
1813,2.818226860767936e-07,0.0,4.888760685162197e-08
1814,2.5173416773327517e-07,0.0,3.776012702516596e-08
1815,2.1577788089643946e-07,0.0,1.6183340889597275e-08
1816,3.0128849459742924e-07,0.0,1.8540831092650478e-08
1817,3.362846427990007e-07,1.556873407970727e-09,1.0898113522728181e-08
1818,3.719407288826915e-07,1.1921177378582115e-09,1.668964877410417e-08
1819,4.91674882141524e-07,2.070210003424222e-09,3.829888406414739e-08
1820,4.3905980362524133e-07,1.1866481131050932e-09,1.1866481131050932e-09
1821,3.9643182248028097e-07,9.86148829262845e-10,1.0847637454958203e-08
1822,4.0302975889972004e-07,0.0,2.606660132187244e-08
1823,3.2514039816078366e-07,9.882686891060644e-10,1.6800567714803094e-08
1824,4.3031886320932244e-07,0.0,5.894778887238772e-09
1825,4.0152819735794765e-07,8.805443041381977e-10,1.3208164340028361e-08
1826,4.2806802724726367e-07,0.0,2.290075862276808e-08
1827,4.2583801729279003e-07,1.8434546111834038e-09,1.6591091167583727e-08
1828,4.4944276567093766e-07,4.586150681440415e-09,7.337841001486822e-09
1829,6.215552303956429e-07,6.858540846366168e-09,2.143293986733852e-08
1830,4.863565408186332e-07,3.1310507520032616e-09,1.5655253093882493e-08
1831,4.677361786775691e-07,3.1182412207897414e-09,2.9623292263636358e-08
1832,6.967934069734838e-07,2.705993873419743e-09,2.841293600397421e-08
1833,4.297526174923405e-07,2.3167257001688313e-09,2.3167257112710615e-08
1834,5.516707730635062e-07,9.334530925997342e-10,4.760610750054184e-08
1835,5.649626615422676e-07,7.563087933704082e-10,3.025235173481633e-08
1836,5.7059165925466e-07,0.0,2.4866774861465046e-08
1837,4.988807660311068e-07,0.0,6.957891152126194e-09
1838,6.634082154732823e-07,1.2624323808552163e-09,2.2723781967215473e-08
1839,6.194446982021873e-07,0.0,1.747868882961967e-08
1840,5.573477608322719e-07,6.369688665408546e-10,2.484178585060448e-08
1841,6.658108802071183e-07,6.420548537278137e-10,2.8892468861840825e-08
1842,6.050855176908954e-07,1.341653010911159e-09,1.8112315647300647e-08
1843,5.440265127276689e-07,5.906911071384968e-10,2.4218335115122613e-08
1844,6.020951701657395e-07,0.0,4.335963410539989e-08
1845,9.620312937386188e-07,0.0,3.403939108359566e-08
1846,9.899962094550574e-07,0.0,2.1076204337333593e-08
1847,6.558159668657026e-07,3.235934187273415e-09,2.6426796750911308e-08
1848,7.618824753308218e-07,0.0,3.942158599556933e-08
1849,5.320928408991676e-07,0.0,5.4466195997804334e-08
