year,certain_ADJ honneur_NOUN
1800,3.144164484325529e-09
1801,4.7623651688866175e-09
1802,2.2378401354217203e-09
1803,4.290746247193056e-08
1804,2.4718509461507665e-09
1805,1.1371510844071508e-08
1806,5.76333825108577e-09
1807,1.9928686256776018e-08
1808,2.2660739951163578e-09
1809,0.0
1810,1.6380887757350138e-08
1811,2.5070767684098882e-09
1812,1.3336041604361526e-08
1813,0.0
1814,3.1466771410748606e-09
1815,5.394447111228828e-09
1816,1.3905623319487859e-08
1817,1.2454987263765815e-08
1818,3.5763532135746345e-09
1819,3.1053151161586356e-09
1820,1.3053129244156025e-08
1821,2.859831660373402e-08
1822,1.804610860745015e-08
1823,8.894418535021487e-09
1824,5.052667617633233e-09
1825,1.4969252504215547e-08
1826,1.0569580766173203e-08
1827,1.8434546333878643e-08
1828,1.1923991571904935e-08
1829,1.1145129263923081e-08
1830,6.262101504006523e-09
1831,1.5591206103948707e-09
1832,6.764984572527055e-09
1833,1.2741991461950875e-08
1834,3.827157613045529e-08
1835,2.4958190181223472e-08
1836,2.688300027031687e-09
1837,6.957891152126194e-09
1838,2.2723781967215473e-08
1839,6.292327547896548e-09
1840,2.1019973317493168e-08
1841,1.0272877659645019e-08
1842,6.708265054555795e-10
1843,3.0125246297529884e-08
1844,1.5916826967554698e-08
1845,1.785672942844485e-08
1846,9.952652035849496e-09
1847,5.3932236454556914e-09
1848,1.287235473768078e-08
1849,1.9272654583346593e-08
1850,6.1100964288129944e-09
1851,3.224719336003545e-08
1852,7.161600201754936e-09
1853,8.360704129017904e-09
1854,1.6626126253527218e-08
1855,2.0166361025530932e-08
1856,1.9155599773057475e-08
1857,1.4156376515472857e-08
1858,1.761723389392955e-08
1859,1.2730433596175317e-08
1860,2.654766717569146e-08
1861,7.545541969022906e-09
1862,1.1294965851504912e-08
1863,2.097740825490746e-08
1864,1.1986819536957682e-08
1865,2.6358328852893465e-08
1866,1.0217787504984699e-08
1867,1.2132028714972876e-08
1868,1.8277534152844055e-08
1869,1.5138908793232986e-08
1870,1.204150201772336e-08
1871,2.442870794538976e-08
1872,9.675742873582749e-09
1873,5.9860045809045914e-09
1874,2.0313670745508716e-08
