year,en_ADP honneur_NOUN,en_ADP donneur_NOUN
1800,1.8424804011374363e-06,6.288328968651058e-09
1801,2.295460035384167e-06,0.0
1802,2.4414835024799686e-06,0.0
1803,2.1434227619465673e-06,3.900678446910888e-09
1804,2.2691592675982974e-06,2.4718509461507665e-09
1805,2.436346221657004e-06,5.685755422035754e-09
1806,2.1468435988936108e-06,0.0
1807,1.6853974784680759e-06,2.2775640928784924e-08
1808,2.3000650344329188e-06,0.0
1809,2.396831405349076e-06,2.259030518203531e-09
1810,2.443092398607405e-06,0.0
1811,1.8627580402608146e-06,2.5070767684098882e-09
1812,2.8832521365984576e-06,0.0
1813,2.2143210571812233e-06,0.0
1814,2.577128498160164e-06,0.0
1815,2.548876182117965e-06,0.0
1816,2.7509959181770682e-06,4.6352077731626196e-09
1817,2.31818444262899e-06,3.113746815941454e-09
1818,2.785979177133413e-06,1.1921177378582115e-09
1819,2.8796621336368844e-06,2.070210003424222e-09
1820,2.7091175525129074e-06,2.1359666035891678e-08
1821,3.3578367037989665e-06,3.94459531705138e-09
1822,3.137015255560982e-06,8.02049271442229e-09
1823,2.4943901735241525e-06,9.882686891060644e-10
1824,2.8715994631056674e-06,0.0
1825,2.7085543479188345e-06,8.805443485471187e-09
1826,2.2759832063456997e-06,7.0463874735082754e-09
1827,2.7412170311436057e-06,0.0
1828,2.5416447897441685e-06,2.7516904310687096e-09
1829,2.818860366460285e-06,1.714635211591542e-09
1830,2.359768586757127e-06,2.0873671680021744e-09
1831,2.401045776423416e-06,0.0
1832,2.5571641799615463e-06,0.0
1833,2.8542060590552865e-06,2.3167257001688313e-09
1834,2.7499527277541347e-06,7.467624740797874e-09
1835,3.590197820813046e-06,3.025235173481633e-09
1836,2.8771530651283683e-06,0.0
1837,3.207587724318728e-06,0.0
1838,2.7287476314086234e-06,0.0
1839,2.735064981607138e-06,0.0
1840,2.7797320854006102e-06,6.369688665408546e-10
1841,3.331622565383441e-06,8.988767952189392e-09
1842,2.881199861803907e-06,0.0
1843,2.8583542643900728e-06,5.906911071384968e-10
1844,2.854051899703336e-06,1.097712254427563e-09
