year,aucun_DET hommage_NOUN,aucun_DET dommage_NOUN
1800,8.803660733747165e-08,9.526818303129403e-07
1801,6.429193177837078e-08,7.953149747663701e-07
1802,2.4616241489638924e-08,8.705197842573398e-07
1803,1.1116933507082649e-07,8.952056873567926e-07
1804,4.943701981119375e-08,8.700915259396425e-07
1805,5.970043304159844e-08,6.055329322407488e-07
1806,4.3225035994964855e-08,1.0546908697506296e-06
1807,9.11025637151397e-08,1.2298845604163944e-06
1808,4.5321478570059526e-08,9.290903335568146e-07
1809,8.358412828535222e-08,9.781601875147317e-07
1810,4.680253340438867e-08,9.571118653184385e-07
1811,8.774768645025688e-08,1.0178731599808089e-06
1812,1.0935553973467904e-07,6.588004453078611e-07
1813,6.039057609541487e-08,4.5149144511924533e-07
1814,8.81069599500961e-08,5.2234838676668e-07
1815,4.5852800223400436e-08,5.960864086773654e-07
1816,4.6352077731626196e-08,5.376841158977186e-07
1817,7.784367106467016e-08,6.243062102839758e-07
1818,4.410835785506606e-08,6.926204036972194e-07
1819,1.2421260464634543e-07,8.053116857809073e-07
1820,1.0323838495196469e-07,6.989357643760741e-07
1821,8.67810940885505e-08,6.715673634971608e-07
1822,9.323822780515911e-08,9.99553890324023e-07
1823,1.0870955557962247e-07,9.31937393033877e-07
1824,6.484256509509123e-08,1.1789558129748912e-06
1825,1.4969252770669073e-07,1.0099843166244682e-06
1826,9.600702810530493e-08,1.169700340142299e-06
1827,5.991227425283796e-08,9.70578867054428e-07
1828,4.49442746353057e-08,7.227773153317685e-07
1829,4.286588117796697e-08,9.250456969311927e-07
1830,6.366470017837855e-08,9.372278668706713e-07
1831,9.354723573551382e-08,1.1272442179688369e-06
1832,3.788391467196561e-08,7.793262284394586e-07
1833,6.950177322551099e-08,9.371155442750023e-07
1834,7.094243303917835e-08,9.007822541207133e-07
1835,4.310960122211327e-08,1.0202605835729628e-06
1836,3.8980349614803345e-08,1.0995147476933198e-06
1837,6.05336496484199e-08,9.114837098422868e-07
1838,7.637716237240966e-08,9.272565648643649e-07
1839,4.61437361654049e-08,8.746335424802965e-07
1840,4.77726651015864e-08,9.025848726196273e-07
1841,4.687000298986277e-08,7.955059686537425e-07
1842,4.427454936006825e-08,8.774410957812506e-07
1843,5.552496507021942e-08,7.46633531889529e-07
1844,5.762989208069058e-08,8.71034671945381e-07
1845,7.031086957098864e-08,9.687275905889692e-07
1846,6.674131403094918e-08,9.419892421647091e-07
1847,4.476375536910382e-08,9.874992201730493e-07
1848,3.057184272403646e-08,9.412909207640041e-07
1849,1.0641856817983353e-07,8.20344723706512e-07
1850,1.0455053711666551e-07,7.440739864250645e-07
1851,5.868989139123926e-08,7.887663855399296e-07
1852,4.557381805270211e-08,7.67593292039237e-07
1853,4.717826218580967e-08,7.536577868449967e-07
1854,4.572184719719985e-08,1.052122001965472e-06
1855,5.5722839675809155e-08,7.748128041384916e-07
1856,9.06008139622827e-08,7.755429578537587e-07
1857,8.689086006263835e-08,7.756718218843162e-07
1858,3.0830157982109085e-08,8.916277920434368e-07
1859,5.8050774853768417e-08,8.814552074909443e-07
1860,4.943358788978003e-08,7.131252459657844e-07
1861,5.8477949871349466e-08,7.389915026578819e-07
1862,4.246907187033244e-08,7.10679216808785e-07
1863,5.2942980666159656e-08,8.171199397111195e-07
1864,3.596045905496226e-08,7.503749088755285e-07
1865,6.213034708935083e-08,7.116748861335509e-07
1866,2.8707115351522816e-08,7.556296850452782e-07
1867,4.464586744745702e-08,7.793615282025712e-07
1868,4.297690292531797e-08,7.913678246040945e-07
1869,4.932354202846767e-08,6.81739265928627e-07
1870,3.4404290971679075e-08,6.07809170105611e-07
1871,2.442870794538976e-08,8.252654879470356e-07
