year,en_ADP hommages_NOUN,en_ADP dommages_NOUN
1800,9.432493897065797e-09,4.842013368033804e-07
1801,1.4287095950749062e-08,2.643112679834303e-07
1802,8.951360541686881e-09,4.3414098627181374e-07
1803,9.751696339321825e-09,4.953861889589461e-07
1804,9.887403784603066e-09,6.649278816439619e-07
1805,3.4114531644036106e-08,6.282759841269581e-07
1806,2.881669125542885e-09,6.109138439569506e-07
1807,0.0,2.1522980659938185e-06
1808,2.039466551195801e-08,1.3211210898589343e-06
1809,2.259030518203531e-09,1.4864421018501162e-06
1810,0.0,1.595966409695393e-06
1811,1.0028307073639553e-08,1.3061869594821474e-06
1812,0.0,2.4298267362610204e-06
1813,1.1502966579257645e-08,1.0180125400438556e-06
1814,6.293354282149721e-09,8.653362328914227e-07
1815,1.8880564667256294e-08,1.162503394880332e-06
1816,0.0,6.813755248913367e-07
1817,4.670620334934483e-09,5.168819825485116e-07
1818,0.0,3.6359591604195884e-07
1819,8.280840124719191e-09,8.198031764550251e-07
1820,1.4239777357261119e-08,5.992573051116779e-07
1821,1.0847637454958203e-08,6.695950673929474e-07
1822,8.02049271442229e-09,7.659570542273286e-07
1823,6.917880934764753e-09,7.283539957825269e-07
1824,2.2737005167527968e-08,9.819017350309878e-07
1825,5.283265824829186e-09,1.2265982149983756e-06
1826,1.4092774947016551e-08,1.3705223409488099e-06
1827,1.8434546111834038e-09,1.6950565395745798e-06
1828,1.1923991571904935e-08,2.4673490770510398e-06
1829,1.971830521085849e-08,1.948682893271325e-06
1830,3.1310507520032616e-09,1.8963730781251797e-06
1831,4.677361609140007e-09,2.5164206363115227e-06
1832,2.0294953273491956e-08,2.202679070251179e-06
1833,1.2741991461950875e-08,1.7468112218921306e-06
1834,4.760610750054184e-08,1.705418753772392e-06
1835,6.806779140333674e-09,1.4218605883797863e-06
1836,9.409050427677812e-09,1.5605581893396447e-06
1837,4.87052354003481e-09,1.218326701746264e-06
1838,1.7674052665839213e-08,1.603920395609748e-06
1839,4.894032845648155e-09,1.9170624909747858e-06
1840,1.46502836528839e-08,1.514711925665324e-06
1841,1.0272877659645019e-08,2.2343508589983685e-06
1842,1.0062397137744483e-08,2.205677446909249e-06
