year,certain_ADJ hommage_NOUN,certain_ADJ dommage_NOUN
1800,3.144164484325529e-09,2.2009151834367913e-08
1801,0.0,0.0
1802,0.0,0.0
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,0.0
1806,0.0,0.0
1807,0.0,0.0
1808,0.0,0.0
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,0.0
1813,0.0,0.0
1814,0.0,0.0
1815,0.0,0.0
1816,1.622322720606917e-08,0.0
1817,0.0,1.556873407970727e-09
1818,0.0,2.384235475716423e-09
1819,0.0,0.0
1820,2.3732962262101864e-09,2.3732962262101864e-09
1821,0.0,4.930744257336528e-09
1822,0.0,1.0025615893027862e-09
1823,0.0,1.3835761869529506e-08
1824,0.0,0.0
1825,0.0,0.0
1826,1.7615968683770689e-09,4.403992281964975e-09
1827,0.0,0.0
1828,9.172301251858528e-10,0.0
1829,5.143905745796928e-09,7.715858174606183e-09
1830,0.0,3.1310507520032616e-09
1831,1.5591206103948707e-09,0.0
1832,0.0,0.0
1833,1.1583628500844156e-09,0.0
1834,9.334530925997342e-10,0.0
1835,3.025235173481633e-09,6.806779140333674e-09
1836,5.376600054063374e-09,2.688300027031687e-09
1837,4.174734336004349e-09,2.7831563720326358e-09
1838,3.1560809521380406e-09,5.049729523420865e-09
1839,1.3982950353153e-09,5.5931801412612e-09
1840,1.9109065441114126e-09,1.9109065441114126e-09
1841,6.420548537278137e-10,4.494383976094696e-09
1842,2.683306021822318e-09,6.708265054555795e-10
1843,7.088293507706567e-09,1.7720733769266417e-09
1844,8.781698035420504e-09,3.841992946007622e-09
1845,4.464182357111213e-09,2.2320911785556063e-09
1846,0.0,4.0981511517657054e-09
1847,4.314578916364553e-09,4.853901280910122e-09
1848,0.0,1.448139919091318e-08
1849,8.379414939696517e-10,8.379414939696517e-10
1850,2.7155984128057753e-09,2.0366988096043315e-09
1851,5.159551008659946e-09,1.2898877521649865e-09
1852,5.859490670445666e-09,2.6042181744401205e-09
1853,1.7915795513800958e-09,5.971931837933653e-09
1854,2.0782657816909023e-09,2.234135720868835e-08
1855,0.0,1.2205955357558196e-08
1856,5.177189232874468e-10,3.1063134287023786e-09
1857,7.810414537345878e-09,2.4407544874094356e-09
1858,2.4468380654951716e-09,5.3830437884982985e-09
1859,2.5460866748261424e-09,7.638259802433822e-09
1860,0.0,9.15436793036406e-09
1861,3.3011746669586728e-09,5.659156698811785e-09
1862,0.0,9.939570055905733e-09
1863,1.4983863039219614e-09,8.990317823531768e-09
1864,7.671564716815737e-09,3.3563094525845827e-09
1865,9.41368871743009e-10,5.6482134525026595e-09
1866,2.432806400776144e-09,3.4059290943133647e-09
1867,0.0,6.79393608038481e-09
1868,9.87974813071446e-10,1.6301584082611953e-08
1869,0.0,8.790334682373668e-09
1870,2.2936195165357276e-09,5.160643912205387e-09
1871,0.0,9.559059321873065e-09
1872,1.2094678591978436e-09,9.071008832961525e-09
1873,9.577607151811662e-09,7.183205141814142e-09
1874,8.961913877669758e-09,8.961913877669758e-09
1875,5.721527251978387e-09,1.1443054281912168e-09
1876,6.04601479992084e-10,2.418405919968336e-09
1877,0.0,1.2369631985365004e-09
1878,0.0,5.435179861734696e-09
1879,0.0,1.832797580370027e-09
1880,3.8507077526617195e-09,3.8507077526617195e-09
1881,9.064259565150223e-09,1.3945014920579979e-08
1882,3.9932310791357395e-09,1.9966155395678697e-09
1883,4.423537092179686e-09,1.3270612164717477e-08
1884,4.621187876807653e-09,7.922036360241691e-09
1885,0.0,1.0957580620640783e-08
1886,0.0,9.034849313138693e-09
1887,1.3057849246322917e-09,1.4363633837888301e-08
1888,9.510921827882157e-09,1.4583413587843097e-08
1889,6.265136742733546e-10,7.51816386923565e-09
1890,5.243509182406569e-09,5.243509182406569e-09
1891,0.0,7.649063604731055e-09
1892,0.0,4.387958441043338e-09
1893,4.310891643655168e-09,1.1085149687062312e-08
1894,2.520615716150587e-09,7.561847148451761e-09
1895,0.0,3.611168697403855e-09
1896,0.0,7.66613794667137e-09
1897,3.4960281336537946e-09,9.905413378419325e-09
1898,5.6583548957434e-10,1.867257104493092e-08
1899,4.4220627160029835e-09,6.633094074004475e-09
1900,0.0,1.245852754294674e-08
1901,1.676621730339889e-09,8.38310842965484e-09
1902,4.910283846193408e-10,6.874397495693074e-09
1903,7.020286574288548e-09,1.1880484152015924e-08
