year,son_DET are_NOUN,son_DET dard_NOUN
1800,1.5720821977538435e-08,2.9555145752979683e-07
1801,4.7623651688866175e-09,1.7620750725200196e-07
1802,3.3567602031325805e-08,1.767893706983159e-07
1803,2.3404070459420723e-08,2.1063664124021386e-07
1804,9.887403784603066e-09,3.73249494423078e-07
1805,2.842877711017877e-08,2.302730877090653e-07
1806,2.881669125542885e-09,2.4206021631556496e-07
1807,2.2775641372874134e-08,2.135216305987342e-07
1808,1.5862518409903714e-08,3.580396819025111e-07
1809,2.259030518203531e-09,1.942766312268418e-07
1810,2.106114127542469e-08,3.018763585771467e-07
1811,1.2535383842049441e-08,2.7076430120231976e-07
1812,1.600324850414836e-08,3.2273219119360874e-07
1813,1.1502966579257645e-08,2.1855636100909237e-07
1814,9.440030979135372e-09,2.3914746449804625e-07
1815,1.3486117778072071e-08,1.3755840111429052e-07
1816,1.1588019432906549e-08,1.321034233114915e-07
1817,9.341240336802059e-09,1.2766362544880394e-07
1818,9.536942124910297e-09,7.391130196765516e-08
1819,7.24573512300708e-09,1.438795891317568e-07
1820,9.493184904840746e-09,9.255855015766201e-08
1821,1.2819934447350079e-08,1.676452983101484e-07
1822,1.303330066093622e-08,1.6843034700286807e-07
1823,8.89441820195458e-09,9.388552779654447e-08
1824,5.052667617633233e-09,2.80423051890466e-07
1825,7.044354433105582e-09,1.4793143909841433e-07
1826,3.5231937367541377e-09,8.367585024871005e-08
1827,1.1060728055678481e-08,1.0507690961780725e-07
1828,6.420610709767516e-09,9.447470228352017e-08
1829,1.1145128819833872e-08,9.944884160617562e-08
1830,1.2524203008013046e-08,1.7012041708674985e-07
1831,7.795603274018958e-09,9.978371706687028e-08
1832,1.2176972541411146e-08,9.065079353831607e-08
1833,2.432561940768352e-08,1.7143770714156403e-07
1834,1.4001796166951408e-08,1.792229999963979e-07
1835,9.832014313815307e-09,1.936150511028245e-07
1836,7.392825185359442e-09,1.7272327779149776e-07
