year,son_DET entier_ADJ,son_DET dentier_NOUN
1800,2.6222330689051887e-06,0.0
1801,2.4216626570705557e-06,0.0
1802,2.853246087397565e-06,4.475680270843441e-09
1803,2.4437749743810855e-06,1.950339223455444e-09
1804,2.3779205093887867e-06,0.0
1805,2.370959919062443e-06,1.421438877713399e-08
1806,2.1814234969497193e-06,0.0
1807,2.3430441160599003e-06,2.8469551160981155e-09
1808,2.4813509753585095e-06,0.0
1809,2.61595732808928e-06,0.0
1810,2.1833382106706267e-06,0.0
1811,2.5145980089291697e-06,2.5070767684098882e-09
1812,2.419157908661873e-06,0.0
1813,2.312096285095322e-06,0.0
1814,2.640062120917719e-06,0.0
1815,2.672948539839126e-06,0.0
1816,2.848335270755342e-06,0.0
1817,2.5268054741900414e-06,0.0
1818,2.2078020265325904e-06,1.1921177378582115e-09
1819,2.526691332604969e-06,1.035105001712111e-09
1820,2.328203663637396e-06,0.0
1821,2.5945575998775894e-06,0.0
1822,2.5986396394728217e-06,0.0
1823,2.647571818670258e-06,0.0
1824,2.8193885555083398e-06,0.0
1825,2.6213804176222766e-06,0.0
1826,2.22753919842944e-06,8.807984341885344e-10
1827,2.687756932573393e-06,0.0
1828,2.8122276489739306e-06,0.0
1829,2.687690766833839e-06,0.0
1830,2.5904225822159788e-06,0.0
1831,2.374540599703323e-06,0.0
1832,2.4624544039397733e-06,0.0
1833,2.482371655787574e-06,0.0
1834,2.6799439183378126e-06,0.0
1835,2.7915357350138947e-06,7.563087933704082e-10
1836,2.9793084195262054e-06,0.0
1837,2.883349907278898e-06,0.0
1838,2.6624697966326494e-06,0.0
1839,2.497354898878257e-06,0.0
1840,2.455514959365246e-06,0.0
1841,2.91813921649009e-06,1.926164561183441e-09
1842,2.7611220048129326e-06,0.0
1843,2.357448238399229e-06,5.906911071384968e-10
1844,2.939124669865123e-06,5.488561272137815e-10
1845,2.6176849132752977e-06,5.580227946389016e-10
1846,2.5186063794535585e-06,0.0
1847,2.5434442250116263e-06,1.0786447290911383e-09
1848,2.4433338694507256e-06,0.0
1849,2.4509788545401534e-06,0.0
1850,2.302148459421005e-06,6.788996032014438e-10
1851,2.2231215552892536e-06,1.9348316282474798e-09
1852,2.412157073194976e-06,1.3021090872200602e-09
1853,2.458644303260371e-06,2.388772735173461e-09
1854,2.371820755797671e-06,1.0391328908454511e-09
1855,2.4677258352312492e-06,1.0613874223963649e-09
1856,2.4125702111632563e-06,0.0
1857,2.4095129447232466e-06,4.881509085841174e-10
1858,2.371475375184673e-06,4.893676019968041e-10
1859,2.5634001303842524e-06,5.092173349652285e-10
1860,2.446962525937124e-06,1.373155145145688e-09
1861,2.366470653214492e-06,1.8863854922557266e-09
1862,2.322696673218161e-06,9.035972525772706e-10
1863,2.4268863398901885e-06,4.994620828036034e-10
1864,2.479833256074926e-06,9.589455896019672e-10
1865,2.360011649216176e-06,2.8241067262513297e-09
1866,2.709173259063391e-06,2.432806400776144e-09
1867,2.284218453496578e-06,1.94112459439566e-09
1868,2.547493068050244e-06,1.4819622196071691e-09
1869,2.470083927619271e-06,1.953407657850903e-09
1870,2.4530261271138443e-06,0.0
1871,2.259124357806286e-06,0.0
1872,2.2199783415999264e-06,0.0
