year,un_DET art_NOUN,un_DET dard_NOUN
1800,1.1168072575173937e-05,7.168694899917227e-07
1801,7.662645380435151e-06,5.929144439864587e-07
1802,7.964473468291544e-06,5.415572843503469e-07
1803,8.7375199058215e-06,5.3439296499036e-07
1804,9.917066250864082e-06,7.193086357659695e-07
1805,9.119951471348031e-06,3.638883394607717e-07
1806,1.022704354625148e-05,3.861436628227466e-07
1807,8.512396107107634e-06,2.3629727152751911e-07
1808,9.005377933135605e-06,4.1242545556485766e-07
1809,6.908115224746325e-06,3.298184685363026e-07
1810,9.894055466475038e-06,5.28868661753279e-07
1811,8.571695602199725e-06,5.390215171985346e-07
1812,7.65488776011125e-06,5.014351334153844e-07
1813,1.0131237729638087e-05,5.176334856304976e-07
1814,6.513621855219753e-06,3.0522767247020965e-07
1815,6.527280870471941e-06,3.1827239110882033e-07
1816,6.739592166127295e-06,3.383701709935849e-07
1817,8.013227336789441e-06,5.013132522435626e-07
1818,7.951425367025422e-06,3.075663788099092e-07
1819,7.476563290254035e-06,3.9230480641805343e-07
1820,7.450963330768445e-06,3.96340482211599e-07
1821,7.815229349006358e-06,3.5797202935228256e-07
1822,7.141246328501438e-06,3.2081969436603686e-07
1823,6.724180103390154e-06,3.221755902060863e-07
1824,6.650152876375159e-06,3.78950076651563e-07
1825,7.5770836218680415e-06,3.7687296394750547e-07
1826,6.366410921998522e-06,3.523193754517706e-07
1827,6.3562316690024545e-06,3.419608325394563e-07
1828,6.462803479934109e-06,3.237822356894071e-07
1829,7.83331104514673e-06,3.4464166409620134e-07
1830,6.491711690870261e-06,3.099740326639733e-07
1831,5.743800198132476e-06,2.2139512623198243e-07
1832,7.032878123425235e-06,2.624813930651726e-07
1833,6.752097103657206e-06,3.0001596496020966e-07
1834,6.67512324170616e-06,2.9030390802375905e-07
1835,6.156353670405679e-06,4.258018577729672e-07
1836,5.654167104296448e-06,3.232680835796309e-07
1837,5.981698816270864e-06,3.3676192301435037e-07
1838,5.291485216218916e-06,3.332821387758145e-07
1839,5.60506542868211e-06,3.2650189929483986e-07
1840,6.562690131772797e-06,3.5351773064462577e-07
1841,5.781062075271848e-06,3.8523291845393715e-07
1842,6.143428995741829e-06,3.193134099355177e-07
1843,6.781133954802954e-06,3.609122611880622e-07
1844,6.17408274194986e-06,2.8485631986541193e-07
1845,6.4596719866472085e-06,3.063545221948516e-07
1846,6.343351984128276e-06,2.6813614795173635e-07
1847,6.225937603687726e-06,2.5024557626096566e-07
1848,5.6598133788554605e-06,2.502063898290885e-07
1849,5.643535970989433e-06,2.505444993694539e-07
1850,5.885380794268258e-06,3.584589851612918e-07
1851,5.546517435561782e-06,2.753910295361095e-07
1852,6.8842505598354364e-06,3.470120590876036e-07
1853,6.757838090010182e-06,3.224843208027295e-07
1854,6.481591505291817e-06,2.4159839862036847e-07
1855,7.038590624119934e-06,3.2213109335543777e-07
1856,6.83285424329938e-06,2.210659819645855e-07
1857,7.0039892534623505e-06,2.8117493400259264e-07
1858,6.85310406112194e-06,2.8138637819807855e-07
1859,7.935642678091881e-06,2.846524991273469e-07
1860,7.1083663968352084e-06,3.3733845938854756e-07
1861,7.852079310310955e-06,3.1408319234316195e-07
1862,7.5603982736538455e-06,3.207770193913717e-07
1863,8.289572635433728e-06,2.6671274167000547e-07
1864,8.288645942045036e-06,2.4213377103343703e-07
1865,7.466937692157671e-06,2.9841393534013605e-07
1866,7.100875549781449e-06,2.972889374674992e-07
1867,7.793614898332635e-06,2.683604662934158e-07
1868,7.773385497955587e-06,2.6872915936948516e-07
1869,7.6246385170009034e-06,2.7152367021443524e-07
1870,6.912396038671886e-06,2.603258120181806e-07
1871,5.039748625534912e-06,2.4747342153297325e-07
1872,7.0294273974980115e-06,2.0137640266426615e-07
1873,6.679183893965046e-06,2.1549615913940556e-07
1874,6.2494411317004506e-06,2.551158022612299e-07
1875,8.08165676602357e-06,2.5975734274652496e-07
1876,8.238299557206119e-06,2.509096239666775e-07
1877,7.516406924423791e-06,1.8739992735383737e-07
1878,7.8333017654586e-06,2.7900589300022816e-07
1879,6.890097115075378e-06,1.9061094569394754e-07
1880,7.050646072315203e-06,1.9253538363628309e-07
1881,7.180288136510171e-06,2.1196422883562605e-07
1882,8.049688602795868e-06,2.475803242418806e-07
1883,7.63755318899939e-06,2.350794033323389e-07
1884,7.465858949728954e-06,2.766110940299882e-07
1885,7.142409039317954e-06,2.4106677054547276e-07
1886,7.1943216610748095e-06,1.7811559782643371e-07
1887,6.997048593859745e-06,1.690991509040174e-07
1888,7.101488641581e-06,1.9909530735162662e-07
1889,8.031278930786812e-06,1.7354429304727859e-07
1890,7.159356407271389e-06,1.612379119109164e-07
1891,7.288282994011297e-06,1.2365986756801561e-07
1892,7.113507944467301e-06,1.8617481511995493e-07
1893,7.298955111423311e-06,1.8475249463634213e-07
1894,8.112601548759812e-06,2.7663758395135574e-07
1895,7.5918802338037494e-06,1.3902999951298511e-07
1896,7.587707173684066e-06,1.4565661210497183e-07
1897,7.34923391121356e-06,1.1536892552399536e-07
1898,8.097671347684354e-06,1.4372221812664066e-07
1899,7.98348141728411e-06,1.5864150171296387e-07
1900,8.474912910116927e-06,1.1472227745557007e-07
1901,7.828146571853267e-06,8.941982448940067e-08
1902,6.832168899961744e-06,1.5467394787194166e-07
1903,7.733115403141255e-06,1.2636516077968452e-07
1904,8.474171977468359e-06,1.4081518262543113e-07
1905,8.49254552548473e-06,1.0785986193084796e-07
1906,7.982230862069173e-06,1.2603252041998303e-07
1907,8.111292416401739e-06,1.2137110583232413e-07
1908,8.415174256981572e-06,1.0854169563145888e-07
1909,8.778469819503698e-06,1.5622792925995554e-07
1910,8.612098561400217e-06,1.8009787927653065e-07
1911,8.73924638256085e-06,1.5748307857776922e-07
1912,8.946659853847905e-06,1.5628264149469828e-07
1913,9.786667455102815e-06,1.5113520124288016e-07
1914,8.86380991715896e-06,1.4464965936156204e-07
1915,5.1906037725757415e-06,1.1427339074998599e-07
1916,6.625439695540081e-06,1.1756584372690781e-07
1917,7.173138129701329e-06,1.5462658442544353e-07
1918,7.832560150689005e-06,1.5162016975267534e-07
1919,8.605655082760677e-06,8.655377303767864e-08
1920,1.0781343306121016e-05,1.340284998541108e-07
1921,1.0497342714188562e-05,1.279794301645154e-07
1922,1.1065427905521119e-05,1.6231457777848846e-07
1923,1.0293222842960859e-05,1.1146745659829094e-07
1924,1.0095431349554929e-05,1.1731378490864586e-07
1925,1.0925590103738614e-05,1.561741269640038e-07
1926,1.0488516423379224e-05,1.7387975370652953e-07
1927,1.0802484148086933e-05,1.4605484033314298e-07
1928,1.0258299795395942e-05,1.4282551652478048e-07
1929,9.840320664977753e-06,1.7824649889419675e-07
1930,1.0834467317977214e-05,1.1869072125136881e-07
1931,9.405997921874132e-06,1.585344531207511e-07
1932,9.19505090024586e-06,8.87722464426588e-08
