year,ancien_ADJ essai_NOUN
1800,3.144164484325529e-09
1801,3.095537337571841e-08
1802,2.0140561218795483e-08
1803,0.0
1804,0.0
1805,1.421438877713399e-08
1806,8.645007376628655e-09
1807,0.0
1808,0.0
1809,0.0
1810,2.8081521108447305e-08
1811,0.0
1812,0.0
1813,2.5881675469463516e-08
1814,0.0
1815,0.0
1816,0.0
1817,0.0
1818,0.0
1819,0.0
1820,1.1866481131050932e-08
1821,0.0
1822,0.0
1823,0.0
1824,7.57900142644985e-09
1825,1.4969252504215547e-08
1826,4.227832561820577e-08
1827,1.8434546111834038e-09
1828,9.172301251858528e-10
1829,3.429270423183084e-09
1830,0.0
1831,1.5591206103948707e-09
1832,1.3529969367098715e-09
1833,0.0
1834,3.733812370398937e-09
1835,7.563087933704082e-09
1836,4.032449929525228e-09
1837,1.1132625932219753e-08
1838,6.943378316748294e-09
1839,9.088918062616358e-09
1840,7.64362617644565e-09
1841,0.0
1842,5.366612043644636e-09
1843,8.860366662588604e-09
1844,2.7991662321369404e-08
1845,7.254296274794569e-09
1846,3.5127007969038004e-09
1847,7.550513103637968e-09
1848,4.82713291560799e-09
1849,0.0
1850,6.788996032014438e-09
1851,0.0
1852,1.3021090872200602e-09
1853,1.3735443005202796e-08
1854,1.0391328908454511e-09
1855,1.2736649068756378e-08
1856,9.318940286107136e-09
1857,9.763017949637742e-09
1858,1.0766087576996597e-08
1859,4.073738679721828e-09
1860,8.238931314963338e-09
1861,1.8863854922557266e-09
1862,1.1294965851504912e-08
1863,3.5461809488879226e-08
1864,7.1920918109924514e-09
1865,2.3063537080147967e-08
1866,2.919367858567057e-09
1867,9.7056229719783e-10
1868,2.9639244392143382e-09
1869,4.883519366671862e-09
1870,4.587239033071455e-09
1871,8.496941816815706e-09
1872,1.2094679036067646e-08
1873,5.986004469882289e-10
1874,2.9873046258899194e-09
1875,5.721527251978387e-09
1876,1.4510435519810017e-08
1877,1.1132669008873108e-08
1878,1.6305540029293297e-08
1879,1.4051448005147904e-08
1880,1.1552122813895949e-08
1881,7.669758161910067e-09
1882,7.320923423037584e-09
1883,6.319338941018771e-10
1884,8.582206056928499e-09
1885,5.156508553483263e-09
1886,3.872078213618124e-09
1887,3.9173548849191775e-09
1888,6.340614699951175e-09
1889,6.265136853755848e-09
1890,1.4419650362640368e-08
1891,2.5496880162734215e-09
1892,3.1342561879199593e-09
1893,1.2316833108982905e-09
1894,5.041231432301174e-09
1895,6.6204757231957956e-09
1896,5.89702897624278e-10
1897,5.244042200480692e-09
1898,1.1316709791486801e-08
1899,7.738609753005221e-09
1900,4.1528424032932776e-09
1901,7.824234593556412e-09
1902,2.9461704187383475e-09
1903,2.1600881083827517e-09
1904,9.13686282189019e-09
1905,7.741138396966107e-09
1906,6.68743965759333e-09
1907,1.8514236699296305e-08
1908,6.384805573134145e-09
1909,6.0510818578052294e-09
1910,1.6566866878342523e-08
1911,1.4897047151407605e-08
1912,3.5945006970905524e-08
1913,7.954484182448596e-09
1914,7.366418142140674e-09
1915,4.712304768617059e-09
1916,7.69122365795738e-09
1917,1.0966424213165737e-08
1918,8.040463406189247e-09
1919,7.366278698128781e-09
1920,3.028892692213958e-09
1921,9.844571380313027e-09
1922,6.640141769764796e-09
1923,4.246379248229459e-09
1924,3.867487219366694e-09
1925,8.798542339150117e-09
1926,7.802296586589819e-09
1927,6.689535148041159e-09
1928,3.4278122562625413e-09
1929,7.798284240578823e-09
1930,7.352522590764465e-09
1931,7.983749661377715e-09
1932,5.4797681947604815e-09
1933,4.588264879146209e-09
1934,5.990790086229936e-09
1935,5.98414207075848e-09
1936,9.699771652549316e-09
1937,1.2591118148108649e-09
1938,1.8151300906765755e-08
1939,7.647025235257843e-09
1940,1.5214697057785997e-08
1941,1.1806010391524069e-08
1942,1.517105907566929e-08
1943,1.7419411690866582e-08
1944,3.2131861615880553e-09
1945,2.178504043826024e-09
1946,6.960552134671616e-09
1947,2.8610090296865565e-08
1948,1.195907639583993e-08
1949,9.817008539414473e-09
1950,1.595304155443955e-08
1951,6.396841278899501e-09
1952,1.1599284199803606e-08
1953,4.3095309543161875e-09
1954,1.172704333640695e-08
1955,4.6928039232341234e-09
1956,1.5698054856017052e-08
1957,7.068030161150318e-09
