year,en_ADP égout_NOUN,en_ADP dégoût_NOUN
1800,3.144164484325529e-09,1.0061326349841693e-07
1801,0.0,8.572257570449437e-08
1802,2.2378401354217203e-09,7.832440473976021e-08
1803,0.0,9.361627917314763e-08
1804,0.0,5.438072037122765e-08
1805,0.0,6.254330742194725e-08
1806,0.0,7.204172902675055e-08
1807,0.0,1.0818429529990681e-07
1808,0.0,1.1330369886763947e-07
1809,2.710836710662079e-08,6.325285539787728e-08
1810,2.3401267590372754e-09,7.488405628919281e-08
1811,7.521229861140455e-09,6.518399686683551e-08
1812,0.0,1.600324850414836e-08
1813,0.0,5.463909147351842e-08
1814,0.0,8.181360300341112e-08
1815,2.697223555614414e-09,8.091670622434322e-08
1816,0.0,9.965696534663948e-08
1817,0.0,1.4478922594207688e-07
1818,5.96058882251782e-08,1.2755660350194375e-07
1819,1.1386155129855524e-08,8.79839276990424e-08
1820,2.3732962262101864e-09,6.40789963313182e-08
1821,1.97229765852569e-09,7.889190811738445e-08
1822,0.0,1.0927921323400369e-07
1823,9.882686669016039e-09,8.894418357385803e-08
1824,8.421112696055388e-10,1.288430269141827e-07
1825,0.0,1.4440927031955653e-07
1826,1.7615968683770689e-09,1.3740455528932216e-07
1827,1.8434546111834038e-09,1.1429418833586169e-07
1828,2.7516904310687096e-09,1.1281930767381709e-07
1829,1.0287811491593857e-08,1.5860375413012662e-07
1830,4.174734336004349e-09,1.4298464634521224e-07
1831,0.0,1.2940701310526492e-07
1832,9.335678896604804e-08,1.5965363786563103e-07
1833,5.791814139399776e-09,3.1275797596208577e-07
1834,0.0,2.202949360707862e-07
1835,2.2689263801112247e-09,2.3067417487254716e-07
1836,9.409050427677812e-09,2.1170362174416368e-07
1837,1.6003149028165353e-08,2.2821882339485455e-07
1838,7.574594285131298e-09,2.0325161642631429e-07
1839,1.4682098203877558e-08,1.9086726865680248e-07
1840,2.5478754661634184e-09,2.7644449573926977e-07
1841,3.2102742686390684e-09,2.388443931522488e-07
1842,1.1404051036834062e-08,2.0124795696574438e-07
1843,2.0674189471492355e-08,2.6522030793785234e-07
