year,en_ADP âmes_NOUN,en_ADP ames_NOUN,en_ADP dames_NOUN
1800,0.0,1.8864987794131594e-08,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09,7.143547975374531e-09
1802,0.0,8.951360541686881e-09,4.475680270843441e-09
1803,1.950339223455444e-09,1.755305234496518e-08,5.851017448321727e-09
1804,0.0,7.4155526164076946e-09,1.730295728918918e-08
1805,0.0,5.685755422035754e-09,0.0
1806,0.0,2.881669125542885e-09,2.881669125542885e-09
1807,2.562259560079383e-08,1.4234775136401367e-08,8.540865792383556e-09
1808,2.2660739062985158e-08,0.0,9.064295980465431e-09
1809,6.7770917766551975e-09,2.259030518203531e-09,6.7770917766551975e-09
1810,0.0,1.1700633351097167e-08,4.680253518074551e-09
1811,5.0141535368197765e-09,2.757784400841956e-08,2.5070767684098882e-09
1812,1.600324850414836e-08,0.0,2.6672082320544632e-09
1813,0.0,1.1502966579257645e-08,2.0130190847567064e-08
1814,3.1466771410748606e-09,3.4613449884091096e-08,2.5173417128598885e-08
1815,2.697223555614414e-09,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,1.622322720606917e-08,0.0
1817,2.0239355080775567e-08,1.556873407970727e-09,1.556873407970727e-09
1818,2.1458118837358597e-08,3.5763532135746345e-09,4.768470951432846e-09
1819,1.035105001712111e-09,7.24573512300708e-09,2.070210003424222e-09
1820,1.1866481131050932e-08,2.0173018810965004e-08,3.5599443393152796e-09
1821,0.0,1.97229765852569e-09,1.0847637454958203e-08
1822,2.5064039732569654e-08,5.012807946513931e-09,1.303330066093622e-08
1823,2.9648061783404955e-09,3.9530747564242574e-09,3.162459893957248e-08
1824,7.57900142644985e-09,5.052667617633233e-09,2.4421225930382207e-08
1825,3.522177216552791e-09,1.1447076175841175e-08,1.1447075731751966e-08
1826,7.0463874735082754e-09,4.403992281964975e-09,1.76159691278599e-08
1827,2.7651818612639545e-09,0.0,2.027800150017356e-08
1828,8.255071293206129e-09,5.5033806956039655e-09,4.861319524707142e-08
1829,1.714635211591542e-09,1.5431716349212365e-08,5.1439055681612444e-08
1830,3.1310507520032616e-09,5.218417697960831e-09,3.339787468803479e-08
1831,9.354723218280014e-09,1.2472964883158966e-08,2.8064170987107673e-08
