year,en_ADP août_NOUN,en_ADP doutes_NOUN
1800,3.229057028875104e-06,5.345079756580162e-08
1801,1.5049074093553827e-06,4.7623651688866175e-09
1802,1.996153372374465e-06,1.7902721083373763e-08
1803,1.7104474636653322e-06,2.145373123596528e-08
1804,1.3076091889274721e-06,2.2246657849223084e-08
1805,1.2736091719034448e-06,3.695740957709859e-08
1806,2.616555661916209e-06,2.5935023018064385e-08
1807,1.3323749712412791e-06,0.0
1808,1.8468503526491986e-06,6.118399653587403e-08
1809,1.1746958179514877e-06,1.3554183553310395e-08
1810,1.2706887915214793e-06,0.0
1811,4.424990692086794e-06,1.2535383842049441e-08
1812,1.2749255873245602e-06,8.00162425207418e-09
1813,1.2538233491454776e-06,1.4378708446116661e-08
1814,2.108273719159115e-06,1.2586708564299443e-08
1815,1.6722786497780362e-06,2.697223555614414e-09
1816,1.610734670975944e-06,3.939926429552543e-08
1817,1.7250157569037583e-06,2.646684760243545e-08
1818,1.7464524759702726e-06,1.9073883805731384e-08
1819,1.4108480659302813e-06,2.484252026313527e-08
1820,1.4109246251337026e-06,1.4239777357261119e-08
1821,1.8588905845717818e-06,2.9584465432996865e-08
1822,2.080315269381572e-06,8.922798144794797e-08
1823,1.6444790915670637e-06,2.5694986582891488e-08
1824,1.1781136777244683e-06,3.3684450784221553e-08
1825,2.1414837760858063e-06,4.138558384880753e-08
1826,2.0584259203815236e-06,2.906634843924394e-08
1827,2.2066152070010503e-06,4.977327527910802e-08
1828,1.4033620914233325e-06,2.1096293267852673e-08
1829,1.4334350559863651e-06,1.457439902097235e-08
1830,1.4768122404973383e-06,3.96599757479521e-08
1831,2.106371908894289e-06,1.4032085271509231e-08
1832,1.6073603603672382e-06,3.5177920132412055e-08
1833,1.712060280212313e-06,1.7375443306377747e-08
1834,1.9070446235502914e-06,6.440826361142626e-08
1835,1.572365945889942e-06,2.7227116561334697e-08
1836,1.6492720149585693e-06,3.1587525928244986e-08
1837,1.7241653935684553e-06,5.218418230867883e-08
1838,1.4461162649581638e-06,3.092959310890819e-08
1839,1.8058980764124044e-06,3.8453114470371474e-08
1840,1.6026136968605442e-06,1.4013314952876499e-08
1841,1.8253619415986577e-06,3.274479709602929e-08
1842,1.7783610477550837e-06,3.085801969504587e-08
1843,1.8606769316420468e-06,5.2571509812082695e-08
1844,1.798052654322646e-06,2.0856532945146e-08
1845,2.0228325858795415e-06,3.5155436783895766e-08
1846,1.7586922140822026e-06,2.4003456111643118e-08
1847,1.936167237204245e-06,2.3730183151826623e-08
1848,1.563991084196914e-06,2.172209878636977e-08
1849,2.0973675063373776e-06,1.3407064125559032e-08
1850,1.806551837901793e-06,2.511928531845342e-08
1851,2.226346261124945e-06,1.1608989769484879e-08
1852,2.215538575711662e-06,2.9948508561972176e-08
1853,2.3159151538720835e-06,4.001194220393245e-08
1854,2.0725506004737326e-06,2.2860923154510715e-08
1855,2.072889685678092e-06,2.9188154115900034e-08
1856,2.195645937064228e-06,4.504154560436291e-08
1857,3.4492743026248718e-06,4.5398033110544134e-08
1858,2.9264183609711836e-06,3.523446689968068e-08
1859,2.294533398838894e-06,5.855999507531351e-08
1860,2.0958925297520636e-06,5.126446112058147e-08
1861,2.199997020113642e-06,3.961409644759328e-08
1862,2.305528397528178e-06,2.3945327942698214e-08
1863,2.513293267725203e-06,4.744889636754124e-08
1864,2.557987336615497e-06,6.041357103470091e-08
1865,2.573231697056144e-06,4.00081754392545e-08
1866,2.9140156314610977e-06,5.4008302385888385e-08
1867,2.9267306160818407e-06,5.192508112372707e-08
1868,2.54304710267661e-06,4.742279102742941e-08
1869,2.6898424252408404e-06,6.54391545396038e-08
1870,3.3205875809017016e-06,3.4977695850813006e-08
1871,3.312745256778271e-06,3.186353048079127e-08
1872,2.8144316388534207e-06,2.6003559749909755e-08
1873,3.301880042272387e-06,2.8134220286801792e-08
1874,3.1862589793263396e-06,4.122480312673815e-08
1875,3.066738543111569e-06,2.574687130163511e-08
1876,3.477063167167671e-06,2.9020871039620033e-08
1877,3.0837492701607516e-06,4.081978710601675e-08
1878,3.4579821388547316e-06,1.7513356764808918e-08
1879,4.13906781204787e-06,3.7877816994047464e-08
1880,3.513129129828485e-06,3.144744686878198e-08
1881,3.663355354177611e-06,2.858728165300306e-08
1882,3.697731926877168e-06,5.124646484944151e-08
1883,3.993190361484267e-06,3.6652167079154196e-08
1884,3.805218184993464e-06,3.895001210452165e-08
1885,4.0381908519293574e-06,2.7716233086394482e-08
1886,4.026961384795413e-06,2.1296431063078103e-08
1887,4.155660612070733e-06,2.8074375491016212e-08
