year,son_DET honneur_NOUN,son_DET donneur_NOUN
1800,4.832580668079345e-06,0.0
1801,6.4744353167611735e-06,2.3811825844433088e-09
1802,7.082764085453164e-06,4.475680270843441e-09
1803,4.899252287415834e-06,3.900678446910888e-09
1804,5.860758786724318e-06,2.4718509461507665e-09
1805,5.748298610441793e-06,0.0
1806,6.057268497450252e-06,0.0
1807,5.972911807816672e-06,8.540865792383556e-09
1808,6.666789724718569e-06,6.798221985349073e-09
1809,6.9939587064027364e-06,0.0
1810,7.170148265345233e-06,1.6380887757350138e-08
1811,7.849657417402511e-06,1.2535384286138651e-08
1812,6.043894064333699e-06,2.9339291440777515e-08
1813,6.660217725995565e-06,0.0
1814,6.966743168135281e-06,9.440030979135372e-09
1815,7.293292298538034e-06,2.697223555614414e-09
1816,4.929543496956512e-06,4.6352077731626196e-09
1817,6.669645805978952e-06,0.0
1818,6.574529455294353e-06,0.0
1819,7.532458930370467e-06,0.0
1820,8.261444364165982e-06,1.1866481131050932e-09
1821,8.290552777623361e-06,1.0847637232913598e-08
1822,9.176446681635753e-06,1.5038423839541792e-08
1823,1.1118022339218214e-05,2.075364236020505e-08
1824,8.98532764548321e-06,1.6000114122505238e-08
1825,7.995342087063761e-06,5.283265824829186e-09
1826,8.213444949944915e-06,8.807984341885344e-10
1827,8.149912662958059e-06,9.217273055917019e-10
1828,7.0663411015914335e-06,4.586150570418113e-09
1829,6.457316223063003e-06,8.573175946935407e-09
1830,6.843433261849441e-06,2.0873671680021744e-09
1831,6.026001104331158e-06,1.091384405071949e-08
1832,6.198079073982399e-06,1.3529969367098715e-09
1833,6.408063114804463e-06,4.6334514003376626e-09
1834,6.535105166349808e-06,9.334530925997342e-10
1835,8.336035662637187e-06,7.563087933704082e-10
1836,8.394888812546242e-06,6.720749901045764e-09
1837,7.957044257267398e-06,2.7831563720326358e-09
1838,9.030178453883764e-06,3.787297142565649e-09
1839,7.453611836183427e-06,1.1186360393544703e-08
1840,7.420050451401039e-06,1.2739377330817092e-09
1841,6.629858262385824e-06,4.494383976094696e-09
1842,7.338171149839923e-06,1.2074877098200432e-08
1843,6.488741604471215e-06,0.0
1844,7.812418086672324e-06,2.195424508855126e-09
1845,6.926178846455855e-06,0.0
1846,6.7584361733707965e-06,3.5127007969038004e-09
1847,6.558699048753169e-06,1.0786447290911383e-08
1848,7.394363088053524e-06,1.689496492707221e-08
1849,7.172779167063936e-06,5.02764896381791e-09
1850,7.097216474960533e-06,1.3577992064028876e-08
1851,7.03182326589058e-06,6.449438538780328e-09
1852,6.729950619899228e-06,1.3021090872200602e-09
1853,6.697521625298464e-06,1.1943863675867306e-09
1854,8.08185630418734e-06,2.0782657816909023e-09
1855,7.558139849095369e-06,1.5920811335945473e-09
1856,7.457741045158173e-06,9.836659486950339e-09
1857,8.225343165690902e-06,3.905207268672939e-09
1858,8.08484257497355e-06,5.872411001917044e-09
1859,7.96619558585121e-06,9.165912473463322e-09
1860,7.522601734422096e-06,1.8308735638683515e-09
1861,7.437074746263761e-06,4.244367357575385e-09
1862,7.2378138469275655e-06,3.6143890103090826e-09
1863,7.263677161972737e-06,1.4983863039219614e-09
1864,7.22181916756881e-06,1.9178911792039344e-09
1865,6.975072498249801e-06,1.882737743486018e-09
1866,7.33929034169023e-06,2.4328065117984465e-09
1867,6.578956540437275e-06,2.91168689159349e-09
1868,6.528043417830531e-06,1.975949626142892e-09
1869,6.864274574525098e-06,4.883519144627257e-10
1870,6.933038498857513e-06,2.2936195165357276e-09
1871,7.465625614599958e-06,2.1242354542039266e-09
1872,6.82684110131504e-06,2.4189357183956872e-09
1873,6.489427377687207e-06,0.0
1874,6.663481361357526e-06,1.7923826867161097e-09
1875,6.769138941820074e-06,1.7164581422868253e-09
1876,6.2521841037721515e-06,1.813804395567331e-08
1877,6.124823197950491e-06,4.329371194877751e-09
1878,6.5336899943702065e-06,1.268208604798815e-08
1879,6.929807426558909e-06,1.832797580370027e-09
1880,6.583426561235228e-06,5.134277003548959e-09
1881,6.2355134993197225e-06,1.3945015142624584e-09
1882,6.379186658023173e-06,9.317539184650059e-09
1883,5.886464357729437e-06,6.319338829996468e-09
1884,6.2465254799803915e-06,7.2618666635548834e-09
1885,6.2638685562887986e-06,3.2228177904158883e-09
1886,6.219848437183373e-06,1.2906927748801422e-09
1887,5.828371079985573e-06,6.528924512139156e-09
1888,6.289889810773275e-06,5.072491537916335e-09
1889,5.7846007948114675e-06,6.265136853755848e-09
1890,6.01758236484784e-06,2.8839300725280737e-08
1891,5.049019868863525e-06,3.1871099537283953e-08
1892,5.326981991515822e-06,1.50444294799712e-08
1893,4.911336997537319e-06,5.542574843531156e-09
