year,aucun_DET épi_NOUN,aucun_DET dépit_NOUN
1800,3.144164484325529e-09,3.144164484325529e-09
1801,0.0,2.3811825844433088e-09
1802,1.5664880947952042e-08,6.713520406265161e-09
1803,1.950339223455444e-09,0.0
1804,4.943701892301533e-09,2.4718509461507665e-09
1805,2.842877711017877e-09,0.0
1806,2.881669125542885e-09,5.76333825108577e-09
1807,2.8469551160981155e-09,0.0
1808,4.5321479902327155e-09,0.0
1809,5.1957702140725814e-08,2.259030518203531e-09
1810,0.0,9.360507036149102e-09
1811,2.5070767684098882e-09,0.0
1812,0.0,0.0
1813,0.0,2.8757416448144113e-09
1814,3.1466771410748606e-09,3.1466771410748606e-09
1815,0.0,0.0
1816,1.1588019432906549e-08,0.0
1817,0.0,0.0
1818,1.3113295338484932e-08,2.384235475716423e-09
1819,0.0,0.0
1820,0.0,3.5599443393152796e-09
1821,2.070912508145284e-08,9.86148829262845e-10
1822,2.0051231786055723e-09,1.303330066093622e-08
1823,1.087095569118901e-08,1.087095569118901e-08
1824,1.0947446504872005e-08,0.0
1825,1.7610886970942374e-08,2.1133063299316746e-08
1826,0.0,1.7615968683770689e-09
1827,3.6869092223668076e-09,7.373818444733615e-09
1828,0.0,1.0089530988466322e-08
1829,1.714635211591542e-09,7.715858174606183e-09
1830,1.2524203008013046e-08,1.0436835395921662e-08
1831,1.7150327158432788e-08,0.0
1832,1.0823975715723577e-08,5.411987746839486e-09
1833,8.108540172635514e-09,0.0
1834,6.534171426153534e-09,1.8669061851994684e-09
1835,3.781543966852041e-09,1.1344631900556124e-08
1836,3.3603749782784575e-09,8.064899859050456e-09
1837,6.262101504006523e-09,1.6003149028165353e-08
1838,6.943378094703689e-09,9.468243078458727e-09
1839,7.690622805256453e-09,1.11863602825224e-08
1840,1.46502836528839e-08,1.0191501864653674e-08
1841,2.5682194149112547e-09,1.926164561183441e-09
1842,6.037438549100216e-09,9.391571076378114e-09
1843,2.9534555912036353e-09,7.088293507706567e-09
1844,3.2931368743049916e-09,1.0428266250528395e-08
1845,2.790114028705659e-09,1.0602432709561072e-08
1846,2.3418005312692003e-09,1.0538101946622191e-08
1847,7.011190739092399e-09,2.6966118227278457e-09
1848,4.022610855525244e-09,1.287235473768078e-08
1849,2.513824481908955e-09,8.379414939696517e-10
1850,5.431196825611551e-09,2.7155984128057753e-09
1851,1.2898877521649865e-08,5.159551008659946e-09
1852,3.906327261660181e-09,1.6927417689771573e-08
1853,4.180352286553557e-09,1.4929829816878737e-08
1854,2.0782658372020535e-09,9.352196350675968e-09
1855,1.2736649068756378e-08,8.491099379170919e-09
1856,6.730345836203355e-09,2.4332790005132665e-08
1857,1.7085282077999864e-08,1.5620829074691756e-08
1858,7.3405139189297586e-09,2.3489644007668176e-08
1859,1.0693564478359008e-08,3.4626779665813956e-08
1860,7.781212785218372e-09,2.8378539740359088e-08
1861,1.3676295207432076e-08,1.650587311274876e-08
1862,3.614389121331385e-09,1.626475132354699e-08
1863,7.491931297565202e-09,3.096664968893492e-08
1864,5.274200853833122e-09,2.397363974004918e-08
1865,5.177528850097701e-09,1.788600889618408e-08
1866,5.352174092809747e-09,1.3137154475373336e-08
1867,2.426405742994575e-09,1.358787216076962e-08
1868,1.0373735426227881e-08,2.222943251695142e-08
1869,6.836927024522765e-09,2.8812763730456936e-08
1870,7.454263428741115e-09,8.027668307875047e-09
1871,4.248470908407853e-09,6.37270636261178e-09
1872,6.047339295989218e-09,5.442605366390296e-09
1873,5.387404078405211e-09,6.584604861359367e-09
1874,1.792382742227261e-09,1.7923827755339516e-08
1875,8.58229043387837e-09,4.577221712764867e-09
1876,1.209202959984168e-09,9.06902175579205e-09
1877,1.4225077227258964e-08,8.040260901509555e-09
1878,6.64299765196219e-09,7.850815109122777e-09
1879,6.720257683667796e-09,1.8938909107646396e-08
1880,2.5671385017744797e-09,1.4119262203848848e-08
1881,2.789003084036068e-09,4.8807553554297556e-09
1882,1.3310770263785798e-09,1.1314154946262533e-08
1883,0.0,2.0221884611260066e-08
1884,8.582206056928499e-09,1.1883054540362536e-08
1885,2.5782542767416317e-09,1.2246707647989297e-08
1886,3.872078213618124e-09,1.4842966855610484e-08
1887,7.1818171409887555e-09,5.223139809551469e-09
1888,1.268122939990235e-09,7.60873763994141e-09
1889,6.891650361495749e-09,5.012109394186837e-09
1890,8.520702587944129e-09,1.1797895993481688e-08
1891,4.461953806433883e-09,1.2748440525456317e-08
1892,3.761107425503951e-09,1.817868522380195e-08
1893,1.4780199730779486e-08,4.926733243593162e-09
1894,3.780923574225881e-09,5.671385139294216e-09
1895,4.814891596538473e-09,1.0833506536300774e-08
1896,1.179405795248556e-09,8.845543852942228e-09
1897,4.661370844871726e-09,5.2440420894583895e-09
1898,2.26334195829736e-09,1.3014216371232123e-08
1899,3.3165470370022376e-09,1.8241008703512307e-08
1900,8.824790231898305e-09,4.15284251431558e-09
1901,4.470991132876634e-09,3.353243460679778e-09
1902,2.4551419786078554e-09,5.892340837476695e-09
1903,2.7001101354784396e-09,2.1600881083827517e-09
1904,2.6873125946735854e-09,2.042357660769767e-08
1905,5.160759042333041e-10,9.805441791854719e-09
1906,1.5432553013283723e-09,1.0802787109298606e-08
1907,6.685696440911215e-09,5.65712765521198e-09
1908,4.911389073214423e-09,5.893666887857307e-09
1909,3.3005901345362076e-09,9.901770070541716e-09
1910,2.6720753387721174e-09,8.550641084070776e-09
1911,5.320374252271165e-09,5.320374252271165e-09
1912,2.0837684910901544e-09,8.335073964360618e-09
1913,2.6514948570088848e-09,4.772690687104841e-09
1914,8.036092347118995e-09,6.6967438816512015e-09
