year,en_ADP arts_NOUN,en_ADP dard_NOUN
1800,5.345079756580162e-08,1.8864987794131594e-08
1801,6.42919282256571e-08,2.3811825400343878e-08
1802,9.398928568771225e-08,3.8043282302169246e-08
1803,7.80135707145746e-08,0.0
1804,6.921182560404304e-08,0.0
1805,2.558589917711629e-08,5.685755510853596e-08
1806,4.8988375134229045e-08,1.4408345627714425e-08
1807,4.27043254092041e-08,2.8469551160981155e-09
1808,4.5321479902327155e-09,9.064295980465431e-09
1809,1.581321384946932e-08,2.259030518203531e-09
1810,5.616304221689461e-08,4.680253518074551e-09
1811,3.7606150637969904e-08,0.0
1812,5.06769564090348e-08,3.467370746079723e-08
1813,4.3136123117903935e-08,0.0
1814,9.440030979135372e-09,3.1466771410748606e-09
1815,2.6972236000233352e-08,0.0
1816,8.57513455798653e-08,3.9399267848239106e-08
1817,2.1796228488746294e-08,1.556873407970727e-09
1818,4.4108355412575406e-08,0.0
1819,9.212434237682032e-08,0.0
1820,3.44127952800477e-08,4.746592452420373e-09
1821,7.001656854299654e-08,9.86148829262845e-10
1822,3.308453244699194e-08,0.0
1823,6.32491954366543e-08,0.0
1824,3.1158117863583357e-08,5.894778887238772e-09
1825,4.3146671568905504e-08,0.0
1826,8.807984186454121e-08,4.403992281964975e-09
1827,3.686909327837995e-08,7.373818444733615e-09
1828,3.3937512911030865e-08,2.7516904310687096e-09
1829,3.686465693819585e-08,1.1145129263923081e-08
1830,3.131050774207722e-08,7.305785310052215e-09
1831,3.741889442743229e-08,1.4032085715598441e-08
1832,5.276688019861808e-08,4.058990921151917e-09
1833,4.51761508202253e-08,4.6334514003376626e-09
1834,2.4269779741459274e-08,0.0
1835,3.932805725526123e-08,1.663879345414898e-08
1836,6.922372786100084e-08,3.36037508930076e-09
1837,3.89641890974346e-08,2.7831563720326358e-09
1838,4.102905393210676e-08,1.0730675015224733e-08
1839,2.8665047335785232e-08,5.5931801412612e-09
1840,5.8601136720959346e-08,1.9109065441114126e-09
1841,3.2102741354123054e-08,2.5682194149112547e-09
1842,4.9641161403712886e-08,0.0
1843,4.075768533784441e-08,1.2995204023980023e-08
1844,5.1592476069117765e-08,4.9397050894128824e-09
1845,1.3392547348889394e-08,5.580227946389016e-10
1846,3.981060747726417e-08,2.9272506640865004e-09
1847,1.5101026207275936e-08,8.629157832729106e-09
1848,2.735375304041554e-08,8.84974404868899e-09
1849,3.26797175986826e-08,0.0
1850,3.6660578572877967e-08,1.6293590476834652e-08
1851,2.3217978650791338e-08,6.449438760824933e-10
1852,4.9480144648228475e-08,5.859490670445666e-09
1853,2.926246556178569e-08,2.9859659189668264e-09
1854,4.0006617019194834e-08,1.558699391779328e-09
1855,1.0083180512765466e-08,6.368324534378189e-09
