year,en_ADP eaux_NOUN,en_ADP dos_NOUN
1800,2.358123420975744e-07,2.8926314143973286e-07
1801,2.524053570596152e-07,3.119349116786907e-07
1802,2.5735161557349784e-07,2.394488944901241e-07
1803,1.1331471370112922e-06,3.101039283137652e-07
1804,4.696516728852629e-07,2.4224138428508013e-07
1805,5.34461003454112e-07,4.804463173968543e-07
1806,2.7087691023552907e-07,6.599022412956401e-07
1807,3.074711401040986e-07,1.508886242618246e-07
1808,2.5153420679657756e-07,2.4700207745809166e-07
1809,2.710836657371374e-07,3.7048101830805535e-07
1810,3.1825722945910684e-07,2.2933242860290193e-07
1811,3.4096243783920954e-07,3.1087751040104195e-07
1812,2.667208347517658e-07,2.1604387256957125e-07
1813,2.0992914051554123e-07,1.4953856464217097e-07
1814,2.580275122454623e-07,1.9824065589091333e-07
1815,2.5623624266835066e-07,6.47333635583891e-08
1816,2.062667476820934e-07,1.9931393069327896e-07
1817,2.2107602470899934e-07,2.00836666408577e-07
1818,1.9908365556098317e-07,1.9431519149293308e-07
1819,3.3226870055358404e-07,1.1800197086131448e-07
1820,2.1003671690777992e-07,1.1273156985680544e-07
1821,2.031466594942799e-07,1.1833785862336299e-07
1822,1.5439448475262907e-07,9.323822780515911e-08
1823,1.2649839309375466e-07,1.2254531611688435e-07
1824,1.9621192581809055e-07,1.473694766218614e-07
1825,1.787504968486786e-07,1.2327620879659662e-07
1826,2.3164999207736514e-07,9.864942285275902e-08
1827,2.0185828181196186e-07,1.8618891317601083e-07
1828,1.751909479708047e-07,1.1281930767381709e-07
1829,2.1518671777798204e-07,1.5260253860560624e-07
1830,1.8890672803806297e-07,2.0143093593105732e-07
1831,2.7908258548592357e-07,3.8510279409820214e-07
1832,3.368962495642336e-07,1.3800568865462992e-07
1833,2.536814502906992e-07,1.6796261093077192e-07
1834,1.7455573142477476e-07,1.5588666713028942e-07
1835,2.2008586597621616e-07,2.0193445493532636e-07
1836,1.854926970912274e-07,1.7944402941338922e-07
1837,1.8507989274496595e-07,3.652892814898223e-07
1838,2.057764847407384e-07,1.571728347471435e-07
1839,2.551888466095775e-07,3.992132349139865e-07
1840,1.0828470919932442e-07,1.8217309616375132e-07
1841,1.8491180320268086e-07,1.5794549312886375e-07
1842,1.677066228111812e-07,1.3282364363931265e-07
1843,2.0615119794564762e-07,2.002442869297738e-07
1844,1.9374621373913214e-07,1.3007890231619967e-07
1845,1.696389348992966e-07,1.3559953515596135e-07
1846,2.1603110056389596e-07,1.8090409525939322e-07
1847,1.526282265018608e-07,1.4345974364005087e-07
1848,3.07327463255902e-07,1.0861049304367043e-07
1849,2.1618890544417013e-07,1.1228416241237937e-07
