year,en_ADP année_NOUN,en_ADP damné_NOUN
1800,1.1570525657589315e-06,6.288328968651058e-09
1801,1.0262897376378532e-06,0.0
1802,1.076401076716138e-06,0.0
1803,1.3125783198120189e-06,1.950339223455444e-09
1804,1.604231215424079e-06,9.887403784603066e-09
1805,1.1741085472749546e-06,0.0
1806,1.1613126389420358e-06,0.0
1807,1.423477556272701e-06,0.0
1808,1.8377860442342353e-06,0.0
1809,1.7665618818885065e-06,0.0
1810,1.4181167671267758e-06,0.0
1811,1.3437932011584053e-06,2.5070767684098882e-09
1812,8.481721920361451e-07,5.3344164641089264e-09
1813,9.173616035695886e-07,2.8757416448144113e-09
1814,1.3813912573823472e-06,9.440030979135372e-09
1815,1.3405201571004e-06,0.0
1816,1.151849119196413e-06,0.0
1817,1.4510059603844994e-06,3.113746815941454e-09
1818,1.1742359902200405e-06,1.1921177378582115e-09
1819,1.4739895141113735e-06,4.140420006848444e-09
1820,1.168848340782347e-06,0.0
1821,1.164641730611038e-06,2.9584463767662328e-09
1822,1.3153608335869649e-06,0.0
1823,1.2560894792068567e-06,2.9648061783404955e-09
1824,1.0425337677588686e-06,5.052667617633233e-09
1825,1.3525160511562717e-06,8.805443041381977e-10
1826,1.4770989957835212e-06,1.7615968683770689e-09
1827,1.5660147028029314e-06,3.6869092223668076e-09
1828,1.2731154583889293e-06,5.503380751115117e-09
1829,1.8895279936259612e-06,8.57317605795771e-10
1830,1.3119102959535667e-06,1.0436835840010872e-09
1831,1.2550921155707329e-06,0.0
1832,1.5613584309903672e-06,4.058990921151917e-09
1833,1.3923521464676014e-06,2.3167257001688313e-09
1834,1.7194206520798616e-06,9.334530925997342e-10
1835,1.3258093503054624e-06,2.2689263801112247e-09
1836,1.4550424378145799e-06,6.720750067579218e-10
1837,1.6858969303923388e-06,2.7831563720326358e-09
1838,1.6354811391838808e-06,3.1560809521380406e-09
1839,2.0121464709976777e-06,6.9914751765765e-10
1840,1.7153571434391779e-06,6.369688665408546e-10
1841,1.9364374566066545e-06,0.0
1842,1.7676278849521054e-06,6.708265054555795e-10
1843,2.0325681382438177e-06,5.906911071384968e-10
