year,en_ADP essence_NOUN,en_ADP décence_NOUN
1800,1.1947824418712116e-07,9.432493897065797e-09
1801,1.500145003774378e-07,1.1905912700171939e-08
1802,1.857407312400028e-07,2.2378401354217203e-09
1803,1.501761204281138e-07,0.0
1804,1.0134588990240445e-07,0.0
1805,1.2792949632967066e-07,2.842877711017877e-09
1806,5.4751712497136396e-08,0.0
1807,2.306033621835013e-07,0.0
1808,1.9941451512295316e-07,0.0
1809,2.0557178004310117e-07,4.518061036407062e-09
1810,1.3572734758326988e-07,2.3401266702194334e-08
1811,9.27618373225414e-08,5.0141535368197765e-09
1812,1.0135391192989118e-07,0.0
1813,2.0992914073758584e-07,1.7254450312975678e-08
1814,9.44003133440674e-08,0.0
1815,1.1867783911156948e-07,0.0
1816,6.489290882427667e-08,1.3905623319487859e-08
1817,9.029865566390072e-08,7.784366928831332e-09
1818,1.1325118265403944e-07,1.4305412854298538e-08
1819,1.72862542058283e-07,0.0
1820,1.1985146386450651e-07,1.1866481131050932e-08
1821,1.1242096320529527e-07,9.86148829262845e-10
1822,1.2732532184145384e-07,3.0076847679083585e-09
1823,9.388552835165598e-08,3.063632902922109e-08
1824,5.136878655775945e-08,0.0
1825,9.15766094067294e-08,2.641632912414593e-09
1826,1.0041102171953753e-07,0.0
1827,2.359621902314757e-07,2.7651818612639545e-09
1828,1.5776357997765444e-07,0.0
1829,1.5088789950823411e-07,9.430493719264632e-09
1830,1.7846988953351683e-07,7.305785310052215e-09
1831,1.4811645598911127e-07,1.5591206103948707e-09
1832,1.2988770947686135e-07,0.0
1833,7.876867158529421e-08,1.1583628500844156e-09
1834,8.867804268675172e-08,1.4001796166951408e-08
1835,1.3916081798015512e-07,8.31939672707449e-09
1836,2.6546962317297584e-07,5.376600054063374e-09
1837,1.0367257630150561e-07,4.87052354003481e-09
1838,1.5212310700007947e-07,1.2624323808552163e-09
1839,9.438491588298348e-08,2.7965900706306e-09
1840,1.9491247371661302e-07,7.64362617644565e-09
1841,1.643660425543203e-07,3.852329122366882e-09
1842,2.414975370790273e-07,1.341653010911159e-08
1843,1.943373746371435e-07,1.2995204023980023e-08
1844,2.5741352116526173e-07,2.7442805805577564e-09
1845,4.41396026840124e-07,9.48638767539478e-09
1846,4.168404927895608e-07,3.5127007969038004e-09
1847,2.906947553782402e-07,5.393223645455691e-10
1848,2.62274233331361e-07,8.84974404868899e-09
1849,3.0333482770039666e-07,5.865590679832167e-09
1850,4.433214444432565e-07,3.394498016007219e-09
1851,1.7864945789369813e-07,1.0319102017319892e-08
1852,1.6732101926208998e-07,2.6042181744401205e-09
1853,2.2335025562369992e-07,5.3747388761848924e-09
1854,2.2133531274448615e-07,3.117398783558656e-09
1855,2.568557420090656e-07,7.429711956774554e-09
1856,2.681783959346262e-07,9.318940286107136e-09
1857,2.1917975345786544e-07,7.322263684272912e-09
1858,2.1336427641349687e-07,4.893676130990343e-09
1859,2.3576762941956986e-07,4.073738679721828e-09
1860,1.8766454087937312e-07,1.373155145145688e-09
1861,3.588848471736128e-07,9.431927461278633e-10
1862,2.390014732789325e-07,6.325180823552046e-09
1863,2.5372672551871034e-07,1.4983863039219614e-09
1864,2.6083318971359404e-07,0.0
1865,2.1604414929266014e-07,3.765475486972036e-09
1866,2.851249121249566e-07,4.865612912574591e-10
1867,2.489492203494592e-07,5.82337378318698e-09
1868,2.875006650526757e-07,3.951899252285784e-09
1869,2.412458406375606e-07,4.395167341186834e-09
1870,5.338399660104187e-07,1.1468097582678638e-09
1871,1.1046024184224734e-07,2.1242354542039266e-09
1872,1.342509392543434e-07,0.0
1873,2.2567236274140257e-07,2.3944017879529156e-09
1874,1.565347531595762e-07,0.0
1875,1.7908379845721356e-07,1.1443054281912168e-09
1876,1.2998931708807504e-07,6.04601479992084e-09
1877,1.8925537403902126e-07,6.184815992682502e-10
