year,mon_DET oeil_NOUN,mon_DET deuil_NOUN
1800,2.0437068570799966e-07,1.0690159157888957e-07
1801,1.357274115321161e-07,1.1191558257905854e-07
1802,1.432217686669901e-07,8.280008501060365e-08
1803,9.361628094950447e-08,5.655983681407406e-08
1804,8.157107878048464e-08,1.4089549704721094e-07
1805,9.665784439505387e-08,6.254330742194725e-08
1806,1.0085841850582256e-07,1.930718358522654e-07
1807,1.0818429529990681e-07,1.224190668835945e-07
1808,1.0423940466353088e-07,9.517510868306545e-08
1809,6.099382332536152e-08,1.1295152635426575e-07
1810,7.254393130651238e-08,7.722418171596246e-08
1811,4.512738183137799e-08,6.769107585569145e-08
1812,4.267532993651457e-08,9.868670325374751e-08
1813,4.026038169513413e-08,1.6391727308828763e-07
1814,1.0698702368472368e-07,7.552025405033191e-08
1815,5.933891866760632e-08,1.1328338778149316e-07
1816,7.184572226037744e-08,7.879853036740769e-08
1817,6.071806435414828e-08,8.251428695871255e-08
1818,4.410835652279843e-08,6.199012059227016e-08
1819,2.6912730710648702e-08,6.107119787657211e-08
1820,3.4412794391869284e-08,1.5663754471262337e-07
1821,9.861487981766004e-08,8.776724769177235e-08
1822,3.8097340393505874e-08,8.622029668003961e-08
1823,4.74368976322026e-08,8.894418535021487e-08
1824,6.400045649002095e-08,9.515857435360431e-08
1825,5.987701401366508e-08,1.505730748974088e-07
1826,5.5490302131033786e-08,1.0129181937656995e-07
1827,2.7651819500817965e-08,7.650336431019866e-08
1828,4.1275353801495385e-08,6.237164973388332e-08
1829,3.2578068964728146e-08,9.430493763673553e-08
1830,6.47083817639782e-08,9.601889283672449e-08
1831,5.6128341974215346e-08,7.016042413710011e-08
1832,8.117981709077071e-08,8.117981842303834e-08
1833,5.9076506575550525e-08,1.204697399614929e-07
1834,4.200539027721106e-08,8.121042216480134e-08
1835,3.857174846189082e-08,8.924443761770817e-08
1836,2.8899224679967972e-08,1.1492482876462873e-07
1837,3.2702088037517285e-08,8.210311008838289e-08
1838,1.9567701237122037e-08,9.468242900823043e-08
1839,2.586845848639996e-08,9.158832359190683e-08
1840,2.547875399550037e-08,5.923810553198905e-08
1841,2.632424900284036e-08,6.613165126623244e-08
1842,3.21996713736894e-08,1.2879869260018495e-07
1843,2.9534555467947143e-08,6.970154875496348e-08
1844,1.481911582335016e-08,8.83658377581753e-08
1845,2.511102614732863e-08,8.760957825870719e-08
1846,2.634525531064469e-08,8.196302037077885e-08
1847,2.1572894581822766e-08,5.015698079091635e-08
1848,1.769948759777762e-08,7.079795238951192e-08
1849,1.3407064125559032e-08,5.446619866233959e-08
1850,2.308258562067067e-08,8.89358462430323e-08
1851,2.1283148798900697e-08,7.28786608839016e-08
1852,1.2370036106545967e-08,5.273541892059086e-08
1853,1.7318602107962988e-08,7.226037190832812e-08
1854,1.2469594468100809e-08,8.157193098767834e-08
1855,2.9188154115900034e-08,7.588920070134009e-08
1856,9.318940341618287e-09,8.283502683781307e-08
1857,2.0990488958094744e-08,1.1520361553607472e-07
1858,2.300027768242785e-08,1.25278104334825e-07
1859,1.3748867822016564e-08,1.1304624614183467e-07
1860,1.4646988760746993e-08,1.1488731299635901e-07
1861,1.2733101961703852e-08,1.1554111489786578e-07
1862,3.5692093336425756e-08,1.5541872677715673e-07
1863,1.548332478895631e-08,1.1887197803872596e-07
1864,1.6781548151101333e-08,1.1699135882281553e-07
1865,1.4120532965122834e-08,1.6850502504439646e-07
1866,1.0704348185619494e-08,9.487945362707251e-08
