year,bien_ADV écrit_VERB,bien_ADV ecrit_VERB,bien_ADV décrit_VERB
1800,9.149518405138224e-07,1.8864987794131594e-08,9.023752340908686e-07
1801,9.57235442911042e-07,5.714838380299625e-08,6.262509941734606e-07
1802,5.035140304698871e-07,2.2378401354217203e-09,3.9162202369880106e-07
1803,6.436119253105943e-07,3.900678446910888e-09,7.996390536391118e-07
1804,1.1691855241746651e-06,9.887403784603066e-09,7.217804522952065e-07
1805,9.807928582628023e-07,2.842877711017877e-09,5.373038902689586e-07
1806,9.595957930486065e-07,0.0,5.561621492233826e-07
1807,1.2270376146261697e-06,2.8469551160981155e-09,3.558693890681752e-07
1808,9.40420704864664e-07,0.0,5.325273946255038e-07
1809,6.573778819074505e-07,0.0,3.0496912017952127e-07
1810,9.96893956273226e-07,2.3401267590372754e-09,2.7145469516653975e-07
1811,1.060493445947941e-06,1.0028307073639553e-08,2.7577843297876825e-07
1812,2.141768163710367e-06,2.6672082320544632e-09,6.748036867065821e-07
1813,1.4234921412725754e-06,2.8757416448144113e-09,3.2495881896466017e-07
1814,6.261887506298081e-07,3.1466771410748606e-09,3.492811515570793e-07
1815,8.981754717751755e-07,0.0,5.610224889096571e-07
1816,6.095298203945276e-07,0.0,5.909889750910224e-07
1817,7.192755333562673e-07,0.0,5.71372538615833e-07
1818,8.595168878855475e-07,0.0,4.45852037955774e-07
1819,8.684530712343985e-07,4.140420006848444e-09,4.1197179712071375e-07
1820,7.464016524849626e-07,0.0,4.6041947143748985e-07
1821,9.91079621037727e-07,0.0,4.161548190495523e-07
1822,9.213541147801152e-07,1.0025615893027862e-09,3.4187348774139537e-07
1823,6.552221410993653e-07,3.9530747564242574e-09,3.9728402612126956e-07
1824,7.831634851740432e-07,3.3684450784221553e-09,3.7052896573186445e-07
1825,6.841829076620343e-07,1.7610886082763955e-09,4.517192166986206e-07
1826,6.817380153734121e-07,8.807984341885344e-10,3.9459769141103607e-07
1827,6.442873654033399e-07,8.295545583791863e-09,2.912658203513274e-07
1828,5.906961746404704e-07,9.172301251858528e-10,3.3570623259038257e-07
1829,6.404162707918104e-07,4.286587973467704e-09,3.6007338621857343e-07
1830,7.869374301083809e-07,3.1310507520032616e-09,3.7676977626688313e-07
1831,5.176280148955215e-07,9.354723218280014e-09,3.102649941411073e-07
1832,6.4673253774572e-07,1.3529969367098715e-09,2.963063252536813e-07
1833,5.374803890845214e-07,0.0,3.6604265574169403e-07
1834,6.216797874269986e-07,1.8669061851994684e-09,4.0698554926166253e-07
1835,4.5529787939813104e-07,1.5126175867408165e-09,4.144572187669837e-07
1836,4.7582909701304743e-07,5.376600054063374e-09,4.113099123514985e-07
1837,5.587186507893804e-07,6.262101948095733e-09,4.251271263910894e-07
1838,4.955046950527731e-07,6.312161904276081e-10,3.377006692062423e-07
1839,6.285336022759935e-07,8.38977065598101e-09,3.2650189041305566e-07
1840,5.00020576055249e-07,2.5478754661634184e-09,3.490589506327524e-07
1841,4.898878556147679e-07,1.2841097074556274e-09,4.36597304087627e-07
1842,4.930574846184754e-07,2.0124795163667386e-09,2.5826821570262837e-07
1843,4.784598158780184e-07,0.0,3.18382518571525e-07
1844,4.6323455960006754e-07,5.488561272137815e-10,2.777211989268835e-07
1845,4.1182082233248707e-07,0.0,2.924039392837585e-07
1846,4.5957835936860647e-07,3.5127007969038004e-09,4.0922964217315894e-07
1847,5.064236869856131e-07,1.0786447290911383e-09,3.1118901233639917e-07
1848,3.8777969280090474e-07,8.045221711050488e-10,3.2744051736699475e-07
1849,4.860060647260411e-07,0.0,3.6366660083331226e-07
1850,3.9036726118268916e-07,3.394498016007219e-09,2.9871583251406264e-07
1851,4.4436632151700906e-07,1.2898877521649865e-09,2.644270011842309e-07
1852,4.941503917166301e-07,0.0,2.9102139365022595e-07
