year,bien_ADV ôté_VERB,bien_ADV doté_VERB
1800,3.144164484325529e-09,0.0
1801,2.8574191901498125e-08,2.6193008650921e-08
1802,2.2378401354217203e-09,1.7902721083373763e-08
1803,7.801356893821776e-09,5.851017448321727e-09
1804,1.4831105232815389e-08,1.730295728918918e-08
1805,0.0,2.2743021688143017e-08
1806,1.152667650217154e-08,1.4408345627714425e-08
1807,0.0,1.4234775136401367e-08
1808,2.2660739062985158e-08,2.945896149242344e-08
1809,0.0,3.6144488291256494e-08
1810,0.0,2.3401267590372754e-09
1811,0.0,1.7549536934780008e-08
1812,2.6672082320544632e-09,5.3344164641089264e-09
1813,0.0,1.4378708002027452e-08
1814,0.0,3.1466771410748606e-09
1815,1.0788894222457657e-08,5.394447111228828e-09
1816,1.1588019432906549e-08,3.0128852301913867e-08
1817,7.784366928831332e-09,6.227493543065066e-08
1818,1.1921177378582115e-09,4.768470951432846e-09
1819,0.0,2.4842520929269085e-08
1820,2.3732962262101864e-09,2.4919611263385377e-08
1821,3.94459531705138e-09,1.0847637454958203e-08
1822,2.3058916553964082e-08,1.0025615893027862e-09
1823,1.9765373782121287e-09,9.882686669016039e-09
1824,8.421112696055388e-09,1.431589158329416e-08
1825,2.8177417732422327e-08,2.4655239627691117e-08
1826,2.642395191543301e-09,1.2331177856594877e-08
1827,1.013900075008678e-08,2.027800150017356e-08
1828,9.172301251858528e-10,2.384798314380987e-08
1829,1.714635211591542e-09,2.4862210068476998e-08
1830,3.1310507520032616e-09,9.39315203396518e-09
1831,6.236482441579483e-09,2.494592976631793e-08
1832,1.2176972319366541e-08,8.117981842303834e-09
1833,2.3167257001688313e-09,2.4325620628928846e-08
1834,3.733812370398937e-09,2.240287422239362e-08
1835,6.050470346963266e-09,1.3613558280667348e-08
1836,8.736974699274924e-09,3.2259599436201825e-08
1837,1.3219993100221927e-08,1.6003149028165353e-08
1838,2.5248647617104325e-09,1.3886756633496589e-08
1839,6.9914751765765e-10,1.957613093850341e-08
1840,3.1848443882154243e-09,2.7389662093924017e-08
1841,1.2841097074556274e-09,1.4125206782011901e-08
1842,2.683306021822318e-09,2.884553929050071e-08
1843,3.5441467538532834e-09,1.9492807368237663e-08
1844,1.097712254427563e-09,1.811225303072206e-08
1845,3.348136878855712e-09,8.37034175305007e-09
1846,5.854501328173001e-09,1.5221703009160592e-08
1847,4.853901280910122e-09,4.1527822958187244e-08
1848,2.413566457803995e-09,2.252662056889676e-08
1849,0.0,2.0948537127196687e-08
1850,2.7155984128057753e-09,1.1541293254424545e-08
1851,6.449438760824933e-09,2.579775504329973e-08
1852,5.859490670445666e-09,1.4974254725075298e-08
1853,8.360704129017904e-09,2.269334054005867e-08
1854,3.117398783558656e-09,1.1950028522278444e-08
1855,5.306937111981824e-09,1.6982198758341838e-08
1856,6.73034605824796e-09,4.970101485923806e-08
1857,7.322263684272912e-09,2.2943092758964667e-08
1858,7.34051397444091e-09,3.034079298913639e-08
1859,1.018434669930457e-09,2.8516170758052795e-08
1860,1.373155145145688e-09,3.249800428761773e-08
1861,3.772770984511453e-09,2.782418562219391e-08
1862,6.325180823552046e-09,1.9427341513278407e-08
1863,3.995696662428827e-09,2.597202808374277e-08
1864,4.794728170054441e-09,1.7740493518658695e-08
1865,1.882737743486018e-09,2.3063536858103362e-08
1866,6.811858188626729e-09,2.6760870852626795e-08
1867,8.73506067478047e-09,4.270474107670452e-08
1868,4.93987406535723e-10,3.951899429921468e-08
1869,2.441759683335931e-09,2.3440891894210836e-08
1870,1.7202146374017957e-09,2.3509599600401998e-08
1871,0.0,3.504988654867702e-08
1872,1.8142017887967654e-09,3.688877114882416e-08
1873,2.9930022904522957e-09,3.5317427204972773e-08
1874,8.961913877669758e-09,2.2106053876314036e-08
1875,3.432916173551348e-09,3.833423178889461e-08
1876,0.0,3.3253080289341597e-08
1877,4.329371083855449e-09,2.72131899237138e-08
1878,0.0,2.8383716710322915e-08
1879,0.0,2.871382953628654e-08
1880,4.492492600149944e-09,2.8238524407697696e-08
1881,0.0,4.8807553554297556e-08
1882,3.3276925659464496e-09,3.3276925659464496e-08
1883,0.0,2.274962085380139e-08
1884,1.9805090900604227e-09,5.941527092545584e-08
1885,1.933690763067375e-09,3.158361394639542e-08
1886,4.5174246565693466e-09,4.840097744818195e-08
1887,1.9586774424595887e-09,2.807437621266118e-08
1888,3.1703073499755874e-09,1.902184476598734e-08
1889,0.0,2.380751895625366e-08
1890,6.554386478008212e-10,3.736000309118026e-08
1891,1.2748440081367107e-09,2.6771723837804018e-08
1892,0.0,3.57305189879753e-08
1893,1.847525021858587e-09,2.6481190573690583e-08
1894,3.780923574225881e-09,3.213785149114301e-08
1895,0.0,1.745398137131815e-08
1896,0.0,2.6536630670648265e-08
1897,1.1653427112179315e-09,2.7385553380554484e-08
1898,0.0,3.5647634177848886e-08
1899,1.1055156790007459e-09,2.65323762960179e-08
1900,2.595526460424935e-09,3.529916270395006e-08
1901,1.1177477832191585e-09,2.4031576728589243e-08
1902,6.38336894454028e-09,2.0132164380015638e-08
1903,5.400220270956879e-10,2.106085994491025e-08
1904,5.374625189347171e-10,3.547252536151291e-08
1905,0.0,4.902721206789806e-08
1906,5.144184522798412e-10,2.9321851613417493e-08
1907,0.0,4.011417686911045e-08
1908,4.911389073214423e-10,3.045061092166179e-08
1909,0.0,2.640472018811124e-08
1910,2.67207544979442e-09,2.7255168788542505e-08
1911,5.320374141248863e-10,2.2877609140437016e-08
1912,1.0418842455450772e-09,2.6047105805560022e-08
1913,0.0,2.227255713194154e-08
1914,1.3393487430235496e-09,2.6117300322425763e-08
1915,1.1780761921542648e-09,3.652036184575991e-08
1916,0.0,3.076489463182952e-08
1917,0.0,3.070598708632133e-08
1918,0.0,4.5945505178224266e-08
1919,1.1049418269237776e-08,2.762354434082681e-08
1920,0.0,3.63467123065675e-08
1921,4.543648568500203e-09,3.332008802203745e-08
1922,7.377935484775833e-10,1.770704471937279e-08
1923,1.0615948120573648e-09,1.8047112249064412e-08
1924,0.0,2.1915761649893284e-08
1925,1.0998177923937646e-09,1.8696901804560184e-08
