year,un_DET août_NOUN,un_DET doute_NOUN
1800,1.2576658381391326e-08,1.373999824139105e-06
1801,2.3811825844433088e-09,1.2739327210908868e-06
1802,6.713520406265161e-09,1.396412216081444e-06
1803,5.851017670366332e-09,1.0356301771707876e-06
1804,0.0,1.7377111731775585e-06
1805,1.1371510844071508e-08,1.3304668193825364e-06
1806,4.034336686942197e-08,1.0431641941366365e-06
1807,1.7081730252499483e-08,1.4007019224493433e-06
1808,6.798221985349073e-09,1.2916621230374403e-06
1809,1.581321340538011e-08,1.4231891807270358e-06
1810,9.360507036149102e-09,1.6076671265352616e-06
1811,1.0028307073639553e-08,1.1833401920569031e-06
1812,0.0,1.5416463980955086e-06
1813,1.4378708224072057e-08,1.5298945399422337e-06
1814,2.5173416684509675e-08,1.2555241397649297e-06
1815,1.0788894222457657e-08,1.5562979811534206e-06
1816,1.8540831092650478e-08,1.251506045463202e-06
1817,1.556873407970727e-09,1.366934818669563e-06
1818,8.34482416500748e-09,1.5139895275240178e-06
1819,4.243930362690662e-08,2.0960876554454444e-06
1820,9.493184904840746e-09,1.40736462306279e-06
1821,4.9307441463142254e-09,1.5265584245582886e-06
1822,0.0,1.6371830326988857e-06
1823,7.906149512848515e-09,1.6513969622877767e-06
1824,6.736890156844311e-09,1.2210613249408198e-06
1825,1.7610886082763955e-09,1.184332123926879e-06
1826,5.284790383086602e-09,1.6418083035318887e-06
1827,9.217272944894717e-09,1.4950416460379756e-06
1828,6.420610709767516e-09,1.650097042116272e-06
1829,1.1145128819833872e-08,1.7343535745339977e-06
1830,7.305785310052215e-09,1.771131007188842e-06
1831,0.0,2.164059342391056e-06
1832,1.3529969367098715e-09,1.9050196513603623e-06
1833,4.6334514003376626e-09,1.6425585691592914e-06
1834,7.467624518753269e-09,1.6671471776419367e-06
1835,1.4369867074037757e-08,1.8574944462557141e-06
1836,4.7045251028166035e-09,1.9066767862341294e-06
1837,1.878630495610878e-08,1.8013979641295919e-06
1838,1.2624323808552163e-08,1.5723594906091876e-06
1839,2.4470163673129264e-08,2.0086507959149458e-06
1840,2.993753722702053e-08,1.8860647905682981e-06
1841,1.1556987367100646e-08,2.32616480744241e-06
1842,2.0124795163667386e-09,2.13993651243527e-06
1843,7.678984337289307e-09,2.252305293382051e-06
1844,1.1525978393933656e-08,2.236588780846205e-06
1845,1.618266126657275e-08,2.2002837880563675e-06
1846,1.2294452345074092e-08,2.234077676632751e-06
1847,1.941560512364049e-08,2.2743223340171426e-06
1848,4.02261068899179e-09,2.2695571253450453e-06
1849,2.5976186535103807e-08,2.7166063460981604e-06
1850,5.431196825611551e-09,2.2396897136900407e-06
1851,1.2898877521649865e-09,2.441112485485064e-06
1852,6.510545436100301e-09,2.560597458511893e-06
1853,2.388772735173461e-09,2.3338308707820943e-06
1854,1.143046213236687e-08,2.2481639661009467e-06
1855,1.3798036491152743e-08,2.33770579427528e-06
1856,1.6049286677422003e-08,2.2997075532771305e-06
1857,1.3180074864838076e-08,2.2328022168949246e-06
1858,4.404308306948934e-09,2.529051855049147e-06
1859,7.1290429115578036e-09,2.6036282037011915e-06
1860,2.105504681715331e-08,2.360453805749785e-06
1861,9.903523778831413e-09,2.591422010311817e-06
1862,7.228778076129316e-09,2.587902528716768e-06
1863,7.99139360241341e-09,2.826955345369697e-06
1864,2.8768367688059016e-09,2.6553202374657303e-06
1865,1.4120533464723195e-08,2.748797051310703e-06
1866,7.784980493585891e-09,2.565637593932024e-06
