year,on_PRON écrit_VERB,on_PRON ecrit_VERB,on_PRON décrit_VERB
1800,5.036951506554033e-06,9.432493897065797e-09,7.703203124265201e-07
1801,5.448145884656697e-06,3.333655573811711e-08,3.786080213785681e-07
1802,3.837895746983122e-06,1.1189200677108602e-08,6.019790248501522e-07
1803,3.268768523412291e-06,1.3652374786232713e-08,4.953861623135936e-07
1804,3.6410365282790735e-06,4.449331569844617e-08,5.858286691307057e-07
1805,3.354595605742361e-06,1.1371510622026904e-08,4.463317964109592e-07
1806,4.221645212965086e-06,3.1698360380971735e-08,5.705704708702797e-07
1807,4.014206751890015e-06,1.99286853685976e-08,4.38431079885504e-07
1808,4.296476390663884e-06,1.3596443970698147e-08,6.548953770391108e-07
1809,2.9864382895539165e-06,1.8072244145628247e-08,6.573779067764463e-07
1810,3.774624360630696e-06,1.4040760554223652e-08,7.511806927595899e-07
1811,3.367004183019162e-06,2.5070767684098882e-09,1.0705217619033647e-06
1812,2.344476058624423e-06,1.3336041604361526e-08,1.04821283741785e-06
1813,2.559410063440737e-06,2.5881675469463516e-08,7.649472770765442e-07
1814,2.9610231422338984e-06,1.8880063290538374e-08,4.940283169219128e-07
1815,2.5380874149050214e-06,8.091670666843243e-09,2.1308066244785095e-07
1816,2.336144689252251e-06,9.270415546325239e-09,5.770833766405303e-07
1817,2.2014190221852914e-06,2.1796227933634782e-08,2.6778222661505424e-07
1818,2.2554867200597073e-06,5.9605886892910576e-09,3.528668450769601e-07
1819,2.8351525998004945e-06,1.1386155129855524e-08,5.806939071817396e-07
1820,2.420762143628963e-06,1.4239777357261119e-08,3.310748368789973e-07
1821,2.4298707330672187e-06,3.94459531705138e-09,3.1951221046711e-07
1822,2.9485336199286394e-06,5.012807946513931e-09,4.3310662078965834e-07
1823,2.140590027011058e-06,6.917880712720148e-09,3.162459716321564e-07
1824,1.560432139058321e-06,4.210556348027694e-09,3.6884474141629653e-07
1825,2.1212312049101456e-06,1.584979791857677e-08,6.128588125875467e-07
1826,2.512917887997901e-06,1.3211975957716504e-08,6.103933287704422e-07
1827,2.305239945599169e-06,1.935627425009301e-08,3.4196084364168655e-07
1828,2.526051730455947e-06,1.7427371989953144e-08,6.925087561171495e-07
1829,2.589956523024739e-06,6.858540846366168e-09,3.8493560694519147e-07
1830,2.3117590899346396e-06,6.262101281961918e-09,5.5210862726085e-07
1831,2.6567414579403703e-06,7.795602829929749e-09,4.178443120395059e-07
1832,3.013124228345987e-06,1.488296641483089e-08,4.951968852751065e-07
1833,2.385069080901303e-06,8.108539839568607e-09,2.9538251666849646e-07
1834,2.1581435589723696e-06,5.60071877764301e-09,3.808488493461937e-07
1835,3.4064148621837376e-06,5.294161553592858e-09,4.5378527602224494e-07
1836,2.3280678078663186e-06,9.409049706032846e-09,3.125148744231865e-07
1837,2.733059545789729e-06,4.87052354003481e-09,5.322786442718552e-07
1838,2.5595817305656965e-06,1.8936485712828244e-09,5.239094313935766e-07
1839,2.2757251372240717e-06,2.7965900706306e-09,3.1741296169229827e-07
1840,2.3797157382432488e-06,3.821813199245128e-09,3.159365551397286e-07
1841,3.1865182563706185e-06,4.494383976094696e-09,3.7560207744036234e-07
1842,3.0395149224204943e-06,3.3541325272778977e-09,4.0585002736293063e-07
1843,2.609082571325416e-06,4.1348376944583265e-09,3.945816562378468e-07
1844,2.5477901317572105e-06,6.586273748609983e-09,5.208644644483229e-07
1845,2.790113967421348e-06,3.906159617983462e-09,5.150550492771799e-07
1846,2.730539449657954e-06,5.854501550217606e-09,3.5653913954547534e-07
1847,3.043935407731624e-06,9.707802561820245e-09,5.064236958673973e-07
1848,2.893061719078105e-06,6.4361772578180876e-09,5.26157528213389e-07
1849,2.7207960329178604e-06,1.6758829879393033e-09,4.0556368574584667e-07
1850,2.8927912580911652e-06,2.2403686905647646e-08,3.611745782450271e-07
1851,2.7597147891356144e-06,1.9348316282474798e-09,2.928045184091843e-07
1852,2.5723165890667588e-06,6.510545436100301e-10,4.6745716275609084e-07
1853,3.346073413013073e-06,3.5831591027601917e-09,4.204239942851018e-07
1854,3.466027692411444e-06,5.7152309551611324e-09,3.2420947526645705e-07
1855,2.9384510753516224e-06,4.776243400783642e-09,4.3994509724143427e-07
1856,3.4143563425459433e-06,8.801221529353143e-09,4.41614236734722e-07
1857,2.815166226355359e-06,7.810414537345878e-09,4.988902375657744e-07
1858,2.777650593088765e-06,5.3830435664536935e-09,4.281966639041457e-07
1859,3.33435502852808e-06,6.619825576592575e-09,4.924131715711155e-07
1860,3.0863950541970553e-06,3.204028764525191e-09,4.549720884483577e-07
1861,3.2530717817280674e-06,1.414789119191795e-09,4.0038531778918696e-07
1862,2.7885010922545916e-06,2.710791757731812e-09,4.757439491243076e-07
1863,2.6955968905895134e-06,8.990317601487163e-09,4.1755028945544836e-07
1864,2.2923594542589854e-06,4.315255264231155e-09,4.4111495967058545e-07
1865,2.3604824264111812e-06,2.824106559717876e-09,4.0714203919378633e-07
1866,2.816703272401355e-06,9.731225825149181e-10,5.211071538724354e-07
1867,2.4395083073613932e-06,2.426405742994575e-09,4.4354696981940833e-07
1868,2.6304828679712955e-06,2.469937032678615e-09,5.216507084071509e-07
1869,2.172677682210633e-06,3.906815315701806e-09,5.874873707512052e-07
1870,2.530435722292168e-06,3.4404292748035914e-09,4.1227810498867257e-07
1871,2.929320658040524e-06,4.248470908407853e-09,4.0254262501093763e-07
1872,2.7805666604763246e-06,2.4189357183956872e-09,4.668545834363158e-07
1873,2.182497212288581e-06,2.3944017324417644e-09,6.608549085740378e-07
1874,2.3121737626752292e-06,4.779687312606029e-09,4.8035858668527e-07
1875,2.1701752643821237e-06,3.4329162845736505e-09,6.247907720080548e-07
1876,2.0701554603874683e-06,3.02300739996042e-09,4.885180047153881e-07
1877,2.1721073721892026e-06,0.0,5.591073630739629e-07
1878,1.995918808006536e-06,1.8117265465633636e-09,3.629492262291478e-07
1879,2.135820125204191e-06,6.10932526790009e-09,6.042122429050778e-07
1880,1.8804288970386551e-06,6.417846254436199e-10,4.4026426593291035e-07
1881,1.9746141788345994e-06,3.486253785656146e-09,3.925521667724752e-07
1882,1.956683206572052e-06,3.9932310791357395e-09,4.712012824370504e-07
1883,2.0935970042046392e-06,1.2638677882037541e-09,4.4361758710920185e-07
1884,2.3878337742644362e-06,4.621187876807653e-09,5.162527116908677e-07
1885,1.8021996766037773e-06,2.578254332252783e-09,5.665713516123105e-07
1886,1.7934176526068768e-06,1.2906927748801422e-09,5.091783137345374e-07
1887,1.6270079754576727e-06,1.3057849246322917e-09,4.681238898740503e-07
1888,1.718940666251001e-06,3.804368819970705e-09,4.894954557244091e-07
1889,2.101326913361845e-06,1.2530273485467092e-09,4.348004765120095e-07
1890,1.9532071178218757e-06,2.621754646714436e-09,4.588070652289389e-07
1891,1.7898809119287762e-06,1.9122659011827636e-09,5.150369659645548e-07
1892,1.6166493423952488e-06,1.2537024751679837e-09,4.5133288750776046e-07
1893,1.9454437563126703e-06,4.310891532632866e-09,6.675723653870591e-07
1894,1.682510969658324e-06,3.780923574225881e-09,4.87739150401012e-07
1895,1.8079917367685994e-06,4.814891596538473e-09,4.7667427338637935e-07
