year,un_DET are_NOUN,un_DET dard_NOUN
1800,2.3266816917555388e-07,7.168694899917227e-07
1801,1.9287579511306774e-07,5.929144439864587e-07
1802,2.215461734067503e-07,5.415572843503469e-07
1803,2.788984960755414e-07,5.3439296499036e-07
1804,1.7797326279378467e-07,7.193086357659695e-07
1805,7.675769686521505e-08,3.638883394607717e-07
1806,1.2391176706927354e-07,3.861436628227466e-07
1807,9.679647661187119e-08,2.3629727152751911e-07
1808,1.6768947030953996e-07,4.1242545556485766e-07
1809,8.132509665692567e-08,3.298184685363026e-07
1810,7.254393041833396e-08,5.28868661753279e-07
1811,1.2033968266322859e-07,5.390215171985346e-07
1812,9.601949502169305e-08,5.014351334153844e-07
1813,1.6966876126289776e-07,5.176334856304976e-07
1814,7.237357690925705e-08,3.0522767247020965e-07
1815,9.170560133497929e-08,3.1827239110882033e-07
1816,9.965696534663948e-08,3.383701709935849e-07
1817,1.0275364747958093e-07,5.013132522435626e-07
1818,7.867977047659735e-08,3.075663788099092e-07
1819,4.761483052284632e-08,3.9230480641805343e-07
1820,5.814575754214957e-08,3.96340482211599e-07
1821,5.522433432769702e-08,3.5797202935228256e-07
1822,4.210758675071702e-08,3.2081969436603686e-07
1823,4.051901758561627e-08,3.221755902060863e-07
1824,5.3895122142932905e-08,3.78950076651563e-07
1825,4.6668849673636714e-08,3.7687296394750547e-07
1826,8.631824399696342e-08,3.523193754517706e-07
1827,7.558163994669798e-08,3.419608325394563e-07
1828,6.879225594724758e-08,3.237822356894071e-07
1829,4.372319883927389e-08,3.4464166409620134e-07
1830,8.975679155476257e-08,3.099740326639733e-07
1831,4.2096254482260065e-08,2.2139512623198243e-07
1832,1.3259370146290195e-07,2.624813930651726e-07
1833,8.571884757557768e-08,3.0001596496020966e-07
1834,7.747660801804557e-08,2.9030390802375905e-07
1835,7.109302657681837e-08,4.258018577729672e-07
1836,9.677879853065008e-08,3.232680835796309e-07
1837,7.86241648453867e-08,3.3676192301435037e-07
1838,6.690891618532646e-08,3.332821387758145e-07
1839,8.45968473051073e-08,3.2650189929483986e-07
1840,7.771020305025189e-08,3.5351773064462577e-07
1841,6.292137255670127e-08,3.8523291845393715e-07
1842,9.391570809924588e-08,3.193134099355177e-07
1843,7.265500523434554e-08,3.609122611880622e-07
1844,1.5971713107632013e-07,2.8485631986541193e-07
1845,1.2332303644946307e-07,3.063545221948516e-07
1846,1.176754762521881e-07,2.6813614795173635e-07
1847,9.384208876639377e-08,2.5024557626096566e-07
1848,1.3274615284775138e-07,2.502063898290885e-07
1849,1.6339858888159142e-07,2.505444993694539e-07
