year,son_DET essai_NOUN,son_DET décès_NOUN
1800,1.902219466387578e-06,1.0092767710467854e-06
1801,1.5263380177543695e-06,5.714838380299625e-07
1802,1.7029963146342197e-06,1.4904015301908657e-06
1803,1.7065468362886804e-06,1.7319012144412227e-06
1804,1.589400117296691e-06,2.239496851741407e-06
1805,1.7682699002818936e-06,2.760434224091668e-06
1806,1.7405281180771226e-06,3.187125945380842e-06
1807,1.2355785354856152e-06,5.002100227358142e-06
1808,1.6111786536043837e-06,4.937775246460774e-06
1809,1.5429178827908174e-06,4.669416284741601e-06
1810,1.9586860950937535e-06,4.6006893796857184e-06
1811,1.5393451509027045e-06,2.5973314308203044e-06
1812,2.34180878777579e-06,4.830313972803424e-06
1813,2.214321007443232e-06,3.4767715533234878e-06
1814,1.2649641902839903e-06,1.7873126125778072e-06
1815,1.45650075022985e-06,2.503023551980732e-06
1816,1.5435241351724471e-06,1.5388889593737076e-06
1817,1.3762761015279068e-06,8.407116549591365e-07
1818,1.447230931983512e-06,1.2421867121581442e-06
1819,1.5236745696256548e-06,2.176825810273897e-06
1820,1.4928033316152778e-06,1.3432856125206172e-06
1821,1.692231350602924e-06,2.107400008943827e-06
1822,1.3163633667545582e-06,2.4211862523770833e-06
1823,1.3638108153912754e-06,1.9508423637626393e-06
1824,1.2513773572919717e-06,2.8328622194706554e-06
1825,1.5964268449408792e-06,2.7939670692589402e-06
1826,1.2639457995788916e-06,3.827069340989198e-06
1827,1.6738568060503667e-06,4.386500358499745e-06
1828,1.50150576888608e-06,4.245858259199764e-06
1829,1.8209425682869096e-06,3.511572995940071e-06
1830,1.4642880969972794e-06,2.957799217995216e-06
1831,1.2379417944075044e-06,2.7830302808951046e-06
1832,1.4612367262856196e-06,2.85752961959318e-06
1833,1.3541261552063588e-06,2.3074587875981933e-06
1834,1.4925915579055982e-06,2.6995462896195477e-06
1835,1.1261437862231105e-06,2.1963206933151014e-06
1836,1.0927939655402952e-06,2.407372637236449e-06
1837,1.2586824524873919e-06,1.8361873719285882e-06
1838,1.072436289106804e-06,2.3310814807331326e-06
1839,1.2871305665740351e-06,2.4623975818371946e-06
1840,1.1255240046637027e-06,2.1484959500384093e-06
1841,1.4523281421929823e-06,2.8481553293602246e-06
1842,1.147784132626839e-06,2.531028338026431e-06
1843,1.4353794313137769e-06,2.0178009201288205e-06
1844,1.263466820944359e-06,2.1405388856976515e-06
1845,1.1517590596810123e-06,2.552954210699454e-06
1846,1.2786231327055475e-06,2.0449772755171125e-06
