year,bien_ADV écrire_VERB,bien_ADV ecrire_VERB,bien_ADV décrire_VERB
1800,1.1193226017169877e-06,0.0,1.603523855919775e-07
1801,1.1001063857651872e-06,2.3811825844433088e-09,1.0953439755212457e-07
1802,6.624006800848292e-07,0.0,8.951360541686881e-08
1803,7.567316320233886e-07,0.0,1.4042441875972145e-07
1804,9.714374598068787e-07,7.4155526164076946e-09,1.2606439270257397e-07
1805,1.1087222693273446e-06,2.842877711017877e-09,1.5635826855486812e-07
1806,1.1497859304654412e-06,2.881669125542885e-09,1.7290014397985942e-07
1807,6.206362179739244e-07,0.0,1.224190668835945e-07
1808,9.5401716126986e-07,0.0,1.6768947830314573e-07
1809,5.218360650260934e-07,1.129515236897305e-08,1.8072244145628247e-08
1810,1.064757693569618e-06,4.680253518074551e-09,4.212228077449254e-08
1811,7.420946963598851e-07,0.0,6.518399686683551e-08
1812,8.668426998426071e-07,0.0,2.0804223765935603e-07
1813,9.576219852647228e-07,0.0,1.581657897986588e-07
1814,3.55574505839229e-07,0.0,1.7621391634747852e-07
1815,6.122697726596016e-07,5.394447111228828e-09,1.6722786710943183e-07
1816,6.466114630399034e-07,0.0,2.1321955046005314e-07
1817,9.092140548228045e-07,1.556873407970727e-09,2.241897760768552e-07
1818,9.823049653689964e-07,0.0,8.940882878505363e-08
1819,8.280839983720867e-07,2.070210003424222e-09,9.419455437864599e-08
1820,7.926809342251318e-07,0.0,1.3053129066520341e-07
1821,1.0177055393967294e-06,9.86148829262845e-10,6.508582117703554e-08
1822,8.391440360355773e-07,1.0025615893027862e-09,1.223125138949399e-07
1823,5.731958152566108e-07,1.9765373782121287e-09,8.499110748516614e-08
1824,5.995832150773595e-07,8.421112696055388e-10,8.42111234078402e-08
1825,8.373976063680288e-07,3.522177216552791e-09,1.0742640199623565e-07
1826,5.399294140673305e-07,8.807984341885344e-10,1.039342123476672e-07
1827,6.86686847828355e-07,0.0,5.2538457140371975e-08
1828,5.503380956506376e-07,9.172301251858528e-10,7.429564163885516e-08
1829,6.584199194747953e-07,0.0,1.0802202154991392e-07
1830,5.541959966492982e-07,0.0,9.288783786587373e-08
1831,4.614997077823091e-07,0.0,6.236482619215167e-08
1832,6.047896503602601e-07,0.0,8.523880978827947e-08
1833,4.6102841011474993e-07,0.0,1.2394482951094687e-07
1834,4.816617935610168e-07,0.0,1.0734710542692483e-07
1835,4.0311259397185495e-07,7.563087933704082e-10,8.621920244422654e-08
1836,3.931638703491558e-07,0.0,7.325617445985699e-08
1837,3.993829471582444e-07,6.957890930081589e-10,8.279890550966229e-08
1838,4.368015900091393e-07,0.0,5.996553653631054e-08
1839,3.9921322159131023e-07,0.0,7.341049013120937e-08
1840,4.624393867835863e-07,6.369688665408546e-10,5.7327198987877637e-08
1841,4.269664879430479e-07,6.420548537278137e-10,6.163726595787011e-08
1842,4.4408713328891736e-07,6.708265054555795e-10,3.8237111255057243e-08
1843,4.441997067949899e-07,2.3627644285539873e-09,5.729703644874462e-08
1844,4.1109322701515794e-07,0.0,5.762989374602512e-08
1845,3.532284180707279e-07,5.580227946389016e-10,6.584669165476953e-08
1846,4.2503678798766487e-07,0.0,4.039605983052752e-08
1847,3.5433478462465473e-07,1.0786447290911383e-09,5.986478157637976e-08
1848,3.5881687465710854e-07,0.0,7.321151684891447e-08
1849,4.147810495069848e-07,5.02764896381791e-09,8.714591359648693e-08
1850,3.1433052782858795e-07,0.0,6.924776130290411e-08
1851,3.721326260475166e-07,0.0,7.739326690625603e-08
1852,3.2096989865948444e-07,0.0,8.854341615460726e-08
1853,4.3654822690086803e-07,2.388772735173461e-09,6.5094056367343e-08
1854,4.6345325754870714e-07,5.195664454227256e-10,5.0397943596180994e-08
