year,ton_DET oeil_NOUN,ton_DET deuil_NOUN
1800,4.087413785214267e-08,2.5153315874604232e-08
1801,2.143064325998978e-08,3.333655484993869e-08
1802,4.0281122437590966e-08,2.9091921760482364e-08
1803,3.1205427575287104e-08,9.751696339321825e-09
1804,2.4718509905596875e-08,2.7190360185613827e-08
1805,2.8428777332223376e-08,3.980028751016107e-08
1806,2.0171683878800195e-08,3.458002950651462e-08
1807,4.270432762965015e-08,1.9928686700865228e-08
1808,3.172503593162901e-08,6.118399653587403e-08
1809,1.3554183553310395e-08,3.840351947559384e-08
1810,7.020380277111826e-09,2.8081521108447305e-08
1811,0.0,5.766276700569506e-08
1812,1.8670458068470452e-08,1.8670457180292033e-08
1813,8.627224934443234e-09,3.738464116054274e-08
1814,9.440030979135372e-09,2.8320094269673746e-08
1815,8.091670666843243e-09,1.6183340889597275e-08
1816,1.3905623319487859e-08,9.270415546325239e-09
1817,4.826307620220405e-08,2.6466847935502358e-08
1818,4.768470951432846e-09,2.2650237241350624e-08
1819,1.035105001712111e-08,2.7947835379293906e-08
1820,1.4239777357261119e-08,3.322614716694261e-08
1821,4.2404399991369246e-08,2.1695273910715684e-08
1822,1.9048670196752937e-08,4.712039469723095e-08
1823,2.668325560506446e-08,2.2730179516372573e-08
1824,1.51580028528997e-08,3.3684450784221553e-08
1825,2.5535783931829314e-08,4.314667090277169e-08
1826,2.3781557612068127e-08,3.170874407487645e-08
1827,1.1982455028203276e-08,1.935627425009301e-08
1828,2.3847982533187206e-08,2.9351363339813474e-08
1829,7.715858452161939e-09,2.657684528006854e-08
1830,1.6698937344017395e-08,6.783943362620448e-08
1831,5.768746147438719e-08,2.8064171431196883e-08
1832,2.8412936226018815e-08,3.51779220197912e-08
1833,8.108540172635514e-09,8.456048661287241e-08
1834,1.0267984240641681e-08,3.547121707470069e-08
1835,1.8907719834260206e-08,3.025235173481633e-08
1836,6.720749956556915e-09,4.704525080612143e-08
1837,4.870523762079415e-09,1.948209416013924e-08
1838,8.837026665986514e-09,4.544756593283239e-08
1839,1.3283802724473048e-08,3.355908173574562e-08
1840,1.2739377108772487e-08,4.1402977046800515e-08
1841,5.778493683550323e-09,4.751206095221505e-08
1842,8.049918065466954e-09,3.01871936336795e-08
1843,7.678984337289307e-09,3.95763024574336e-08
1844,1.3721402902788782e-08,3.1833653935109396e-08
1845,3.9061596734946136e-09,3.5713458523822794e-08
1846,1.0538102612756006e-08,1.9905304293743598e-08
1847,3.775256551818984e-09,1.0786447290911383e-08
1848,4.022610855525244e-09,1.850401076808339e-08
1849,5.02764896381791e-09,3.603148401865042e-08
1850,2.0366988096043315e-09,3.666057679652113e-08
1851,5.159551008659946e-09,3.0312362842011e-08
1852,8.463709288974997e-09,3.711010965190553e-08
1853,2.9859659189668264e-09,2.5679306903114707e-08
1854,6.2347975116061605e-09,2.338048954442229e-08
1855,5.306937111981824e-09,4.9354515141430966e-08
1856,1.035437813268203e-08,3.727576336487459e-08
1857,7.81041464836818e-09,5.174399797525098e-08
1858,4.404308417971237e-09,4.942612719105455e-08
1859,3.5645213447565993e-09,3.87005190116696e-08
1860,6.865776031039772e-09,3.7532908503390416e-08
1861,6.602349278406194e-09,4.6688041432929595e-08
1862,9.035972914350765e-09,4.0210078933178295e-08
1863,6.99246927027275e-09,3.945750570721884e-08
1864,5.2742007428108195e-09,5.2262533856151094e-08
1865,4.236159978354692e-09,3.2947911288161436e-08
1866,8.271541951376804e-09,3.113992264047738e-08
1867,4.85281148598915e-09,3.105799351033056e-08
1868,4.93987406535723e-09,1.8277534152844055e-08
1869,4.8835191446272574e-09,3.320792973937614e-08
1870,1.0894692259455496e-08,1.777555125315189e-08
1871,3.18635318130589e-09,2.0180236148803488e-08
1872,7.2568073772316666e-09,3.6888769039400415e-08
1873,8.380406091301751e-09,2.095101514498765e-08
1874,5.377148226681783e-09,4.660195029870806e-08
1875,7.4379850611983045e-09,2.1169650032959453e-08
1876,1.0882827083946722e-08,2.116105224381215e-08
1877,6.184816214727107e-09,2.5976226614154996e-08
1878,9.058632732816818e-09,3.804625725578603e-08
1879,8.553055264037823e-09,2.443730062751115e-08
1880,1.0910338854586143e-08,4.7492063615095503e-08
1881,5.578006112560985e-09,4.811030351881129e-08
1882,1.0648615766939429e-08,3.5939080156310865e-08
1883,7.583206618200222e-09,2.7805091562527195e-08
1884,9.242375753615306e-09,2.9047467542397953e-08
1885,9.023889857573408e-09,3.867381448419138e-08
1886,6.4534639854230136e-09,1.936039140115753e-08
1887,8.487601954598745e-09,2.154545164501087e-08
1888,1.014498307583267e-08,2.789870556796359e-08
1889,3.7590820456401275e-09,4.698852595907965e-08
1890,5.243509015873116e-09,2.5562106653609362e-08
1891,5.736798147637501e-09,2.5496880606823424e-08
1892,1.3163876211308434e-08,3.196941200656056e-08
1893,4.310891532632866e-09,3.695049999308253e-08
1894,6.93169299736951e-09,1.8904618537263218e-08
1895,8.426060515986933e-09,2.1667011962378524e-08
1896,1.0024949537168482e-08,2.6536631114737474e-08
1897,1.3984112423592876e-08,3.7290966092839994e-08
