year,ton_DET are_NOUN,ton_DET dard_NOUN
1800,3.144164484325529e-09,0.0
1801,0.0,0.0
1802,2.2378401354217203e-09,1.5664880947952042e-08
1803,0.0,0.0
1804,0.0,0.0
1805,0.0,8.24434565060983e-08
1806,0.0,8.645007376628655e-09
1807,0.0,2.8469551160981155e-09
1808,2.2660739951163578e-09,5.891792298484688e-08
1809,0.0,0.0
1810,0.0,0.0
1811,0.0,0.0
1812,0.0,2.6672082320544632e-09
1813,5.751483289628823e-09,2.8757416448144113e-09
1814,0.0,0.0
1815,0.0,1.8880564667256294e-08
1816,0.0,2.3176038865813098e-09
1817,0.0,0.0
1818,0.0,0.0
1819,0.0,2.070210003424222e-09
1820,0.0,1.542642635854463e-08
1821,0.0,0.0
1822,0.0,2.0051231786055723e-09
1823,0.0,1.3835761869529506e-08
1824,0.0,5.726356633317664e-08
1825,0.0,7.044354433105582e-09
1826,0.0,0.0
1827,0.0,1.1982455028203276e-08
1828,0.0,5.503380751115117e-09
1829,8.57317605795771e-10,8.57317605795771e-10
1830,0.0,3.1310507520032616e-09
1831,0.0,1.5591206103948707e-09
1832,0.0,4.058990921151917e-09
1833,0.0,6.950177322551099e-09
1834,0.0,1.3068342852307069e-08
1835,0.0,3.781543966852041e-09
1836,0.0,8.736974699274924e-09
1837,6.957890930081589e-10,8.349468672008697e-09
1838,6.312161904276081e-10,8.837027110075724e-09
1839,6.9914751765765e-10,4.894032734625853e-09
1840,1.9109065441114126e-09,3.1848443882154243e-09
1841,1.2841097074556274e-09,1.1556987367100646e-08
1842,6.708265054555795e-10,2.817471411731276e-08
1843,5.906911071384968e-10,2.953455480181333e-09
1844,1.097712254427563e-09,1.6465684371524958e-09
1845,0.0,5.022205318283568e-09
1846,5.854501328173001e-10,4.0981511517657054e-09
1847,1.0786447290911383e-09,6.47186837454683e-09
1848,0.0,1.6090443422100975e-09
1849,8.379414939696517e-10,1.8434713311421547e-08
1850,1.3577992064028876e-09,6.788996032014438e-09
1851,6.449438760824933e-10,5.159551008659946e-09
1852,6.510545436100301e-10,5.859490670445666e-09
1853,0.0,5.971931837933653e-09
1854,0.0,2.0782658372020535e-09
1855,0.0,1.1144567935161831e-08
1856,1.0354378465748937e-09,5.177189066341015e-09
1857,1.4644527812635033e-09,1.025116885822186e-08
1858,0.0,2.4468380654951716e-09
1859,0.0,3.055304009791371e-09
1860,4.577183909670879e-10,4.119465657481669e-09
1861,0.0,2.357981809808507e-09
1862,4.517986262886353e-10,8.584174260306554e-09
1863,0.0,4.495158911765884e-09
1864,0.0,2.8768367688059016e-09
1865,9.41368871743009e-10,1.882737743486018e-09
1866,9.731225825149181e-10,1.0217787504984699e-08
1867,4.85281148598915e-10,4.367530337390235e-09
1868,0.0,2.9639244392143382e-09
1869,4.883519144627257e-10,4.883519366671862e-09
1870,0.0,9.17447806614291e-09
1871,0.0,1.0621177271019633e-09
1872,0.0,5.442605477412599e-09
1873,0.0,1.3169209278629523e-08
1874,0.0,5.974609140757536e-10
1875,0.0,2.2886108563824337e-09
1876,0.0,1.813804439976252e-09
1877,0.0,1.2369631985365004e-09
1878,0.0,7.850815109122777e-09
1879,0.0,1.2829582729523281e-08
1880,0.0,1.9253539207397807e-08
1881,0.0,2.7890030285249168e-09
1882,0.0,1.1979693237407218e-08
1883,0.0,6.319338829996468e-09
1884,0.0,3.9610181801208455e-09
1885,0.0,5.1565086089944145e-09
1886,0.0,8.389503092232076e-09
1887,0.0,6.528924623161458e-10
1888,0.0,2.53624587998047e-09
1889,0.0,3.759081934617825e-09
1890,0.0,3.9326319978272295e-09
1891,0.0,5.736798147637501e-09
1892,0.0,2.5074049503359674e-09
1893,0.0,3.695050043717174e-09
1894,0.0,6.301539290376468e-10
1895,0.0,1.2037228991346183e-09
1896,5.89702897624278e-10,2.358811590497112e-09
1897,0.0,5.2440420894583895e-09
1898,5.6583548957434e-10,2.8291773368493978e-09
1899,0.0,1.6582735185011188e-09
1900,0.0,2.595526460424935e-09
