year,son_DET art_NOUN,son_DET dard_NOUN
1800,9.429349617562366e-06,2.9555145752979683e-07
1801,7.50072515387501e-06,1.7620750725200196e-07
1802,7.210320831063655e-06,1.767893706983159e-07
1803,8.257735927941212e-06,2.1063664124021386e-07
1804,1.0690754919551182e-05,3.73249494423078e-07
1805,8.852721435914646e-06,2.302730877090653e-07
1806,1.11376510858463e-05,2.4206021631556496e-07
1807,9.856158271759341e-06,2.135216305987342e-07
1808,1.0473793537357778e-05,3.580396819025111e-07
1809,6.71383854466967e-06,1.942766312268418e-07
1810,1.107114007936616e-05,3.018763585771467e-07
1811,1.0111040367632995e-05,2.7076430120231976e-07
1812,1.167170358939984e-05,3.2273219119360874e-07
1813,1.2216150807375925e-05,2.1855636100909237e-07
1814,8.367014821430985e-06,2.3914746449804625e-07
1815,6.446364160694884e-06,1.3755840111429052e-07
1816,6.21117844445962e-06,1.321034233114915e-07
1817,7.809276809211951e-06,1.2766362544880394e-07
1818,6.792686932044489e-06,7.391130196765516e-08
1819,6.90000979375327e-06,1.438795891317568e-07
1820,7.226686776107272e-06,9.255855015766201e-08
1821,8.19785518046956e-06,1.676452983101484e-07
1822,9.42808900106229e-06,1.6843034700286807e-07
1823,9.079224390973195e-06,9.388552779654447e-08
1824,7.807213421529013e-06,2.80423051890466e-07
1825,8.221642104899729e-06,1.4793143909841433e-07
1826,5.538460349896468e-06,8.367585024871005e-08
1827,6.381118240028627e-06,1.0507690961780725e-07
1828,5.922554905168909e-06,9.447470228352017e-08
1829,7.336066886409753e-06,9.944884160617562e-08
1830,6.041884375918016e-06,1.7012041708674985e-07
1831,5.023486412625289e-06,9.978371706687028e-08
1832,6.815045551888943e-06,9.065079353831607e-08
1833,5.871741173280043e-06,1.7143770714156403e-07
1834,6.677923273912256e-06,1.792229999963979e-07
1835,5.631475460177171e-06,1.936150511028245e-07
1836,5.702556514108892e-06,1.7272327779149776e-07
1837,5.507170861562827e-06,1.6211886322281543e-07
1838,5.211321052911444e-06,1.5022945065723547e-07
1839,5.649112125638567e-06,9.438491632707269e-08
1840,5.762020578004012e-06,1.254828703167732e-07
1841,6.236920846447447e-06,1.9069028667217935e-07
1842,6.659965528399425e-06,1.207487656529338e-07
1843,6.385370959094416e-06,1.459007022419634e-07
1844,5.765184795336609e-06,1.1855292236795378e-07
1845,6.1577816836688726e-06,1.3280942889881686e-07
1846,5.876748318200953e-06,1.1065007599064813e-07
1847,6.598069873575696e-06,1.1865092197638205e-07
1848,5.613955785577218e-06,1.158511894749914e-07
1849,5.803582666885632e-06,1.0474268918869711e-07
1850,6.237050776292108e-06,1.194863292752757e-07
1851,6.2759488415053966e-06,1.1286517564990106e-07
1852,7.018367981004303e-06,1.7383156447614567e-07
1853,6.4514780149238504e-06,1.6542251635165428e-07
1854,7.134686221377251e-06,1.1742201844189282e-07
1855,7.226456276043791e-06,1.326734277995456e-07
1856,6.2949444412652156e-06,1.703295271493488e-07
1857,5.937867442185052e-06,1.9135516327040136e-07
1858,5.853325752980254e-06,1.1891632378802086e-07
1859,6.4568756812377615e-06,1.3443337754104334e-07
1860,5.873442340487145e-06,1.533356643323991e-07
1861,6.493881883784525e-06,1.2355825074195081e-07
1862,6.149883049033633e-06,1.1972663577219933e-07
1863,5.916128564820156e-06,1.5083755156020118e-07
1864,5.62517487878722e-06,1.5439023393071238e-07
1865,5.3799230030904255e-06,1.7038776034539183e-07
1866,5.481112914651476e-06,1.610517870176409e-07
1867,5.431266757227604e-06,1.305406360785355e-07
1868,5.46893436847995e-06,1.5313609291744967e-07
1869,5.303990327831798e-06,1.1573940472686672e-07
1870,6.145180030614483e-06,1.0722671506258052e-07
1871,3.7970707928991487e-06,1.136465981321777e-07
1872,4.80158755777893e-06,1.0885210410815915e-07
1873,4.779824685385847e-06,8.679706553493816e-08
1874,4.348320700842123e-06,1.0037343223245898e-07
1875,4.67391539871187e-06,1.0069887923513932e-07
1876,5.509128506275829e-06,8.585340993683133e-08
1877,4.843329499237825e-06,6.741449709579683e-08
1878,5.6568143733670695e-06,1.0387232540765012e-07
1879,4.589325207859929e-06,1.4295820782717072e-07
1880,6.126475867063164e-06,9.947661983034095e-08
1881,4.803360489802344e-06,1.1086286799688594e-07
1882,5.152599115376688e-06,1.5773263339902144e-07
1883,5.379021359885883e-06,1.1627583962336985e-07
1884,4.862809916517108e-06,1.010059653694384e-07
1885,5.103654487470521e-06,1.0377473286249383e-07
1886,5.762943146692123e-06,9.680196100259053e-08
1887,5.4046438009436315e-06,9.40165168494822e-08
1888,5.2012063491702065e-06,5.833365590568462e-08
1889,5.148689368184023e-06,7.330209683686917e-08
1890,4.943973564763837e-06,7.865263695894242e-08
1891,5.016511224198439e-06,6.437961985739094e-08
1892,4.984093976645454e-06,6.331197255349252e-08
1893,5.550580709723363e-06,7.328515760907095e-08
1894,5.77536093260278e-06,7.183754524575647e-08
1895,5.7200912664256975e-06,6.560289733670288e-08
1896,5.602177495234173e-06,6.899523874448477e-08
1897,5.206168452787097e-06,6.584186351688004e-08
