year,en_ADP yeux_NOUN,en_ADP dieux_NOUN
1800,3.144164484325529e-09,1.949382024690749e-07
1801,1.6668277424969347e-08,3.095537337571841e-08
1802,4.475680270843441e-09,2.0588129245879827e-07
1803,7.801356893821776e-09,8.38645872747179e-08
1804,0.0,1.0134588634969077e-07
1805,2.842877711017877e-09,3.980028839833949e-08
1806,2.881669125542885e-09,7.20417272503937e-08
1807,5.693910232196231e-09,2.8469551605070365e-08
1808,4.5321479902327155e-09,4.305540635130001e-08
1809,0.0,6.325285450969886e-08
1810,0.0,8.190443523403701e-08
1811,0.0,4.7634459932055506e-08
1812,2.6672082320544632e-09,1.173571586576827e-07
1813,2.8757416448144113e-09,4.601186631703058e-08
1814,0.0,5.034683248084093e-08
1815,0.0,4.585280044544504e-08
1816,0.0,3.9399266071882266e-08
1817,1.0898113522728181e-08,1.1676550437655919e-07
1818,1.1921177378582115e-09,1.1444329972576384e-07
1819,1.035105001712111e-09,1.656168056030083e-07
1820,5.933240565525466e-09,6.645229522206364e-08
1821,3.94459531705138e-09,8.283649843843222e-08
1822,1.0025615893027862e-09,8.421517350143404e-08
1823,3.854247765389118e-08,4.348382209862223e-08
1824,3.2000230021367315e-08,1.1705346469881306e-07
1825,7.044354433105582e-09,7.748790253891968e-08
1826,8.807984341885344e-10,6.077509340229881e-08
1827,5.530363722527909e-09,7.00512734486125e-08
1828,1.8344602503717056e-09,7.06267186956211e-08
1829,2.571952872898464e-09,8.744639884428196e-08
1830,1.1480519646056564e-08,6.679575115242642e-08
1831,3.1182412207897414e-09,1.07579318786577e-07
1832,1.6235963684607668e-08,5.411987658021644e-08
1833,0.0,7.297686066554121e-08
1834,4.667265685043276e-09,6.067444968671509e-08
1835,3.781543966852041e-09,5.218530674255817e-08
1836,7.392825018825988e-09,4.166865003041309e-08
1837,7.653680356156656e-09,5.287996962533015e-08
1838,4.418513555037862e-09,7.763959430917566e-08
1839,6.9914751765765e-10,5.313521067584759e-08
1840,2.5478754661634184e-09,5.032054128939478e-08
1841,0.0,6.22793194793303e-08
1842,1.0733224087289273e-08,7.915752942011522e-08
1843,3.544146642830981e-09,6.143187558649288e-08
1844,8.232841963717874e-09,3.0735944012150185e-08
1845,2.790113973194508e-09,6.47306473422482e-08
1846,2.9272506640865004e-09,5.2690512397646216e-08
1847,1.0786447290911383e-09,7.712309813001639e-08
1848,1.6090443422100975e-09,6.918890393947663e-08
1849,4.1897072478036534e-09,3.7707368116812745e-08
1850,6.788996032014438e-09,3.4623880651452055e-08
1851,2.579775504329973e-09,4.514607288008676e-08
1852,7.812654523320361e-09,6.445439670876851e-08
1853,6.569124799682413e-09,6.688563880530296e-08
1854,3.63696517347023e-09,4.364358119346434e-08
1855,1.0613874223963649e-08,1.2471302568428655e-07
1856,6.73034605824796e-09,3.624032318683135e-08
1857,5.857811125054013e-09,5.6137356152508033e-08
1858,1.468102750479261e-09,6.166031862875343e-08
1859,4.582956236731661e-09,5.4995473508512305e-08
1860,7.323494255473406e-09,5.584164219918364e-08
1861,1.0375119985361891e-08,4.150048182882671e-08
1862,4.066187830886747e-09,5.783022422045647e-08
1863,4.994620828036034e-09,8.440908916274026e-08
1864,6.233146443435089e-09,6.6646717478136e-08
1865,4.23615986733239e-09,3.106517221240779e-08
1866,4.379051787850585e-09,6.130672280946214e-08
1867,4.367530337390235e-09,4.416058452250127e-08
1868,1.975949626142892e-09,5.038671413437612e-08
1869,4.395167341186834e-09,4.688178378842167e-08
1870,3.4404292748035914e-09,8.658413763740214e-08
1871,0.0,4.248470997225695e-08
1872,5.442605477412599e-09,5.200711683528425e-08
1873,7.781805422268917e-09,5.9261443641212e-08
1874,5.974609251779839e-09,6.930546803118887e-08
1875,5.149374260327022e-09,5.893173060655954e-08
1876,3.627608879952504e-09,5.5018734235190436e-08
1877,9.27722432209066e-09,6.926993600941955e-08
1878,4.22736201599605e-09,5.857916107743222e-08
1879,1.4051447783103299e-08,7.147910618954256e-08
1880,1.9253538763308597e-09,5.583526374586256e-08
1881,9.761510710859511e-09,4.2532294630692746e-08
1882,9.983077475794744e-09,5.923292789589141e-08
1883,1.4534479675365475e-08,2.5909288936531993e-08
