year,en_ADP are_NOUN,en_ADP dard_NOUN
1800,5.65949598296811e-08,1.8864987794131594e-08
1801,5.9529563944948904e-08,2.3811825400343878e-08
1802,6.713520406265161e-09,3.8043282302169246e-08
1803,4.4857801695386e-08,0.0
1804,2.719036085174764e-08,0.0
1805,8.528633133053631e-09,5.685755510853596e-08
1806,2.881669125542885e-08,1.4408345627714425e-08
1807,1.1387820464392462e-08,2.8469551160981155e-09
1808,5.211970233176544e-08,9.064295980465431e-09
1809,1.355418288717658e-08,2.259030518203531e-09
1810,5.8503168531842675e-08,4.680253518074551e-09
1811,1.7549536934780008e-08,0.0
1812,3.467370746079723e-08,3.467370746079723e-08
1813,1.150296680130225e-08,0.0
1814,1.2586708564299443e-08,3.1466771410748606e-09
1815,2.9669458667669346e-08,0.0
1816,1.1819780176836048e-07,3.9399267848239106e-08
1817,2.8023721343473085e-08,1.556873407970727e-09
1818,1.9073883805731384e-08,0.0
1819,5.175525008560555e-08,0.0
1820,1.542642635854463e-08,4.746592452420373e-09
1821,3.94459531705138e-09,9.86148829262845e-10
1822,1.303330066093622e-08,0.0
1823,3.162459771832715e-08,0.0
1824,1.0105335235266466e-08,5.894778887238772e-09
1825,1.0566531427613768e-08,0.0
1826,1.0569580766173203e-08,4.403992281964975e-09
1827,3.2260455640198415e-08,7.373818444733615e-09
1828,1.1923991571904935e-08,2.7516904310687096e-09
1829,1.0287811491593857e-08,1.1145129263923081e-08
1830,1.2524202563923836e-08,7.305785310052215e-09
1831,1.4032085715598441e-08,1.4032085715598441e-08
1832,1.3529969256076413e-08,4.058990921151917e-09
1833,9.266902800675325e-09,4.6334514003376626e-09
1834,1.773560875939495e-08,0.0
1835,1.5882484660778573e-08,1.663879345414898e-08
1836,7.392825018825988e-09,3.36037508930076e-09
1837,1.3219993100221927e-08,2.7831563720326358e-09
1838,8.2058102535143e-09,1.0730675015224733e-08
1839,1.3982950020086093e-08,5.5931801412612e-09
1840,2.611572358368619e-08,1.9109065441114126e-09
1841,2.3756030032018316e-08,2.5682194149112547e-09
1842,1.341653010911159e-08,0.0
1843,1.1223130869097986e-08,1.2995204023980023e-08
1844,1.152597856046711e-08,4.9397050894128824e-09
1845,1.1718478631905782e-08,5.580227946389016e-10
1846,7.025401593807601e-09,2.9272506640865004e-09
1847,9.707802561820245e-09,8.629157832729106e-09
1848,2.735375304041554e-08,8.84974404868899e-09
1849,1.3407064125559032e-08,0.0
1850,3.4623880651452055e-08,1.6293590476834652e-08
1851,1.3543821175687754e-08,6.449438760824933e-10
1852,2.7344290387532055e-08,5.859490670445666e-09
1853,4.478948767427937e-08,2.9859659189668264e-09
1854,1.2989161413123895e-08,1.558699391779328e-09
1855,2.4942604426314574e-08,6.368324534378189e-09
1856,1.6049286344355096e-08,6.212626857404757e-09
1857,2.0990488902583593e-08,3.905207268672939e-09
1858,2.6425850618849722e-08,6.8511463169329545e-09
1859,1.680417205385254e-08,1.0693564256314403e-08
1860,1.5562426014525954e-08,4.119465657481669e-09
1861,2.075024119196911e-08,1.3204698667834691e-08
1862,2.25899317307654e-08,2.2589932147099034e-09
1863,1.498386242859695e-08,2.4973103585068657e-09
1864,2.1096803859421698e-08,1.0548401263577034e-08
1865,1.1767110841276462e-08,2.3534221238463715e-09
1866,2.578774882522339e-08,1.0217787504984699e-08
1867,2.6690463172940326e-08,1.455843445796745e-09
