year,on_PRON irait_VERB,on_PRON dirait_VERB
1800,1.1633408902866904e-07,4.059116349708347e-06
1801,8.572257303995912e-08,3.2574578199273674e-06
1802,1.3650824826072494e-07,2.1169968249523663e-06
1803,6.631153581793114e-08,2.381364197390212e-06
1804,1.6067031616273653e-07,3.4259853691764874e-06
1805,6.538618890772341e-08,2.0724579030684254e-06
1806,1.4696512096179504e-07,2.665543888724642e-06
1807,1.7366425675291453e-07,3.6497964401860372e-06
1808,1.2916621905390002e-07,2.413368747511413e-06
1809,1.9201759027254184e-07,2.957070933007344e-06
1810,1.895502714788222e-07,2.6771049306262285e-06
1811,1.2535384108502967e-07,2.797897764139634e-06
1812,1.5736528524712412e-07,4.0061466961560654e-06
1813,1.2653262615458516e-07,5.0124176596000325e-06
1814,2.9264096923498073e-07,3.2725441769798636e-06
1815,1.1867783378249896e-07,3.1476598678636947e-06
1816,8.806894946644661e-08,2.711596607696265e-06
1817,1.4945985071790346e-07,3.966913595832011e-06
1818,1.2159600704109153e-07,4.776815785589861e-06
1819,1.2524770554023235e-07,4.504777052716236e-06
1820,1.4121112457132767e-07,5.000535111321369e-06
1821,1.962436186886407e-07,5.086555574962404e-06
1822,1.8948414037822658e-07,4.9446337015979225e-06
1823,1.3341627003171652e-07,4.111197654310672e-06
1824,1.4315891672112002e-07,4.3975051084998995e-06
1825,1.6994505536160887e-07,5.815995109514915e-06
1826,1.6382851164564727e-07,4.724602831629454e-06
1827,2.4057082281814246e-07,5.310992719387286e-06
1828,2.54989984682652e-07,5.179598474569502e-06
1829,2.794855333831947e-07,6.229269729374209e-06
1830,3.0266824779801027e-07,7.819277243470424e-06
1831,2.9623291197822255e-07,7.22028767086158e-06
1832,2.2595048321250033e-07,7.966445991769433e-06
1833,2.536814633913309e-07,8.125915428536246e-06
1834,2.8096939175270563e-07,7.461090717697516e-06
1835,2.140353956292529e-07,7.777879773129825e-06
1836,2.029666443803535e-07,7.518503025494283e-06
1837,3.0753878732525664e-07,7.085916195137543e-06
1838,2.3291877049302911e-07,7.328419769692118e-06
1839,3.076249157629718e-07,7.4759846029337496e-06
1840,3.293129093862035e-07,7.848730547266314e-06
1841,2.8186209277691887e-07,9.064530559044215e-06
1842,2.5826820504448733e-07,8.748248319534468e-06
1843,2.6462962310347393e-07,9.39553274292848e-06
1844,2.2283558109847945e-07,8.809141036181245e-06
1845,3.130507995052767e-07,8.839081147016259e-06
1846,2.775033660640247e-07,8.00720135885058e-06
1847,2.7613305775275876e-07,7.308357453439385e-06
1848,3.025003394441228e-07,8.261637958639767e-06
1849,2.8322422451765306e-07,8.36349408928072e-06
1850,2.423671645601644e-07,8.465199471174856e-06
1851,3.0376857651503997e-07,8.222389396905783e-06
1852,2.2005643884881465e-07,8.634936193629983e-06
1853,2.502239411228402e-07,8.775156857154798e-06
1854,2.7900718890805365e-07,8.86172529135365e-06
1855,2.557943723502376e-07,8.99950418897788e-06
1856,2.785327719578845e-07,8.990189144242322e-06
1857,3.39264886406454e-07,9.012730515678413e-06
1858,3.220038742313136e-07,9.09293976292247e-06
1859,3.3455579995234075e-07,1.0483766800462035e-05
1860,2.6089948690355413e-07,1.0132054285350023e-05
1861,2.8201463209143185e-07,1.0332676538382657e-05
1862,3.6189068808312186e-07,9.569998383085476e-06
1863,2.7070845476373506e-07,9.372405656904448e-06
1864,2.86245253278139e-07,9.645074896980077e-06
1865,3.214774615400984e-07,9.854249128693482e-06
1866,2.549581097355258e-07,9.774043064680882e-06
1867,3.4454960484708863e-07,1.01234500107239e-05
1868,2.914525758512809e-07,9.061704986379482e-06
1869,2.8910434224371784e-07,9.893033166008536e-06
1870,3.1537267375369993e-07,9.22493745747488e-06
1871,3.112004876015817e-07,8.639265161036747e-06
1872,2.836202170897195e-07,9.037143627210753e-06
1873,2.8014500585982205e-07,8.257094805230736e-06
1874,2.670650225411464e-07,8.378791790164541e-06
1875,3.3699794954600293e-07,8.930159765441203e-06
1876,2.7146605674488455e-07,9.364672223455273e-06
1877,2.9006786661511796e-07,8.768213319854112e-06
1878,2.530378218068563e-07,8.615364095021505e-06
1879,3.2012864537023233e-07,8.40643133415142e-06
1880,2.7596738760848893e-07,8.683346095494926e-06
1881,2.963315779425102e-07,8.357944579984178e-06
1882,2.841849457979606e-07,8.873625120031647e-06
1883,2.426626153351208e-07,8.644855824968545e-06
1884,2.40961931297079e-07,9.027820397022879e-06
1885,2.932764218144257e-07,8.12536836747313e-06
1886,2.9685934066492337e-07,8.617955700174207e-06
1887,2.5658673763473416e-07,8.507841812388506e-06
1888,2.441136608410943e-07,8.396876182814594e-06
1889,2.4496684858377193e-07,8.628972864244133e-06
1890,2.7790598977617265e-07,8.21133562567411e-06
1891,3.0277545448598175e-07,7.872161631894414e-06
1892,2.225321935611646e-07,7.937190275697503e-06
1893,2.740495332886894e-07,8.268290002888534e-06
1894,2.96172338209999e-07,8.326854185725097e-06
1895,2.6782834083860507e-07,7.897024261183105e-06
1896,2.889544106210451e-07,7.800589855833095e-06
1897,2.831782808243588e-07,7.850914016671595e-06
1898,2.6085016102683767e-07,7.560128096884e-06
1899,2.9019787461948e-07,7.777855671520228e-06
1900,2.72011181579046e-07,7.217121265057358e-06
1901,2.978797759567442e-07,7.164204362197779e-06
1902,2.3716670938256357e-07,6.6765130668500206e-06
1903,2.975521340431442e-07,7.905922302597901e-06
1904,2.4185813174426585e-07,7.239620117616141e-06
1905,2.7042377936936646e-07,7.194098088803003e-06
1906,2.4743527049508884e-07,7.687469178563333e-06
1907,2.699992798227413e-07,7.0374667302530725e-06
1908,2.902630953371954e-07,7.801250376360258e-06
1909,2.8275056251914066e-07,7.612811259605223e-06
1910,2.5010625392951624e-07,8.755322141951183e-06
1911,2.356925783431052e-07,7.646973699593218e-06
1912,2.729736756634793e-07,7.916236654637032e-06
1913,2.1901347224684287e-07,7.806000667187618e-06
1914,2.5715495155509416e-07,7.816439392627217e-06
1915,2.638890670425553e-07,7.650426596228499e-06
1916,2.626003414718525e-07,8.825129498291062e-06
1917,2.884169703065709e-07,9.14599831958185e-06
1918,2.929026052811423e-07,8.610187705926364e-06
1919,2.8728486967111166e-07,8.255756711150752e-06
1920,2.779009022901846e-07,8.531633284292184e-06
1921,2.726189016755143e-07,8.251265626313398e-06
1922,2.751970029635231e-07,9.039446922542993e-06
1923,3.0998567979168e-07,8.77726597536821e-06
1924,2.2302509705696139e-07,8.7276298472716e-06
1925,2.5515772961171024e-07,8.877729214873398e-06
1926,2.94258050814733e-07,8.779813470027875e-06
1927,3.166379727304047e-07,9.748882348503685e-06
1928,2.5822853189083617e-07,8.026794148463523e-06
1929,2.2615025585537296e-07,7.996583690328407e-06
1930,2.499857671978134e-07,7.86509826866677e-06
1931,1.916099847676378e-07,7.41006033422309e-06
1932,2.81660099687997e-07,6.6842212618212216e-06
1933,2.053248557842835e-07,7.086575124048977e-06
1934,2.3603712406838895e-07,7.033187557681231e-06
1935,3.147658702573608e-07,7.4658155426732264e-06
1936,2.0733261507643874e-07,7.288165988938999e-06
1937,2.1278989947859372e-07,6.776539748898358e-06
1938,2.242982048983322e-07,7.40054429115844e-06
1939,2.0646968224014017e-07,7.279968258444569e-06
1940,1.901837194395739e-07,5.58125816496613e-06
1941,2.1841119490773053e-07,6.877000942040468e-06
1942,2.39702728777047e-07,7.84343751547567e-06
1943,2.0903294029039898e-07,9.17422312340932e-06
1944,2.6026807375956196e-07,8.460319349978818e-06
1945,2.483494654370588e-07,8.97761492524296e-06
1946,2.5893253763342727e-07,8.65892684487335e-06
1947,2.2411237310393517e-07,9.06939885680913e-06
1948,2.3265840809472138e-07,8.256111414084444e-06
1949,2.0713886783596536e-07,6.924917670403374e-06
1950,2.0313540005645336e-07,7.435181260007084e-06
1951,2.526752211906569e-07,7.417137112497585e-06
1952,2.0456919358480263e-07,6.9616796736227116e-06
1953,2.650361565770254e-07,6.878011390654137e-06
1954,2.1890481249897675e-07,8.053546935116174e-06
1955,2.0085200702624206e-07,7.084256822054158e-06
1956,1.944814513876736e-07,7.425180001519038e-06
1957,1.926038279975728e-07,6.441626055675442e-06
1958,2.33277262395859e-07,6.5425174398114905e-06
1959,1.891182499491606e-07,6.748576197423972e-06
1960,2.2907958907580905e-07,7.2827929216146e-06
1961,1.910743812061355e-07,7.500537776650162e-06
1962,2.619227963407411e-07,7.453067155438475e-06
1963,2.418303850504344e-07,7.219995040941285e-06
1964,2.3058240117279638e-07,7.296503326870152e-06
1965,2.0739044970241594e-07,7.121317139535677e-06
1966,2.47596645408521e-07,7.157038680816186e-06
1967,2.1989296072888465e-07,7.170679964474402e-06
1968,2.60502119431294e-07,8.129462912620511e-06
1969,2.3299217488670365e-07,6.546489657921484e-06
1970,2.0326364236211703e-07,6.578476131835487e-06
1971,2.250618038601715e-07,7.076087058521807e-06
1972,1.980236703502669e-07,6.623532499361318e-06
1973,1.935134470443245e-07,6.325298727460904e-06
1974,1.7270505026090177e-07,5.870283985132119e-06
1975,1.7248670403091637e-07,5.827423137816368e-06
1976,1.6112145928559585e-07,6.035198566678446e-06
1977,1.892323773233784e-07,5.883833864572807e-06
1978,1.9782168791948607e-07,6.079601234887377e-06
1979,2.2296018542533602e-07,6.815793540226878e-06
1980,1.9500066628097557e-07,6.130297833806253e-06
1981,1.9482691726580015e-07,6.55643202662759e-06
1982,2.1477957545812387e-07,6.741347533534281e-06
1983,1.5788289431384328e-07,6.715707286275574e-06
1984,2.2964073309594824e-07,6.409644129234948e-06
1985,1.906931927919686e-07,6.401756763807498e-06
1986,1.8702793980196475e-07,6.636494845224661e-06
1987,1.894353189868525e-07,6.293530077527976e-06
1988,1.882917892714886e-07,6.451092758652521e-06
1989,2.0196289796103883e-07,6.669165941275423e-06
1990,2.0977306647296246e-07,6.505144256152562e-06
1991,1.7643010608026088e-07,6.570702453245758e-06
1992,1.686042949700095e-07,6.392637033059145e-06
1993,1.8002424084784252e-07,6.740107664882089e-06
1994,1.8567741832953288e-07,6.600515689569875e-06
1995,1.7568740773299396e-07,6.541644552271464e-06
1996,1.585413329507901e-07,6.3790203057578765e-06
1997,1.697392626454075e-07,6.313437552307732e-06
1998,1.892947345538687e-07,6.370697292368277e-06
1999,1.7366764026860437e-07,6.38639903627336e-06
2000,1.6788519729971085e-07,6.5422209445387125e-06
2001,1.590379881122317e-07,6.319021622402943e-06
2002,1.8357318154471614e-07,6.937664238648722e-06
2003,1.695937648094059e-07,7.070851552271051e-06
2004,1.6694159299390776e-07,6.701890015392564e-06
2005,1.7519586492653616e-07,6.576825398951769e-06
2006,1.9601155898385514e-07,7.529149797846912e-06
2007,1.7455875678251687e-07,9.025526651385007e-06
2008,2.1627793955758534e-07,9.80999220701051e-06
2009,1.8500587728453866e-07,1.0578712135611568e-05
2010,2.1446020070925442e-07,1.3549255527323112e-05
2011,2.3211510580267714e-07,1.5078686374181416e-05
2012,2.9106360699415745e-07,1.8132071545551298e-05
2013,2.881166238921651e-07,1.9584957044571638e-05
2014,3.521013809404394e-07,2.07116172532551e-05
2015,3.1519702758942003e-07,2.0433722056623083e-05
2016,3.1277235734705755e-07,2.1529922378249466e-05
2017,2.6112046214166185e-07,2.1789973288832698e-05
2018,3.064200981839349e-07,2.3884504116722383e-05
2019,2.923431949852784e-07,2.2509405425807927e-05
