year,on_PRON eût_VERB,on_PRON dut_VERB
1800,1.0073903126794903e-05,9.872676400846103e-07
1801,1.0205749049418955e-05,9.667601119645042e-07
1802,8.799187412478204e-06,8.280008501060365e-07
1803,8.801880881037505e-06,7.196751425908587e-07
1804,9.55370398969535e-06,6.327938137928868e-07
1805,8.963593700173078e-06,1.0859792780593125e-06
1806,8.87554108430777e-06,7.088906102126202e-07
1807,1.0004200589719403e-05,8.882499713536163e-07
1808,9.134544143307721e-06,7.002168871395043e-07
1809,9.225880603480618e-06,9.26202517348429e-07
1810,8.871420732248225e-06,7.394800860538453e-07
1811,8.200648267120414e-06,8.423777728694404e-07
1812,8.495058295920899e-06,7.041429626042373e-07
1813,9.596350082574645e-06,1.0784031019284157e-06
1814,1.0802542419696692e-05,7.142957372252567e-07
1815,9.221807545145566e-06,9.170560275606476e-07
1816,8.649297683405166e-06,8.760542868913035e-07
1817,1.0502668374101631e-05,1.019752062347834e-06
1818,1.080177912626823e-05,1.254107871773158e-06
1819,1.1429629239501082e-05,8.022063440193961e-07
1820,1.2093131090296083e-05,1.1332489293636172e-06
1821,1.071845144906547e-05,1.1133620034797787e-06
1822,1.0879798082896741e-05,1.0847716112039052e-06
1823,1.2530259027698776e-05,1.085119009758273e-06
1824,1.1527661399668432e-05,1.0374810699431691e-06
1825,1.189439240079082e-05,1.1860931721230372e-06
1826,1.0186434224124241e-05,9.213151770381955e-07
1827,1.063304648596386e-05,9.235707807420113e-07
1828,1.0629780035742442e-05,9.39243662401168e-07
1829,1.1411754940127139e-05,1.0973665212077321e-06
1830,1.182075993710896e-05,1.1501393260004988e-06
1831,1.1546846963028656e-05,9.105264098252519e-07
1832,1.0836152796400711e-05,1.2542281524474674e-06
1833,1.0542260383772373e-05,1.1734215661363123e-06
1834,1.0113964094671246e-05,1.215355922568051e-06
1835,1.0088403314512107e-05,1.1753038791084691e-06
1836,1.062214528246841e-05,1.1606735057512196e-06
1837,1.0409005199107924e-05,1.3310445865499787e-06
1838,1.0983792890328914e-05,1.2371837243563277e-06
1839,1.0379544278293906e-05,1.1305215252832568e-06
1840,1.050425373705366e-05,1.5178968340023857e-06
1841,1.0741578080342151e-05,1.5736764282792137e-06
1842,1.0065080914500868e-05,1.4731349438079633e-06
1843,9.77771014731843e-06,1.535796883445073e-06
1844,1.0220798458249192e-05,1.619125526985954e-06
1845,9.813388942347956e-06,1.6020834721075516e-06
1846,1.0165170579057303e-05,1.4044948670743906e-06
1847,9.811352583710686e-06,1.5144172493819497e-06
1848,8.92295520316111e-06,1.442508306581658e-06
1849,9.758666465131682e-06,1.7797877660541417e-06
1850,9.772759995030356e-06,1.37001936195702e-06
1851,9.467775953453383e-06,1.3879191840260319e-06
1852,8.763194273342378e-06,1.4355753137351712e-06
1853,9.067184237210313e-06,1.3030754786313992e-06
1854,8.761968388171226e-06,1.4173772058256873e-06
1855,8.464034181088209e-06,1.4360572322402732e-06
1856,8.792420203462825e-06,1.5210582375857484e-06
1857,1.0172088650506339e-05,1.4424859671180457e-06
1858,9.931715567290667e-06,1.5351462252510828e-06
1859,1.0760780469354359e-05,1.7598551664832485e-06
1860,1.1115233064629138e-05,1.6134573002091201e-06
1861,1.0294005733157974e-05,1.5124095682494954e-06
1862,1.0555823109825724e-05,1.4755742938632466e-06
1863,9.855385769697023e-06,1.5433378166562761e-06
1864,9.2840316483489e-06,1.6110286082948733e-06
1865,9.276248874812154e-06,1.5391380827622925e-06
1866,9.475781325818389e-06,1.4927699965028296e-06
1867,8.915100124795572e-06,1.6761611334459303e-06
1868,8.954015811468707e-06,1.766004970704671e-06
1869,9.35291586756648e-06,1.5720048054390645e-06
1870,9.099362159759039e-06,1.8612722669786308e-06
1871,1.013897576740419e-05,2.1571611341641983e-06
1872,9.270571126762661e-06,2.07060895718314e-06
1873,8.239735279857996e-06,1.918514470844457e-06
1874,8.359673074664897e-06,2.0307695933752257e-06
1875,8.36773347145936e-06,1.94417486909515e-06
1876,8.32052546684281e-06,2.0006262673177844e-06
1877,8.022324664125335e-06,1.964916066299338e-06
1878,7.903355481175822e-06,1.9856523749695043e-06
1879,7.953730346343946e-06,1.7625403074816859e-06
1880,7.670610102650244e-06,1.9176524119757232e-06
1881,7.694859277762589e-06,2.010871241964196e-06
1882,7.844702622605837e-06,2.1210712475294713e-06
1883,7.618594963787473e-06,2.0746389850501146e-06
1884,7.597892818012042e-06,2.0154980688857904e-06
1885,7.543327228631824e-06,2.002658987976247e-06
1886,7.422774388032849e-06,2.0070273194505717e-06
1887,7.288238521141466e-06,2.0925203898514155e-06
1888,7.782470220263349e-06,2.0467504384669155e-06
1889,7.055170499370433e-06,2.0656156323184405e-06
1890,6.709725653308851e-06,2.1491833308573405e-06
1891,6.671896244370146e-06,2.0193528769141267e-06
1892,6.4584484107399476e-06,2.1500997604562144e-06
1893,6.088826580707973e-06,2.0833923031204904e-06
1894,5.879966238353518e-06,2.1318107314982626e-06
1895,6.30871181783732e-06,2.305129328306066e-06
1896,6.014379664520675e-06,2.0651395402637718e-06
1897,6.069687515264377e-06,2.109270326400292e-06
1898,5.81961796797259e-06,2.244103598059155e-06
1899,6.099130018810683e-06,2.2347999788507877e-06
1900,5.645270107379474e-06,2.2254044438341225e-06
1901,5.573090561483696e-06,2.1667540579528577e-06
1902,4.827791030947992e-06,1.961658341542716e-06
1903,5.6545704865129665e-06,2.034262990946445e-06
1904,5.574023816734552e-06,2.222407545104943e-06
1905,5.6835439181668335e-06,2.1639062879330595e-06
1906,5.602016926786746e-06,2.251095111205359e-06
1907,5.026615099268383e-06,2.039137370957178e-06
1908,5.5204012596732355e-06,2.061310055978538e-06
1909,5.739176231145393e-06,2.3324170683736156e-06
1910,5.845966484230303e-06,2.084753191411437e-06
1911,5.472004886541981e-06,2.1675203925042297e-06
1912,5.8725808003146085e-06,2.2275485207501333e-06
1913,5.218141950535937e-06,2.1275595258885005e-06
1914,4.902016371488571e-06,1.995629588691372e-06
1915,4.89608453335677e-06,1.801278472157719e-06
1916,5.425608719633601e-06,2.2348498305291287e-06
1917,5.5512042536065564e-06,1.950926957761112e-06
1918,5.7787959804045386e-06,2.2145733282741276e-06
1919,5.591005447058706e-06,1.7872433204502158e-06
1920,5.8207747315464076e-06,1.7817461070990248e-06
1921,5.490999228641158e-06,1.7803529317461653e-06
1922,6.134015848147101e-06,1.849648413099203e-06
1923,5.812231506752141e-06,1.683689362153018e-06
1924,5.944327995166532e-06,1.714586062462331e-06
1925,5.33411628111935e-06,1.804801030402814e-06
1926,5.8784733028005576e-06,1.8223935853711737e-06
1927,6.264749572437722e-06,1.907632395159453e-06
1928,5.758724682891625e-06,1.7264748350953596e-06
1929,5.82531833970279e-06,1.7223068482508097e-06
1930,5.009168489777949e-06,1.7541017882649612e-06
1931,4.784547058989119e-06,1.622982239268822e-06
1932,4.840827273255854e-06,1.7096877513722575e-06
1933,4.641030045604566e-06,1.6930697199768474e-06
1934,4.729129841507529e-06,1.7505088862890261e-06
1935,4.893831260233128e-06,1.4816735358635924e-06
1936,4.333372999099083e-06,1.554388433078202e-06
1937,4.3653406009980245e-06,1.5650760190055735e-06
1938,4.696000587500748e-06,1.2887423110896634e-06
1939,4.637156052922364e-06,1.6486986851305119e-06
1940,3.557703280421265e-06,1.2577482948472607e-06
1941,4.312145165386028e-06,1.2278250949293579e-06
1942,4.4633255811277195e-06,1.3957374562778568e-06
1943,4.694531298810034e-06,1.3674238061867072e-06
1944,4.89368244416255e-06,1.5230502583563066e-06
1945,5.271979716781061e-06,1.5184173207671847e-06
