year,mon_DET honneur_NOUN,mon_DET donneur_NOUN
1800,1.7387229931387083e-06,0.0
1801,2.8788497843379446e-06,0.0
1802,1.9245425164626795e-06,0.0
1803,1.948388920425259e-06,1.1702034896643454e-08
1804,2.859931484522349e-06,0.0
1805,1.3475239875049283e-06,0.0
1806,1.9422450208139708e-06,0.0
1807,1.5800600543514065e-06,0.0
1808,1.2757996934453786e-06,0.0
1809,2.2341811884984963e-06,0.0
1810,3.2410755892442467e-06,0.0
1811,1.6095432897600404e-06,0.0
1812,1.2349173843517747e-06,0.0
1813,1.8836108139907992e-06,5.751483289628823e-09
1814,1.9603799081835405e-06,0.0
1815,2.0660732271693405e-06,0.0
1816,2.0974315901867158e-06,0.0
1817,2.8070428612636533e-06,3.113746815941454e-09
1818,1.9789155132343694e-06,0.0
1819,1.9190846600736222e-06,1.035105001712111e-09
1820,3.949164863570331e-06,9.493184904840746e-09
1821,3.7670885575380453e-06,2.9584463767662328e-09
1822,4.298984180195475e-06,0.0
1823,3.624969636462083e-06,5.929612356680991e-09
1824,2.9608632274857882e-06,0.0
1825,2.3642615261110222e-06,0.0
1826,2.9903107119366723e-06,7.046387362485973e-09
1827,2.3098486892081382e-06,3.6869092223668076e-09
1828,2.2343726158169375e-06,1.1006761724274838e-08
1829,2.1938758436590433e-06,1.3717081692732336e-08
1830,2.498578396625817e-06,8.349468672008697e-09
1831,2.0611575024531703e-06,9.354723218280014e-09
1832,2.3176836734251083e-06,0.0
1833,1.9669000757005506e-06,1.1583628500844156e-09
1834,2.3280319929597226e-06,0.0
1835,3.4676758104978944e-06,3.025235173481633e-09
1836,2.8932828932681787e-06,3.36037508930076e-09
1837,2.9153563332329213e-06,1.3915781860163179e-09
1838,2.571574775345198e-06,4.418513555037862e-09
1839,2.388987063284276e-06,0.0
1840,1.9344743904525785e-06,1.9109065441114126e-09
1841,2.012199864509512e-06,1.926164561183441e-09
1842,2.0855995899182744e-06,6.708265054555795e-10
1843,1.949871375472867e-06,5.31621990873532e-09
1844,1.995640850793734e-06,2.195424508855126e-09
1845,1.741031102397983e-06,1.1160455892778032e-09
1846,1.78855012578083e-06,5.854501328173001e-10
1847,1.5532484098912391e-06,2.6966118227278457e-09
1848,1.7458131402747767e-06,8.04522137798358e-09
1849,1.4177969909212607e-06,8.379414939696517e-10
1850,1.7053958494273047e-06,6.788996032014438e-10
1851,1.5117484792881442e-06,6.449438760824933e-10
1852,1.7754256873558916e-06,0.0
1853,1.5873395149412772e-06,2.388772735173461e-09
1854,1.8860261619124685e-06,2.5978321716024766e-09
1855,1.784192249942862e-06,0.0
1856,1.5448732568756895e-06,1.0354378465748937e-09
1857,2.0707362509142513e-06,2.928905395993553e-09
1858,2.183068822603218e-06,1.468102750479261e-09
1859,2.1000122600867144e-06,5.601390462572908e-09
1860,2.0130454743139126e-06,5.492620580582752e-09
1861,2.0938879643495056e-06,3.3011746669586728e-09
1862,2.0344493236734706e-06,0.0
1863,1.849508052487181e-06,9.989241656072068e-10
1864,1.8972738686784396e-06,0.0
1865,1.7716562012992654e-06,5.6482132304580546e-09
1866,1.6805826525967404e-06,2.432806400776144e-09
1867,1.5475615811055832e-06,1.455843445796745e-09
1868,1.7250040507121867e-06,3.457911734727759e-09
1869,2.4241788878498483e-06,2.9301114867763545e-09
1870,1.6095474393296172e-06,1.1468097582678638e-09
1871,1.8693271641723186e-06,0.0
1872,1.7706609938272777e-06,6.047339295989218e-10
1873,2.2082370918496963e-06,0.0
1874,2.1305457096332248e-06,0.0
1875,1.8606406300136769e-06,0.0
1876,1.62879633336388e-06,1.813804439976252e-09
1877,1.7719498117685362e-06,0.0
1878,1.4952784042066014e-06,1.8117265465633636e-09
1879,1.664791174249558e-06,6.10932526790009e-10
1880,1.7251170376653135e-06,6.417846254436199e-10
1881,1.6308695123257166e-06,6.972507571312292e-10
1882,1.7237447522688853e-06,6.655385131892899e-10
1883,1.6973744365600396e-06,0.0
1884,1.469537764364759e-06,1.9805090900604227e-09
1885,1.216291508399081e-06,1.933690763067375e-09
1886,1.3171519768206963e-06,1.936039106809062e-09
1887,1.6394130284425046e-06,0.0
1888,1.1856949253541416e-06,0.0
1889,1.3488838987996132e-06,0.0
1890,1.193553806899672e-06,0.0
1891,1.040910131422379e-06,0.0
1892,1.23865810053303e-06,6.268512375839919e-10
1893,1.074643709131351e-06,6.158416554491453e-10
1894,9.691767317576705e-07,0.0
1895,1.2073341153495676e-06,2.4074457982692365e-09
1896,1.0944885602270915e-06,2.358811590497112e-09
1897,8.384640715064506e-07,4.078699600285063e-09
1898,1.1560018933209903e-06,5.6583548957434e-10
1899,1.0922494659837412e-06,5.527578395003729e-10
1900,9.567111156627561e-07,4.6719478286050276e-09
1901,9.383492844960983e-07,5.588738916095792e-10
1902,7.29668169441311e-07,0.0
1903,8.424343551638458e-07,5.400220270956879e-10
1904,8.12105888314818e-07,1.6123875568041512e-09
1905,8.28817881881605e-07,0.0
1906,7.484788238087958e-07,0.0
1907,9.210832452311024e-07,0.0
