year,en_ADP années_NOUN,en_ADP damnés_NOUN
1800,7.545995117652637e-08,1.5720821977538435e-08
1801,7.1435474868764e-08,0.0
1802,1.3874608839614666e-07,0.0
1803,1.1897069418509432e-07,0.0
1804,8.898663272915996e-08,0.0
1805,3.980028751016107e-08,2.842877711017877e-09
1806,5.76333825108577e-08,0.0
1807,7.117387923472052e-08,0.0
1808,1.3823051858707913e-07,4.5321479902327155e-09
1809,1.3780085539316644e-07,0.0
1810,3.2761775514700275e-08,0.0
1811,2.3065106802278024e-07,0.0
1812,9.335229123053068e-08,0.0
1813,1.2940837734731758e-07,0.0
1814,1.0069367029075238e-07,0.0
1815,2.6972236000233352e-08,0.0
1816,2.5493642752394408e-08,0.0
1817,9.341240314597599e-08,1.71256075987003e-08
1818,7.629553522292554e-08,0.0
1819,2.2047736081276526e-07,6.210630232317271e-09
1820,1.1391821885808895e-07,0.0
1821,1.3806084098177962e-07,0.0
1822,1.1830226753772877e-07,0.0
1823,5.0401702367253165e-08,0.0
1824,1.4652735558229324e-07,1.0105335235266466e-08
1825,1.4352872312883846e-07,0.0
1826,1.0041102171953753e-07,0.0
1827,1.0507691428074395e-07,0.0
1828,8.255071293206129e-08,0.0
1829,8.315980437600956e-08,0.0
1830,7.827627124257219e-08,0.0
1831,8.419251429359065e-08,0.0
1832,1.2176973029909277e-07,0.0
1833,1.4016190164056752e-07,1.1583628500844156e-09
1834,9.987947890977011e-08,9.334530925997342e-10
1835,1.3537928111873043e-07,0.0
1836,8.333729900611431e-08,0.0
1837,1.0784730619661786e-07,4.174734336004349e-09
1838,1.319241837993701e-07,6.312161904276081e-10
1839,1.1116445364223182e-07,4.894032734625853e-09
1840,1.0255198928943443e-07,1.2739377330817092e-09
1841,9.502412012807326e-08,0.0
1842,8.38533114055906e-08,0.0
1843,1.6303074801271578e-07,1.1813822142769936e-09
1844,1.1690635398631244e-07,2.7442805805577564e-09
1845,1.1606874039671311e-07,5.580227946389016e-10
