year,on_PRON étend_VERB,on_PRON etend_VERB,on_PRON détend_VERB
1800,1.5972355527082982e-06,6.288328968651058e-09,6.288328968651058e-09
1801,2.0287675397412386e-06,0.0,2.3811825844433088e-09
1802,1.5485854305552493e-06,0.0,2.2378401354217203e-09
1803,1.997147393240084e-06,1.950339223455444e-09,1.755305234496518e-08
1804,1.475695029284907e-06,2.4718509461507665e-09,2.4718509905596875e-08
1805,1.4214388102118392e-06,0.0,2.55858996212055e-08
1806,1.0201108580076834e-06,2.881669125542885e-09,1.152667650217154e-08
1807,1.3494567667748925e-06,2.8469551160981155e-09,8.540865792383556e-09
1808,1.2372763933399256e-06,6.798221985349073e-09,0.0
1809,1.8546640490058053e-06,4.518061036407062e-09,1.3554183553310395e-08
1810,1.4742797986855294e-06,2.3401267590372754e-09,7.020380277111826e-09
1811,1.3262436482364137e-06,2.5070767684098882e-09,1.7549536934780008e-08
1812,1.8777145385229232e-06,5.3344164641089264e-09,1.0668832928217853e-08
1813,1.383231705176513e-06,2.8757416448144113e-09,4.3136125782439194e-08
1814,1.6645921760982674e-06,3.1466771410748606e-09,2.2026739543434815e-08
1815,9.494227128925559e-07,0.0,0.0
1816,1.4879016987379146e-06,4.6352077731626196e-09,0.0
1817,1.2532831448197612e-06,3.113746815941454e-09,1.0898113522728181e-08
1818,1.080058652291882e-06,1.1921177378582115e-09,1.668964877410417e-08
1819,9.647178842442372e-07,1.035105001712111e-09,3.1053151161586356e-09
1820,1.1415554297400377e-06,1.1866481131050932e-09,1.0679833017945839e-08
1821,9.240214353667398e-07,4.930744035291923e-09,1.0847637454958203e-08
1822,9.694770284340848e-07,0.0,1.303330066093622e-08
1823,1.040646907313203e-06,9.882686891060644e-10,2.8659792761231984e-08
1824,1.3819045534546603e-06,2.5263338088166165e-09,1.3473780313688621e-08
1825,1.1517519453718705e-06,8.805443041381977e-10,7.924898515199175e-09
1826,9.97063835939116e-07,8.807984341885344e-10,7.927186018719112e-09
1827,1.2563142774979497e-06,9.217273055917019e-10,1.8434546111834038e-09
1828,1.5235193018270365e-06,5.5033806956039655e-09,1.7427371545863934e-08
1829,1.4060008766136889e-06,1.714635211591542e-09,6.001223074036943e-09
1830,1.2764250243435526e-06,0.0,3.1310507520032616e-09
1831,2.1406725636552437e-06,6.236482219534878e-09,0.0
1832,1.6925992269989365e-06,1.3529969367098715e-09,4.870789127586761e-08
1833,1.4514286306166468e-06,0.0,1.6217079235048004e-08
1834,1.2872318251311299e-06,2.8003592777992026e-09,6.534171648198139e-09
1835,1.1669845179085314e-06,7.563087933704082e-10,1.285724948729694e-08
1836,1.0390279499006283e-06,6.720750067579218e-10,1.814602440530777e-08
1837,1.1167415010504556e-06,2.0873671680021744e-09,9.045257876039159e-09
1838,9.089513071103283e-07,1.8936485712828244e-09,1.9567702347345062e-08
1839,1.320689690942345e-06,2.09744255297295e-09,1.4682097426721441e-08
1840,9.69466640299288e-07,1.2739377330817092e-09,5.732719632334238e-09
1841,9.739971886801868e-07,1.2841097074556274e-09,8.988767952189392e-09
1842,8.760994063550243e-07,2.0124795163667386e-09,1.1404051036834062e-08
1843,1.2989296891419144e-06,3.5441467538532834e-09,6.497602123012314e-09
1844,1.2179117163668707e-06,2.1954245643662773e-09,1.646568309476848e-08
1845,1.1422726799992233e-06,0.0,1.1718478853950387e-08
