year,en_ADP échéance_NOUN,en_ADP déchéance_NOUN
1800,0.0,1.5720821977538435e-07
1801,2.3811825844433088e-09,5.476719877606229e-08
1802,0.0,9.622712582313397e-08
1803,0.0,9.946730017418304e-08
1804,0.0,5.19088700912107e-08
1805,0.0,7.675770063997334e-08
1806,0.0,7.780506905419315e-08
1807,0.0,8.825561081948763e-08
1808,0.0,5.6651849433819734e-08
1809,2.259030518203531e-09,6.09938268780752e-08
1810,2.3401267590372754e-09,2.8315534450484847e-07
1811,0.0,1.0780430415024966e-07
1812,0.0,2.5871921138787e-07
1813,2.8757416448144113e-09,7.764502640839055e-08
1814,3.1466771410748606e-09,7.866692897096073e-08
1815,0.0,5.933891955578474e-08
1816,0.0,3.0128852301913867e-08
1817,0.0,3.7364962679475866e-08
1818,0.0,1.1205906957911793e-07
1819,0.0,5.4860564091541164e-08
1820,2.1359666035891678e-08,6.882559233645225e-08
1821,0.0,7.691961201317099e-08
1822,0.0,9.123310462655354e-08
1823,0.0,7.906149335212831e-08
1824,1.6842225392110777e-09,7.157945702829238e-08
1825,0.0,3.7158969234951655e-07
1826,2.642395191543301e-09,1.3035817403306282e-07
1827,9.217273055917019e-10,1.7973682986394124e-07
1828,0.0,2.1004569816795993e-07
1829,8.57317605795771e-10,2.0489891028319107e-07
1830,0.0,1.9099410053513566e-07
1831,0.0,1.3096612860863388e-07
1832,0.0,2.1377351799856115e-07
1833,3.4750886612755494e-09,2.409394710412016e-07
1834,0.0,1.0921401383257034e-07
1835,7.563087933704082e-10,8.016873209726327e-08
1836,0.0,2.3455417874629347e-07
1837,0.0,8.210311364109657e-08
1838,6.312161904276081e-10,1.0036337272367746e-07
1839,0.0,2.0904511188746255e-07
1840,1.2739377330817092e-09,8.790170369366024e-08
1841,1.926164561183441e-09,1.6179782846847957e-07
1842,6.708265054555795e-10,2.126519973444374e-07
1843,5.906911071384968e-10,1.1341269612330507e-07
1844,1.6465684371524958e-09,2.9912658305875084e-07
1845,0.0,2.8905580506943807e-07
1846,0.0,2.6872160674429324e-07
1847,2.6966118227278457e-09,7.199953415693017e-07
1848,1.206783295515379e-08,2.0354410423806257e-07
1849,2.1786478399121734e-08,2.530583174120693e-07
1850,7.467895635215882e-09,2.4576166879342054e-07
1851,9.029214709244116e-09,2.0831687663758203e-07
1852,1.4974254725075298e-08,2.5391128133378515e-07
1853,0.0,1.2720214215278247e-07
1854,5.195664454227256e-10,1.9431784892276482e-07
1855,2.653468555990912e-09,2.2607551386499836e-07
1856,1.65670055451983e-08,2.919934729561646e-07
1857,1.9526036343364694e-09,1.542556873346257e-07
1858,0.0,1.7910853955527273e-07
1859,2.036869339860914e-08,1.4512694690438366e-07
1860,9.154367819341758e-10,1.0069804545764782e-07
