year,en_ADP âme_NOUN,en_ADP ame_NOUN,en_ADP dame_NOUN
1800,6.288328968651058e-09,1.446315653907959e-07,7.545994717972349e-08
1801,1.904946067554647e-08,2.0478170359439218e-07,3.5717739876872656e-08
1802,2.0140561218795483e-08,7.832440473976021e-08,4.2518962573012686e-08
1803,4.290746247193056e-08,9.751695762005852e-08,5.851017670366332e-09
1804,1.4831105232815389e-08,2.4471323856189997e-07,5.9324420931261557e-08
1805,2.842877711017877e-09,1.3645813323748257e-07,3.695740913300938e-08
1806,1.2679343797117326e-07,2.0748018414451508e-07,2.5935021241707545e-08
1807,8.540865792383556e-09,2.7046074890790806e-07,2.2775641816963343e-08
1808,9.064295980465431e-09,2.6286459053892486e-07,7.478044272701823e-08
1809,1.3554183553310395e-08,1.6716825657070444e-07,5.1957702584815024e-08
1810,1.6380887757350138e-08,1.8487000863487424e-07,3.978215445954447e-08
1811,7.270522672797597e-08,9.777599307980722e-08,3.008492122091866e-08
1812,1.3336041604361526e-08,8.268345785822362e-08,5.3344164197000055e-08
1813,6.039057609541487e-08,7.189354045422647e-08,6.614205805277606e-08
1814,4.405347908686963e-08,1.5733386149463513e-07,5.664018942752591e-08
1815,4.045835311217161e-08,2.886029148996272e-07,3.506390555685357e-08
1816,3.9399267848239106e-08,1.3442102897442965e-07,1.8540831092650478e-08
1817,9.029865566390072e-08,8.25142891791586e-08,5.7604317760251433e-08
1818,8.344824209416402e-08,9.775365494846255e-08,3.5763530803478716e-08
1819,1.625114833814223e-07,1.1800196819677922e-07,2.277231081482256e-08
1820,9.374520004712394e-08,2.0054353644383127e-07,5.933240654343308e-08
1821,1.370746929296729e-07,1.4989461838421647e-07,2.1695273910715684e-08
1822,1.1529458276982041e-07,1.6141241587774857e-07,4.0102463572111446e-08
1823,8.103803139647425e-08,1.7195875101627678e-07,7.708495930458525e-08
1824,5.726356633317664e-08,1.1200079974571509e-07,2.4421225930382207e-08
1825,9.509878395874694e-08,1.673034146776331e-07,5.987701001686219e-08
1826,1.0041102171953753e-07,1.444509369896707e-07,4.668231556870239e-08
1827,4.7929820112813104e-08,1.281200947556016e-07,2.8573545918231247e-08
1828,1.1740545602378916e-07,1.1190207738209779e-07,3.577197499327056e-08
1829,6.858540757548326e-08,1.0287811458287166e-07,7.201467977502318e-08
1830,1.2106730196137505e-07,1.1376150732544943e-07,4.070366022013161e-08
1831,7.483778574624012e-08,1.683850194833525e-07,2.8064171431196883e-08
1832,7.035583848846727e-08,1.339466928484967e-07,1.352996914505411e-08
1833,6.950177322551099e-08,1.297366415409229e-07,1.9692168451435066e-08
1834,6.347480763224667e-08,9.987947935385932e-08,1.4935249481595747e-08
1835,7.941242330389287e-08,1.096647750387092e-07,4.5378527602224494e-08
1836,1.424799052074377e-07,2.3522625891558846e-07,5.040562667257831e-08
1837,1.4541991610883542e-07,1.0228099567299864e-07,2.2961040069269245e-08
1838,1.1993107307262107e-07,6.880256608887692e-08,4.292269983885433e-08
1839,9.508406151326199e-08,1.531133128063189e-07,3.076249155409272e-08
1840,1.5733131419892743e-07,5.860113594380323e-08,3.248541202705013e-08
1841,1.2327453191574023e-07,4.558589505876398e-08,5.26484971175023e-08
1842,1.9923547256439633e-07,8.519496930148307e-08,5.970355676510053e-08
