year,un_DET hommage_NOUN,un_DET dommage_NOUN
1800,3.637798315025975e-06,5.124987865201547e-07
1801,3.278888407010072e-06,5.11954283410887e-07
1802,3.0501761330015142e-06,6.176438773763948e-07
1803,2.956714290291984e-06,5.73399745462666e-07
1804,3.811594211811098e-06,1.344686893389735e-06
1805,3.653097762068569e-06,9.154066447081277e-07
1806,3.8124482486523448e-06,9.33660771806899e-07
1807,3.108874910395798e-06,1.5601314089508378e-06
1808,2.9708229405400743e-06,8.452456086160964e-07
1809,2.873486729448871e-06,9.510518452771066e-07
1810,3.823767130484157e-06,1.3245117997939815e-06
1811,2.948322361362443e-06,1.0830572136910632e-06
1812,3.0912944168903778e-06,8.02829674739769e-07
1813,3.1086767720012176e-06,5.5501811857539e-07
1814,4.103267002619759e-06,5.097617190585879e-07
1815,3.519876784707776e-06,4.693168875746778e-07
1816,2.600351557191516e-06,2.9201808615653135e-07
1817,3.6321856988763557e-06,6.445455937864608e-07
1818,3.4487965585583424e-06,4.208175710118667e-07
1819,3.9748034126319e-06,7.018011842774285e-07
1820,3.972897808068865e-06,6.574030635420058e-07
1821,3.427853314974527e-06,6.893180284350819e-07
1822,3.431768263340018e-06,9.985512861021562e-07
1823,3.0260786711977516e-06,9.388552371092374e-07
1824,3.3196025235326942e-06,8.690588515491982e-07
1825,3.42003416164971e-06,9.140049996858579e-07
1826,3.14268876877577e-06,9.697590712676174e-07
1827,3.3071575167298306e-06,1.2646098639379488e-06
1828,2.979163529204243e-06,1.1336964007568895e-06
1829,3.071769082652054e-06,1.2988361959287431e-06
1830,2.9734545599069406e-06,1.1616198207775597e-06
1831,2.6442685374661323e-06,1.175576926470967e-06
1832,2.738465740392826e-06,1.0350426009608782e-06
1833,2.902857300313144e-06,1.498921506026818e-06
1834,2.810627282912037e-06,1.420715648237092e-06
1835,2.3385066896253193e-06,1.3666499398823362e-06
1836,2.236665640253932e-06,1.1915890354430303e-06
1837,2.0727556870880903e-06,1.2259803270353586e-06
1838,2.4061961418908595e-06,1.2542266176751582e-06
1839,2.2044122101050334e-06,1.2633595360966865e-06
1840,2.468891421969488e-06,1.556751954012725e-06
1841,2.66966417683534e-06,1.6359557548639714e-06
1842,2.6967225643659276e-06,1.4986263749960926e-06
1843,2.714225555422445e-06,1.5233923704727204e-06
1844,2.641095761646284e-06,1.6849883195391158e-06
1845,2.4809693641714148e-06,2.2320912194118137e-06
1846,2.6872162095514796e-06,1.7908919289766345e-06
1847,2.662634490668836e-06,1.9847063867928227e-06
1848,2.465860406530851e-06,1.8310925042896997e-06
1849,2.8473251880711814e-06,1.8954236793433665e-06
1850,2.5567358363787207e-06,1.4514873782900395e-06
1851,2.532049567349759e-06,1.8316405885343556e-06
1852,2.4108550693568986e-06,1.9062877072428819e-06
1853,2.683189034513589e-06,1.4464019386650762e-06
1854,2.8280001309610725e-06,1.8366673657510546e-06
1855,2.743155892659388e-06,1.52892857840925e-06
1856,2.915275274517626e-06,1.8135693835574784e-06
1857,2.6487067259495234e-06,1.6045520396801294e-06
1858,2.6264360286631927e-06,1.6457432820971007e-06
1859,2.7655594223574553e-06,1.570426206853881e-06
1860,2.9628110347346137e-06,1.2784074669980328e-06
1861,2.911636013180896e-06,1.6600192793703172e-06
1862,2.9290104528456595e-06,1.6183427078431123e-06
1863,2.68610703990646e-06,1.6607114048383664e-06
1864,2.893618230359607e-06,1.7596651105122874e-06
1865,2.7600934870974925e-06,1.6342163462468307e-06
1866,2.8429776861571554e-06,1.8216854869024246e-06
1867,2.8325860235156597e-06,1.6436472378700273e-06
1868,2.6280130001055113e-06,1.6494240071551758e-06
1869,2.875415997749542e-06,1.5715164636276313e-06
1870,2.6755072362050214e-06,1.6795029296190478e-06
1871,2.3695845428051143e-06,2.1454777652252233e-06
1872,2.697113302474463e-06,1.5874265955062583e-06
1873,2.2285893805928936e-06,1.5749177464385866e-06
1874,2.4125472499747502e-06,1.56236023940437e-06
1875,2.6948392175540903e-06,1.3909032077208394e-06
1876,2.5574641782100116e-06,1.6687000652382267e-06
1877,2.4355804484343935e-06,2.173962911911076e-06
1878,2.421674498265247e-06,2.1716562059737043e-06
1879,2.8432799972222256e-06,1.984919890674064e-06
1880,2.748121669782222e-06,2.0107113414269406e-06
1881,2.4626896184543057e-06,1.734062607283704e-06
1882,2.5603266848861495e-06,1.8914604424935533e-06
1883,2.7008855170151946e-06,1.9052806692343438e-06
1884,2.4657338979494625e-06,1.733605586196063e-06
1885,2.3861742324271518e-06,1.9910569335479522e-06
1886,2.4826474493977457e-06,1.8231035028293263e-06
1887,2.3262558901393504e-06,2.5430160803807667e-06
1888,2.7017360366698995e-06,2.193852651544148e-06
1889,2.740997238959153e-06,1.889565282908734e-06
1890,2.9167019270914807e-06,2.1721236862504156e-06
1891,2.6465761209237826e-06,2.115603592756088e-06
1892,2.6540880355696572e-06,2.0071777271368774e-06
1893,2.526798201785141e-06,2.104946815961739e-06
1894,2.47650498153007e-06,2.1708801796194166e-06
1895,2.6560146189069656e-06,2.1817477318109013e-06
1896,2.6843275442445247e-06,2.1883874978811946e-06
