year,mon_DET égout_NOUN,mon_DET dégoût_NOUN
1800,0.0,4.7162468153061354e-08
1801,0.0,3.8098922461315965e-08
1802,0.0,1.5664880947952042e-08
1803,0.0,3.510610602219799e-08
1804,1.2359254952798437e-08,5.9324420931261557e-08
1805,0.0,9.097208675257207e-08
1806,0.0,3.7461699520235925e-08
1807,0.0,1.4234775136401367e-08
1808,0.0,9.064295980465431e-09
1809,0.0,5.1957702140725814e-08
1810,0.0,5.616304044053777e-08
1811,0.0,1.7549536934780008e-08
1812,0.0,3.7340914360584065e-08
1813,0.0,5.751483289628823e-09
1814,0.0,2.2026739543434815e-08
1815,0.0,5.1247248222807684e-08
1816,0.0,2.7811246638975717e-08
1817,0.0,3.113746771532533e-08
1818,0.0,6.079800130009971e-08
1819,0.0,3.8298885840504227e-08
1820,0.0,3.9159388620646496e-08
1821,0.0,6.311352507282209e-08
1822,0.0,3.0076847679083585e-08
1823,0.0,8.103803139647425e-08
1824,0.0,4.6316119828304636e-08
1825,0.0,6.868245350233337e-08
1826,0.0,2.3781557612068127e-08
1827,0.0,3.133872894522938e-08
1828,0.0,3.485474309172787e-08
1829,0.0,1.0287811136322489e-07
1830,0.0,6.262101592824365e-08
1831,0.0,3.4300654760954785e-08
1832,0.0,4.058990654698391e-08
1833,0.0,4.2859426230279496e-08
1834,0.0,7.467624829615715e-08
1835,0.0,3.479020449503878e-08
1836,0.0,3.360375133709681e-08
1837,6.957890930081589e-10,2.365682938432201e-08
1838,0.0,4.039783618736692e-08
1839,0.0,3.705481976812308e-08
1840,0.0,7.898413656448611e-08
1841,0.0,2.118781061710706e-08
1842,0.0,4.22620693996123e-08
1843,0.0,3.839492279666956e-08
1844,0.0,2.5796237368425068e-08
1845,0.0,2.9017184932644824e-08
1846,0.0,4.917781226687623e-08
1847,0.0,2.2651540199092324e-08
1848,0.0,6.11436847819391e-08
1849,0.0,3.9383248662261394e-08
1850,0.0,2.1724787302446202e-08
1851,0.0,3.418202609850596e-08
1852,0.0,3.906327350478023e-08
1853,0.0,5.135861447236323e-08
1854,0.0,5.039794698236122e-08
1855,0.0,2.600399184871094e-08
1856,5.177189232874468e-10,3.6240326295455816e-08
1857,9.763018171682347e-10,8.298565412623304e-08
1858,0.0,4.15962463362618e-08
1859,0.0,3.9718951461154006e-08
1860,4.577183909670879e-10,6.270742014535813e-08
1861,9.431927461278633e-10,4.763123340190134e-08
1862,0.0,3.7951086273579904e-08
1863,4.994620828036034e-10,4.2454278315062766e-08
1864,0.0,2.9727312500504866e-08
1865,0.0,4.1890913848874334e-08
1866,0.0,2.5787747603978062e-08
1867,0.0,5.143980175148499e-08
1868,0.0,4.594082725351001e-08
1869,0.0,4.346332027616029e-08
1870,7.454262984651905e-09,2.3509599600401998e-08
1871,0.0,1.911811864374613e-08
1872,0.0,2.963196266136947e-08
1873,0.0,3.352162325498398e-08
1874,0.0,5.496640298474631e-08
1875,0.0,3.94785359958405e-08
1876,2.418405919968336e-09,3.869449516358259e-08
1877,0.0,6.617753012250205e-08
1878,0.0,1.570163088437937e-08
1879,0.0,3.0546626561545054e-08
1880,0.0,4.428313937765438e-08
1881,0.0,3.2770785196589713e-08
1882,0.0,5.124646618170914e-08
1883,1.8958017378167824e-09,4.2339571848515334e-08
1884,0.0,4.7532217273271726e-08
1885,0.0,1.740321670107292e-08
1886,0.0,1.742435240537077e-08
1887,1.9586774424595887e-09,4.8966935395355904e-08
1888,1.9021844099853524e-09,2.9800888423636707e-08
1889,0.0,4.9494579990039256e-08
1890,0.0,3.080561788992853e-08
1891,1.2748440081367107e-09,4.84440718651058e-08
1892,0.0,3.8864778062475125e-08
1893,0.0,3.0792081995301146e-08
1894,6.301539290376468e-10,2.7096618282484997e-08
1895,2.4074457982692365e-09,3.671354753542744e-08
1896,0.0,4.186890695256906e-08
1897,0.0,3.903898149193452e-08
1898,0.0,5.4320206110958225e-08
1899,0.0,3.758753130966852e-08
1900,5.191053142894475e-10,4.412395127051383e-08
1901,0.0,3.5767929285057676e-08
1902,0.0,3.240787266323153e-08
1903,0.0,5.184211371300762e-08
1904,1.0749250378694342e-09,3.708491380649548e-08
1905,0.0,4.799505826103001e-08
1906,0.0,5.401393821102829e-08
1907,0.0,3.9599893808528464e-08
1908,0.0,5.893666776835005e-08
1909,0.0,4.73084598162643e-08
1910,0.0,5.2372678194245736e-08
1911,5.320374141248863e-10,6.650467820890071e-08
1912,0.0,6.980624700503313e-08
1913,0.0,7.954484448902122e-08
