year,en_ADP essais_NOUN,en_ADP décès_NOUN
1800,4.7162465932615305e-08,0.0
1801,2.857419123536431e-08,0.0
1802,4.475680270843441e-09,0.0
1803,1.950339267864365e-08,0.0
1804,3.213406074564773e-08,0.0
1805,8.24434565060983e-08,0.0
1806,2.305335300434308e-08,0.0
1807,2.8469551160981155e-09,2.8469551160981155e-09
1808,4.758755522971114e-08,6.798221985349073e-09
1809,4.2921579401777876e-08,2.259030518203531e-09
1810,1.4040760554223652e-08,0.0
1811,2.5070768572277302e-08,0.0
1812,9.335229123053068e-08,0.0
1813,2.013019195779009e-08,2.300593315851529e-08
1814,1.5733386149463513e-08,0.0
1815,6.203614333344376e-08,0.0
1816,7.416332259424507e-08,0.0
1817,4.826307531402563e-08,4.670620334934483e-09
1818,3.695565098382758e-08,0.0
1819,5.6930773539853874e-08,1.035105001712111e-09
1820,3.5599443393152796e-08,0.0
1821,4.339054981983281e-08,1.1833785507064931e-08
1822,4.6117833107928163e-08,0.0
1823,2.7671523739059012e-08,9.882686891060644e-10
1824,3.705289586264371e-08,8.421112696055388e-09
1825,4.57883047033647e-08,2.641632912414593e-09
1826,2.6423952803611428e-08,7.046387362485973e-09
1827,5.530363722527909e-08,4.6086365279585095e-09
1828,4.219258542548232e-08,7.337841001486822e-09
1829,4.115124596637543e-08,0.0
1830,3.026682549034376e-08,0.0
1831,4.8332740476553226e-08,4.677361609140007e-09
1832,1.2853470388041188e-07,8.117981842303834e-09
1833,5.90765054653275e-08,9.266902800675325e-09
1834,9.70791234067292e-08,0.0
1835,1.0512692227848675e-07,3.025235173481633e-09
1836,7.796069922960669e-08,6.048674894287842e-09
1837,8.488626690450474e-08,2.7831563720326358e-09
1838,7.700837700852503e-08,3.787297142565649e-09
1839,7.480878139176639e-08,9.788065469251706e-09
1840,7.45253601053264e-08,3.821813088222825e-09
1841,1.0593905397371373e-07,4.494383976094696e-09
1842,1.0666141747606162e-07,6.037438549100216e-09
1843,7.97432984089852e-08,3.36693943836508e-08
1844,9.824524932477985e-08,1.6465684371524958e-09
1845,1.0379223880363497e-07,4.464182357111213e-09
1846,1.0538102124257875e-07,9.952652035849496e-09
1847,6.849393763275202e-08,5.393223645455691e-10
1848,9.010648227558704e-08,1.609044275596716e-08
1849,6.116972728342773e-08,5.027648741773305e-09
1850,7.332115803393435e-08,6.788996032014438e-09
1851,3.5471913406581734e-08,1.2898877521649865e-09
1852,6.770966920477406e-08,8.463709066930392e-09
1853,6.031650912063924e-08,3.5831591027601917e-09
1854,7.118060435518103e-08,1.5586993362681767e-09
1855,7.217434472295281e-08,4.2455496895854594e-09
1856,4.866558001026533e-08,5.177189232874468e-10
1857,7.419893904847541e-08,1.3180074864838076e-08
1858,7.193703766006365e-08,5.3830437884982985e-09
1859,6.568903576642526e-08,1.0693564256314403e-08
1860,7.643897248499343e-08,8.696649622663699e-09
1861,1.0045002452052643e-07,3.301174722469824e-09
1862,5.9185619988300076e-08,4.5179864571753825e-09
1863,6.89257646513397e-08,3.995696662428827e-09
1864,9.54150848331281e-08,1.4384183844029508e-09
1865,4.000817810378976e-08,3.294791106611683e-09
1866,7.3957319657314e-08,1.0704348518686402e-08
1867,8.929173134220036e-08,1.552899675516528e-08
1868,5.977247596877788e-08,5.0880701207844936e-08
1869,7.862466178121252e-08,1.0743742229202269e-08
1870,1.0780011816535762e-07,5.734048791339319e-09
1871,8.390730243945654e-08,1.0621177271019633e-09
1872,8.526748729309475e-08,8.4662747923403e-09
1873,8.38040605799506e-08,1.616221156908182e-08
1874,9.559374802847742e-08,6.572069999322139e-09
1875,9.211658402730194e-08,1.716458086775674e-08
1876,6.650616324321845e-08,9.06902175579205e-09
1877,6.98884221606022e-08,3.2408436501096816e-07
1878,5.737134406436084e-08,1.268208649207736e-08
1879,9.530547373515219e-08,8.980708088301981e-08
1880,6.161132404258751e-08,4.941741593711413e-08
1881,5.0899306103247e-08,4.183504653809678e-09
1882,6.056400692067143e-08,9.983077475794744e-09
1883,7.899173937175874e-08,8.21514056781325e-09
1884,9.704494274842546e-08,7.922036360241691e-09
1885,5.220964993668531e-08,1.2891271217174705e-08
1886,7.356948622527781e-08,3.2267319927115068e-09
1887,4.2438008884815304e-08,5.223139754040318e-09
1888,7.355113096352284e-08,2.53624587998047e-09
1889,6.828999177255213e-08,9.397705058589167e-09
1890,8.520702571290784e-08,9.176140736144589e-09
1891,9.30636131490914e-08,1.5298128430707436e-08
1892,7.334159213279179e-08,5.014809900671935e-09
1893,7.574852434188983e-08,6.158416554491453e-10
1894,1.3548309540922787e-07,2.520615716150587e-09
1895,1.1194622828725187e-07,6.018614495673091e-09
1896,1.291449315821147e-07,3.5382172747233653e-09
1897,1.1944762479121351e-07,8.157398867503218e-09
1898,1.5843393352810153e-07,5.09251940616906e-09
1899,1.2768705737187247e-07,6.633094074004475e-09
1900,1.230279563779746e-07,2.07642125715779e-09
1901,1.1289252921375947e-07,3.353243460679778e-09
1902,1.2521224096451178e-07,5.892340670943241e-09
1903,9.774399023498859e-08,7.020286130199338e-09
1904,1.0802996719405655e-07,5.374625189347171e-09
1905,1.073437904119956e-07,1.5482277682110634e-09
1906,1.440371693028908e-07,5.658602808544799e-09
1907,1.1879968359052029e-07,2.5714216866923323e-09
1908,9.184297256048524e-08,9.822778146428846e-09
1909,1.5017685556228955e-07,1.6502950672681038e-09
1910,2.0521538768303316e-07,3.206490406526541e-09
1911,1.6173937367192082e-07,2.128149656499545e-09
1912,1.7034807875404567e-07,5.730363294986773e-09
1913,2.131801808413769e-07,5.833288574397244e-09
1914,1.767940339125751e-07,5.357394972094198e-09
