year,en_ADP oie_NOUN,en_ADP doigts_NOUN
1800,3.144164484325529e-09,9.432493186523061e-08
1801,1.666827853519237e-08,4.7623650800687756e-08
1802,2.0140561218795483e-08,3.5805442166747525e-08
1803,9.751696339321825e-09,6.631153581793114e-08
1804,1.2359254952798437e-08,6.673997887673977e-08
1805,3.695740957709859e-08,1.3930100806192058e-07
1806,1.4408345627714425e-08,1.729001475325731e-08
1807,0.0,2.8469551160981155e-09
1808,1.0877154998922833e-07,2.4926814390369145e-08
1809,0.0,7.454800510231507e-08
1810,2.3401266702194334e-08,7.254392642153107e-08
1811,1.504245972228091e-08,6.518399686683551e-08
1812,2.6672082320544632e-09,0.0
1813,5.751483289628823e-09,7.476928232108548e-08
1814,1.1642705288750221e-07,4.090680150170556e-08
1815,0.0,2.697223555614414e-09
1816,2.3176038865813098e-09,4.8669683394564345e-08
1817,4.670620334934483e-09,1.2299300067297736e-07
1818,4.768470951432846e-09,8.225612191381515e-08
1819,4.140420006848444e-09,3.001804671498576e-08
1820,2.3732962262101864e-09,2.0173018810965004e-08
1821,1.577838126820552e-08,4.832129363308013e-08
1822,1.0025615893027862e-09,6.717162648328667e-08
1823,1.9765373782121287e-09,3.360113609574e-08
1824,1.9368560089105813e-08,4.126345132249298e-08
1825,7.924898959288385e-09,1.7610886970942374e-08
1826,3.5231937367541377e-09,3.082794464148719e-08
1827,1.8434546111834038e-09,4.516463647519231e-08
1828,7.337841001486822e-09,4.219258542548232e-08
1829,9.430493719264632e-09,6.687077558353849e-08
1830,2.0873671680021744e-09,3.757260813586072e-08
1831,1.5591206103948707e-09,0.0
1832,2.0294953273491956e-08,1.352996914505411e-08
1833,2.3167257001688313e-09,2.0850531967653296e-08
1834,3.733812370398937e-09,1.9135788420499011e-07
1835,7.563087933704082e-09,5.8235777089521434e-08
1836,2.016224964762614e-09,4.637317374545091e-08
1837,1.3915781860163179e-09,2.435261770017405e-08
1838,4.418513332993257e-09,3.471689069556305e-08
1839,2.0974426639952526e-09,6.222413162504381e-08
1840,5.732719632334238e-09,3.885510224677091e-08
1841,2.3113974734201292e-08,2.118781061710706e-08
1842,1.341653010911159e-09,2.2137275124123335e-08
1843,1.7720733214154905e-09,1.063243981747064e-08
1844,3.2931368743049916e-09,1.920996517412732e-08
1845,3.9061593959388574e-09,2.7901139176833567e-08
1846,2.9272506640865004e-09,1.9319854160926297e-08
1847,7.011190739092399e-09,8.629157832729106e-09
1848,4.82713291560799e-09,5.229394162142853e-08
1849,1.9272654583346593e-08,1.9272654583346593e-08
1850,6.788996032014438e-09,1.0862393651223101e-08
1851,1.0964046337491595e-08,1.7413483988093503e-08
1852,5.208436348880241e-09,3.2552726736412296e-08
1853,1.791579506971175e-08,2.7470886010405593e-08
1854,7.79349651480743e-09,7.63762670885626e-08
1855,1.0083180512765466e-08,5.253867740862006e-08
1856,1.3978411317339123e-08,4.711242240773572e-08
1857,1.4156376515472857e-08,1.8549734193129552e-08
1858,1.5659763041853125e-08,1.761723389392955e-08
1859,2.036869339860914e-09,7.129042689513199e-09
1860,4.57718396518203e-09,1.6935580049448618e-08
1861,7.073945706981277e-09,3.4426534512022045e-08
