year,son_DET épi_NOUN,son_DET epi_NOUN,son_DET dépit_NOUN
1800,1.5720822510445487e-07,0.0,6.131120979802063e-07
1801,1.0000967165524344e-07,0.0,6.52444043680589e-07
1802,2.0364345232337655e-07,2.2378401354217203e-09,6.870169499961776e-07
1803,3.3740867877440905e-07,0.0,6.085058146254596e-07
1804,1.5572660316820475e-07,2.4718509461507665e-09,1.057952189853495e-06
1805,6.908192800025859e-07,8.528632911009026e-09,9.523640223108032e-07
1806,8.93317455563647e-08,2.881669125542885e-09,1.0633359579514945e-06
1807,7.686778502602465e-08,2.8469551160981155e-09,6.120953610633251e-07
1808,1.2916622083025686e-07,2.2660739951163578e-09,1.1217065960522632e-06
1809,3.1174620751528437e-07,6.7770917766551975e-09,8.65208676259499e-07
1810,5.616304044053777e-08,2.3401267590372754e-09,1.0156149841122897e-06
1811,4.512738271955641e-08,0.0,8.975334928607026e-07
1812,1.5203086789483677e-07,5.3344164641089264e-09,9.175196495903037e-07
1813,5.176335093892703e-08,2.8757416004054903e-08,9.317403097952592e-07
1814,2.8320094713762956e-08,9.440030979135372e-09,8.968029794331756e-07
1815,4.989863668924954e-07,0.0,4.6122522867619864e-07
1816,1.738202950463119e-07,0.0,5.006024359488492e-07
1817,1.8682480629195197e-07,9.341240669868967e-09,7.317304877574315e-07
1818,2.193496628777325e-07,4.768470951432846e-09,8.273297282812564e-07
1819,1.4698491312969963e-07,0.0,9.833497784939027e-07
1820,1.4714436957774524e-07,8.306536791735653e-09,8.21160499597795e-07
1821,7.198886620152223e-08,0.0,6.863595647388365e-07
1822,7.418955760840618e-08,0.0,5.864985297421299e-07
1823,1.0376821180102525e-07,3.9530747564242574e-09,5.643013967215893e-07
1824,7.410578906075216e-08,0.0,8.530587400912282e-07
1825,2.218971584255769e-07,8.805443041381977e-10,1.1147690930357612e-06
1826,2.0346444173924283e-07,0.0,7.0728115986185e-07
1827,1.981713775300875e-07,2.7651818612639545e-09,5.364452686507093e-07
1828,5.595103580446903e-08,4.586150570418113e-09,6.448127525260361e-07
1829,9.087566416043913e-08,8.57317605795771e-10,1.069075075577075e-06
1830,7.72325876585711e-08,1.0436835840010872e-09,6.763069748672024e-07
1831,1.5903029648711708e-07,3.1182412207897414e-09,4.6617707538665343e-07
1832,5.4119875803060324e-08,0.0,7.996211799365938e-07
1833,9.961920222067988e-08,0.0,5.675977874375349e-07
1834,7.280934077869006e-08,1.8669061851994684e-09,5.23667207374956e-07
1835,5.52105419160398e-08,1.5126175867408165e-09,6.38324650026334e-07
1836,1.0618785140081854e-07,6.720750067579218e-10,5.571502057488686e-07
1837,5.914207434898344e-08,6.957890930081589e-10,4.383471221558466e-07
1838,8.837026332919606e-08,1.8936485712828244e-09,5.756691816571902e-07
1839,5.7330096336905e-08,0.0,6.131523768715397e-07
1840,9.044957760551142e-08,1.2739377330817092e-09,6.548039710452258e-07
1841,1.194222050138194e-07,4.494383976094696e-09,4.0898893516327917e-07
1842,1.0934471816881342e-07,6.708265054555795e-10,6.728389898569276e-07
1843,5.493427157610142e-08,2.3627644285539873e-09,6.190442825015907e-07
1844,4.3359635215622916e-08,5.488561272137815e-10,6.915587089650899e-07
1845,7.756517028667531e-08,1.674068439427856e-09,5.959683182510389e-07
1846,1.0596647559424355e-07,1.1709002656346001e-09,6.100390557151059e-07
1847,1.0301057518091739e-07,2.6966118227278457e-09,4.44940962296414e-07
1848,7.079795438791336e-08,8.045221711050488e-10,4.2478771167253626e-07
1849,8.798385442432277e-08,0.0,5.362825468147037e-07
1850,5.363306865291406e-08,0.0,4.066608640940217e-07
1851,1.6123596680017727e-07,2.579775504329973e-09,5.011213648487001e-07
1852,7.552232794694191e-08,0.0,4.5313394858581546e-07
1853,1.0510600034763229e-07,1.1943863675867306e-09,5.494177379716803e-07
1854,5.039794626071625e-08,3.6369650624479277e-09,4.821576506941483e-07
1855,9.870903028286193e-08,5.306937111981824e-10,5.492679981955462e-07
1856,6.937433827403083e-08,1.0354378465748937e-09,5.933059021856479e-07
1857,9.811832946127197e-08,4.881509085841174e-10,5.140228829247917e-07
1858,5.725600793482499e-08,1.468102750479261e-09,5.808793250849931e-07
1859,6.110608063991663e-08,3.5645213447565993e-09,6.248096759975397e-07
1860,4.2567809721560934e-08,1.8308735638683515e-09,5.250029797565503e-07
1861,6.743828101507532e-08,9.431927461278633e-10,4.0274330448397677e-07
1862,7.454677630747142e-08,2.2589932147099034e-09,4.3463028820411864e-07
1863,8.9403714653713e-08,3.496234635136375e-09,4.664975925550152e-07
1864,5.178306272668465e-08,0.0,4.79472785031021e-07
1865,4.377365092622654e-08,2.8241067262513297e-09,4.542104701243943e-07
1866,4.1844272602453714e-08,9.731225825149181e-10,3.8341030661470654e-07
1867,4.707226963773792e-08,2.426405742994575e-09,4.061803231536487e-07
