year,un_DET dentier_NOUN
1800,3.144164484325529e-09
1801,0.0
1802,2.4616241489638924e-08
1803,3.900678446910888e-09
1804,0.0
1805,4.8328921309348516e-08
1806,0.0
1807,1.3380689267705748e-07
1808,9.064295980465431e-09
1809,0.0
1810,0.0
1811,0.0
1812,2.6672082320544632e-09
1813,0.0
1814,5.349351184236184e-08
1815,0.0
1816,0.0
1817,3.113746815941454e-09
1818,0.0
1819,0.0
1820,4.390598018488845e-08
1821,6.903041693817613e-09
1822,1.1028177482330648e-08
1823,0.0
1824,0.0
1825,0.0
1826,0.0
1827,7.373818444733615e-09
1828,0.0
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,7.795603274018958e-09
1832,8.117981842303834e-09
1833,5.444305273272221e-08
1834,2.8003592777992026e-09
1835,7.563087933704082e-09
1836,6.720750067579218e-10
1837,8.349468672008697e-09
1838,3.1560809521380406e-09
1839,2.7965900706306e-09
1840,1.4013315396965709e-08
1841,4.49438415373038e-08
1842,4.695785538189057e-09
1843,1.1813821920725331e-08
1844,1.097712254427563e-09
1845,1.0044410636567136e-08
1846,1.3465353276842507e-08
1847,1.0786447290911383e-09
1848,0.0
1849,4.1897072478036534e-09
1850,6.1100964288129944e-09
1851,2.579775504329973e-09
1852,7.161600201754936e-09
1853,5.3747388761848924e-09
1854,9.871762074453727e-09
1855,3.714855978387277e-09
1856,8.801221695886596e-09
1857,7.322263795295214e-09
1858,2.4468380654951716e-09
1859,7.129042689513199e-09
1860,1.1442959552132592e-08
1861,2.82957823838359e-09
1862,6.325180823552046e-09
1863,1.3485476402230745e-08
1864,6.712618905169165e-09
1865,8.001635409815577e-09
1866,1.702964524952222e-08
1867,5.338092634588065e-09
1868,1.5807597342210045e-08
1869,8.30198221279943e-09
1870,5.160643912205387e-09
1871,6.37270636261178e-09
1872,1.9351485747165498e-08
1873,1.0176207765333345e-08
1874,4.480956716790274e-08
1875,1.8881038954532414e-08
1876,9.069021977836655e-09
1877,3.649041280251453e-08
1878,2.2344627481629686e-08
1879,1.0996785704264767e-08
1880,1.6686399817444908e-08
1881,1.3945014920579979e-08
1882,2.3959386918903647e-08
1883,1.0110942305630033e-08
1884,2.77271263726675e-08
1885,1.353583467533781e-08
1886,2.19417763958063e-08
1887,5.94132131270797e-08
1888,1.6485598663962264e-08
1889,1.8795409673089125e-08
1890,1.7696843102044113e-08
1891,5.4818291683744746e-08
1892,2.1312941855811118e-08
1893,4.495644057023185e-08
1894,2.520615760559508e-08
1895,4.1528440686278145e-08
1896,4.4817421274157e-08
1897,3.3794939513498434e-08
1898,4.470100400943977e-08
1899,3.371822820952275e-08
1900,3.3222741224747665e-08
1901,2.0678333823020978e-08
1902,9.575053372401499e-08
1903,3.56414537883154e-08
1904,6.557042731003548e-08
1905,9.134543699218511e-08
1906,1.1008555106384321e-07
1907,5.9142700237213575e-08
1908,4.469364101034046e-08
1909,6.931239171503734e-08
1910,6.466422020068308e-08
1911,6.810079056229768e-08
1912,3.594500819215085e-08
1913,7.477215213658184e-08
1914,3.8841115213017474e-08
1915,3.2986132936230206e-08
1916,4.504859418830165e-08
1917,1.0747096013119517e-07
1918,5.3985966808056673e-08
1919,2.6702760891339494e-08
1920,4.770506123463747e-08
1921,4.619375776337975e-08
1922,8.410846719097975e-08
1923,5.307974060286824e-08
1924,5.930147384258788e-08
1925,5.8290343885047946e-08
1926,4.904300965336006e-08
1927,2.89879845682961e-08
