year,certain_ADJ dépit_NOUN
1800,0.0
1801,7.143547975374531e-09
1802,0.0
1803,3.900678446910888e-09
1804,2.4718509461507665e-09
1805,0.0
1806,5.76333825108577e-09
1807,0.0
1808,0.0
1809,4.518061036407062e-09
1810,0.0
1811,0.0
1812,1.8670457180292033e-08
1813,0.0
1814,0.0
1815,5.933891955578474e-08
1816,4.6352077731626196e-09
1817,4.670620334934483e-09
1818,1.1921177378582115e-09
1819,4.140420006848444e-09
1820,1.1866481131050932e-09
1821,1.577838126820552e-08
1822,2.0051231786055723e-09
1823,1.1859224713361982e-08
1824,0.0
1825,8.805443041381977e-10
1826,8.80798456392995e-09
1827,2.7651818612639545e-09
1828,5.503380862137419e-09
1829,8.57317605795771e-10
1830,2.0873671680021744e-09
1831,0.0
1832,2.3000948701223933e-08
1833,4.6334514003376626e-09
1834,1.8669061851994684e-09
1835,8.31939672707449e-09
1836,1.3441500135158435e-09
1837,1.1828414692161004e-08
1838,1.7042836475411605e-08
1839,2.0974426639952526e-09
1840,9.554533164646273e-09
1841,2.3756030032018316e-08
1842,2.1466448174578545e-08
1843,1.2995204023980023e-08
1844,2.5247381074677833e-08
1845,2.0088821273134272e-08
1846,2.0490753982471688e-08
1847,1.5101026207275936e-08
1848,1.930853166243196e-08
1849,1.005529792763582e-08
1850,7.467895635215882e-09
1851,1.4188765717904062e-08
1852,2.0833745395520964e-08
1853,2.508211416341055e-08
1854,7.27393034694046e-09
1855,1.6451505047143655e-08
1856,2.5885945831305435e-08
1857,2.39193944651106e-08
1858,3.3766365703513657e-08
1859,2.8516170758052795e-08
1860,2.0597328287408345e-08
1861,1.5562680033553988e-08
1862,1.8975542914745347e-08
1863,2.6970951694238465e-08
1864,2.9247839705703882e-08
1865,1.7415324293779122e-08
1866,2.1408697037372804e-08
1867,3.494024269912188e-08
1868,3.6061081232219294e-08
1869,5.7137174991339634e-08
1870,2.3509599600401998e-08
1871,2.7615060460561835e-08
1872,3.749350341308855e-08
1873,4.7289436366781956e-08
1874,2.1508592240593316e-08
1875,4.291145216939185e-08
1876,3.3253080289341597e-08
1877,4.0201303619369355e-08
1878,2.5968081018845623e-08
1879,3.176849006081284e-08
1880,3.658172431642015e-08
1881,4.183504387356152e-08
1882,3.1945848633085916e-08
1883,2.464542170343975e-08
1884,5.149323811792783e-08
1885,2.3848851782304337e-08
1886,2.6459201052375647e-08
1887,2.6768590899450828e-08
1888,2.789870379160675e-08
1889,3.57112810434046e-08
1890,2.94947390955258e-08
1891,2.6134301833735663e-08
1892,2.6327752422616868e-08
1893,1.9091091374434654e-08
1894,1.3863386882917439e-08
1895,3.7315409429083957e-08
1896,2.0639602027472392e-08
1897,2.155884004650943e-08
1898,1.4145887128336199e-08
1899,2.7637891975018647e-08
1900,3.322274011452464e-08
1901,3.24146860464225e-08
1902,1.5221880644844532e-08
1903,2.754112315983548e-08
1904,3.33226779503093e-08
1905,3.148063143498803e-08
1906,2.7264178470431943e-08
1907,1.491424583832668e-08
1908,1.620758460774141e-08
1909,2.0353638774395222e-08
1910,2.51175080734356e-08
1911,2.2877609140437016e-08
1912,2.2400511667797218e-08
1913,2.227255713194154e-08
1914,2.0090231700464756e-08
1915,1.0602685840410686e-08
1916,1.7579939282086343e-08
1917,1.864292187292449e-08
1918,4.020231614276781e-08
1919,2.1178051312631396e-08
1920,1.9687803387569147e-08
1921,1.741731914250977e-08
1922,4.574319945049865e-08
