year,en_ADP ans_NOUN,en_ADP dents_NOUN
1800,1.006132621661493e-07,1.2262241000371432e-07
1801,9.28661236798689e-08,2.0240051412656612e-07
1802,9.175144555229053e-08,3.177732992298843e-07
1803,9.946729906396001e-08,1.5407680109547073e-07
1804,9.887404028852131e-08,2.4224138428508013e-07
1805,6.25433098644379e-08,3.155594185955124e-07
1806,1.6137346481315262e-07,6.051504897186533e-08
1807,1.5088862248546775e-07,1.5942949005420815e-07
1808,1.427626639127766e-07,2.1074488643080258e-07
1809,7.906607124574805e-08,1.0843346842648316e-07
1810,1.4508786394529238e-07,5.616304221689461e-08
1811,8.273353602206157e-08,2.807925909564801e-07
1812,9.068508077803017e-08,1.2002436733382638e-07
1813,7.476928232108548e-08,9.489947672136623e-08
1814,3.1466771410748606e-08,1.1013369771717407e-07
1815,4.855002422310406e-08,1.9150287755564932e-07
1816,5.7940095388175905e-08,1.4832664874120383e-07
1817,6.383180817248757e-08,1.6035795624702587e-07
1818,6.318223921830679e-08,1.287487094714379e-07
1819,1.066158181739496e-07,6.83169290027763e-08
1820,4.509263007435038e-08,1.1154492085552192e-07
1821,1.0354562518521959e-07,6.311352507282209e-08
1822,1.3334069137727056e-07,1.4938167680611514e-07
1823,4.348382143248841e-08,1.5416991061556473e-07
1824,5.557934468214398e-08,1.5073791814756987e-07
1825,4.138558074018306e-08,1.4881199206229212e-07
1826,3.435113959948666e-08,1.5766292449370667e-07
1827,6.544263980723386e-08,1.8987581995588698e-07
1828,4.035812389835414e-08,1.403362119845042e-07
1829,5.658296359234427e-08,9.516225674133238e-08
1830,2.7135772739939057e-08,1.1480519646056564e-07
1831,4.989185842241284e-08,1.9177183219198923e-07
1832,3.9236911608675484e-08,1.6641862998767465e-07
1833,3.938433690287013e-08,2.9074908525217324e-07
1834,4.760610661236342e-08,2.314963722938046e-07
1835,9.756383434478266e-08,1.9966552144978778e-07
1836,3.09154504218867e-08,1.955738326842038e-07
1837,3.478945287405111e-08,2.470051185810007e-07
1838,3.282324301245865e-08,1.0162580821315714e-07
1839,6.711815891957684e-08,1.4891841715325427e-07
1840,6.369688487772862e-08,1.1210651962301199e-07
1841,9.052973348744331e-08,1.155698754473633e-07
1842,7.24492630332918e-08,1.0800306426972384e-07
1843,3.544146692791017e-08,2.2977883418207057e-07
1844,3.402907938765409e-08,9.989181393166291e-08
1845,2.566904799827796e-08,1.8805367574259435e-07
1846,3.2785206105501175e-08,1.270426821520232e-07
1847,2.1572895470001185e-08,1.1865091664731153e-07
1848,1.930853293918844e-08,1.4722755281582067e-07
1849,4.7762666932626985e-08,1.566950658116184e-07
1850,3.2587180065490884e-08,1.439267123259924e-07
1851,3.4826968864365426e-08,1.6768541399869719e-07
1852,2.79953455972759e-08,1.1588770831849615e-07
1853,6.270528518648177e-08,1.2242460911693342e-07
1854,3.273268556203135e-08,1.1430461910322265e-07
1855,2.4411910715116392e-08,9.764764286046557e-08
1856,1.501384794266869e-08,1.796484667693221e-07
1857,4.58861838525948e-08,2.299190811072549e-07
1858,5.285170184832211e-08,2.2021542633865465e-07
1859,2.9025388315062628e-08,1.2679511485202966e-07
